"Marca temporal","Edad (años cumplidos) Ej. 19 (solo colocar el número y tener 18 o más)","Género","Nivel de instrucción ","Lugar de residencia","¿Qué mascarilla usas con más frecuencia?","¿En promedio después de cuántos días desechas una mascarilla?","¿En promedio cuánto pagas por una mascarilla? (redondea a una cifra)","¿Prefieres las mascarillas con las tiras que se sostienen en las orejas o las que se sostienen alrededor de la cabeza?","¿De qué color prefieres llevar tu mascarilla? (Si ingresa el color inicie con mayúscula)","¿Qué tan protegido/a te sientes cuando usas la mascarilla KN95?","¿Qué tan protegido/a te sientes cuando usas la mascarilla de tela?","¿Qué tan protegido/a te sientes cuando usas la mascarilla KF94?","¿Qué tan protegido/a te sientes cuando usas la mascarilla Quirúrgica?","¿Qué tan protegido/a te sientes cuando usas la mascarilla FFP3?","¿Qué tan protegido/a te sientes cuando usas la mascarilla N95?","¿Qué tan protegido/a te sientes con tu selección de mascarilla?"
"2022/04/26 8:09:16 a. m. GMT-5","54","Femenino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","KN95","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","7","1","1","2","3","6","8"
"2022/04/26 8:10:34 a. m. GMT-5","50","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","6","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","2","10","5","8","10","5"
"2022/04/26 8:12:06 a. m. GMT-5","52","Femenino","Educación Superior Técnica","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","7","3","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","10","5","8","7","10","10","9"
"2022/04/26 8:14:57 a. m. GMT-5","64","Femenino","Educación Superior Técnica","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","10","10","10","10","10","10"
"2022/04/26 8:18:57 a. m. GMT-5","53","Femenino","Educación Superior Técnica","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","3","Mascarillas con las tiras que se sostienen en las orejas.","Azul marino","10","5","9","9","10","10","8"
"2022/04/26 8:21:21 a. m. GMT-5","48","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","1","3","Mascarillas con las tiras que se sostienen en las orejas.","Gris","10","6","7","9","7","10","8"
"2022/04/26 8:27:17 a. m. GMT-5","61","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","7","5","Mascarillas que se sostienen alrededor de la cabeza.","Beige","10","5","10","4","9","10","10"
"2022/04/26 8:36:35 a. m. GMT-5","48","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","4","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","7","9","7","9","9","10"
"2022/04/26 8:51:42 a. m. GMT-5","37","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","2","3","Mascarillas que se sostienen alrededor de la cabeza.","Gris","10","8","8","4","10","10","8"
"2022/04/26 8:55:37 a. m. GMT-5","57","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","tela","5","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","5","8","7","8","8","8"
"2022/04/26 8:55:41 a. m. GMT-5","47","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","4","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","9","9","9","5","10","9"
"2022/04/26 9:04:54 a. m. GMT-5","49","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","2","8","6","8","8","8"
"2022/04/26 9:16:06 a. m. GMT-5","42","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","1","2","2","1","2","2","1"
"2022/04/26 9:30:30 a. m. GMT-5","18","Femenino","Educación Secundaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","1","1","Me es indiferente","Blanca","8","6","8","5","8","8","8"
"2022/04/26 9:41:09 a. m. GMT-5","45","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Tela","2","5","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","6","9","9","9","9","9","9"
"2022/04/26 9:47:58 a. m. GMT-5","53","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","5","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","8","10","8","10","10","9"
"2022/04/26 9:52:17 a. m. GMT-5","31","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","8","10","8","7","10","10"
"2022/04/26 9:52:54 a. m. GMT-5","56","Femenino","Educación Superior Técnica","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","7","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","10","10","10","10","10","10"
"2022/04/26 9:53:46 a. m. GMT-5","64","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","9","4","9","6","2","10","9"
"2022/04/26 10:00:00 a. m. GMT-5","53","Femenino","Maestría","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","2","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","1","10","6","7","10","10"
"2022/04/26 10:04:29 a. m. GMT-5","43","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","1","2","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","10","3","10","8","9","9","8"
"2022/04/26 10:05:41 a. m. GMT-5","56","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","8","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","3","9","3","5","8","9"
"2022/04/26 11:09:56 a. m. GMT-5","18","Femenino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","6","9","6","7","6","9"
"2022/04/26 11:14:33 a. m. GMT-5","20","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","2","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","10","10","10","10","10","10"
"2022/04/26 11:15:01 a. m. GMT-5","24","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","4","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","10","10","8","10","10","10"
"2022/04/26 11:22:42 a. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Quirúrgica","5","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","7","10","9","9","9","10"
"2022/04/26 11:23:43 a. m. GMT-5","21","Femenino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Gris","9","1","9","5","5","3","10"
"2022/04/26 11:28:09 a. m. GMT-5","23","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","6","2","Me es indiferente","Negra","9","3","9","3","6","7","9"
"2022/04/26 11:29:05 a. m. GMT-5","22","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","10","2","Mascarillas que se sostienen alrededor de la cabeza.","Negra","8","4","5","3","4","6","7"
"2022/04/26 11:29:19 a. m. GMT-5","21","Masculino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","7","2","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","10","6","8","8","8","9","9"
"2022/04/26 11:31:22 a. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KF94","4","3","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","8","4","8","3","8","8","7"
"2022/04/26 11:32:42 a. m. GMT-5","19","Femenino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","9","6","9","3","10","10","6"
"2022/04/26 11:33:49 a. m. GMT-5","23","Femenino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","10","10","10","8","10","10","10"
"2022/04/26 11:34:48 a. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","5","10","9","10","10","10"
"2022/04/26 11:47:37 a. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","7","4","Mascarillas con las tiras que se sostienen en las orejas.","Negra","6","5","5","3","6","7","4"
"2022/04/26 11:49:52 a. m. GMT-5","18","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","1","4","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","4","6","5","7","7","4"
"2022/04/26 11:52:02 a. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","1","1","1","1","1","1","0"
"2022/04/26 12:07:30 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","5","3","Mascarillas que se sostienen alrededor de la cabeza.","Negra","9","6","9","7","9","10","7"
"2022/04/26 12:09:26 p. m. GMT-5","26","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","7","3","Mascarillas que se sostienen alrededor de la cabeza.","Verde","7","7","7","7","7","7","7"
"2022/04/26 12:27:10 p. m. GMT-5","19","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","3","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","4","1","3","0","4","5","5"
"2022/04/26 12:35:11 p. m. GMT-5","45","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","5","1","5","5","1","1","5"
"2022/04/26 12:38:34 p. m. GMT-5","33","Masculino","Doctorado","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","N95","1","5","Me es indiferente","Me es indiferente","0","1","1","0","1","2","1"
"2022/04/26 12:42:57 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","7","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","9","6","9","7","8","8","7"
"2022/04/26 1:17:10 p. m. GMT-5","20","Masculino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","Quirúrgica","5","1","Me es indiferente","Negra","8","8","8","6","8","8","6"
"2022/04/26 1:18:31 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Es una mascarilla de tela pero por dentro viene para colocar el material de una mascarilla KN95","1","3","Me es indiferente","Me es indiferente","6","6","7","6","7","7","6"
"2022/04/26 1:41:18 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","6","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","6","1","6","6","7","7","9"
"2022/04/26 1:59:06 p. m. GMT-5","18","Masculino","Educación Secundaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","3","3","Me es indiferente","Negra","7","1","8","1","5","7","8"
"2022/04/26 2:05:38 p. m. GMT-5","19","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","5","9","7","9","8","7"
"2022/04/26 2:09:12 p. m. GMT-5","20","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","5","4","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","3","10","2","7","9","10"
"2022/04/26 2:09:56 p. m. GMT-5","18","Femenino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","5","2","Me es indiferente","Blanca","8","5","8","5","7","7","8"
"2022/04/26 2:15:46 p. m. GMT-5","19","Masculino","Educación Secundaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Tela","7","1","Me es indiferente","Rojo","8","6","8","6","8","9","9"
"2022/04/26 2:25:38 p. m. GMT-5","23","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","5","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","7","5","9","6","9","9","6"
"2022/04/26 2:27:06 p. m. GMT-5","57","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","5","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","7","8","8","8","8","7"
"2022/04/26 2:28:47 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","10","2","Mascarillas que se sostienen alrededor de la cabeza.","Negra","5","1","7","4","5","6","8"
"2022/04/26 2:34:47 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KF94","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","8","1","9","6","5","5","8"
"2022/04/26 2:44:07 p. m. GMT-5","20","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","1","1","Mascarillas que se sostienen alrededor de la cabeza.","Me es indiferente","7","4","7","5","9","10","5"
"2022/04/26 2:48:12 p. m. GMT-5","21","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","3","8","5","10","10","10"
"2022/04/26 4:09:51 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","5","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","6","8","6","7","8","7"
"2022/04/26 4:18:37 p. m. GMT-5","18","Masculino","Educación Secundaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","KN95","10","3","Me es indiferente","Me es indiferente","10","5","5","7","5","10","10"
"2022/04/26 4:51:40 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","1","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","5","9","7","9","9","9"
"2022/04/26 5:27:11 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","3","9","5","3","3","10"
"2022/04/26 5:45:34 p. m. GMT-5","20","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","4","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","7","6","6","5","4","4","6"
"2022/04/26 7:01:01 p. m. GMT-5","32","Masculino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","3","5","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","2","5","5","10","10","10"
"2022/04/26 7:18:02 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KF94","2","3","Mascarillas con las tiras que se sostienen en las orejas.","Celeste","10","2","10","5","7","10","10"
"2022/04/26 7:41:59 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Tela","3","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","6","9","7","10","10","10"
"2022/04/26 8:04:45 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Quirúrgica","5","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","5","8","7","9","10","7"
"2022/04/26 8:06:06 p. m. GMT-5","20","Femenino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Celeste","8","1","8","3","8","8","8"
"2022/04/26 8:06:40 p. m. GMT-5","21","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","1","5","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","8","7","8","5","5","10"
"2022/04/26 8:23:45 p. m. GMT-5","19","Femenino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","9","5","9","7","9","9","8"
"2022/04/26 8:56:36 p. m. GMT-5","46","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","4","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","6","10","7","10","10","10"
"2022/04/26 9:04:48 p. m. GMT-5","47","Femenino","Educación Superior Técnica","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","5","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","9","6","9","9","9","9","9"
"2022/04/26 9:11:27 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","5","3","Mascarillas que se sostienen alrededor de la cabeza.","Negra","8","6","8","6","7","8","8"
"2022/04/26 9:26:25 p. m. GMT-5","20","Masculino","Educación Superior Universitaria","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lúrin y Pachacamac)","KF94","3","1","Me es indiferente","Negra","10","5","10","8","10","10","10"
"2022/04/26 10:48:33 p. m. GMT-5","19","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","10","4","10","6","10","10","10"
"2022/04/26 11:44:51 p. m. GMT-5","19","Masculino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","7","2","Me es indiferente","Negra","9","5","7","9","1","2","10"
"2022/04/27 12:10:40 a. m. GMT-5","21","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","5","6","3","8","9","6"
"2022/04/27 12:26:13 a. m. GMT-5","24","Femenino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","6","3","Me es indiferente","Negra","10","5","7","7","7","10","7"
"2022/04/27 12:35:21 a. m. GMT-5","22","Femenino","Educación Secundaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","KN95","3","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","6","7","3","9","9","8"
"2022/04/27 12:52:37 a. m. GMT-5","18","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","1","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","8","6","8","6","7","8","10"
"2022/04/27 3:08:53 a. m. GMT-5","19","Femenino","Educación Secundaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","Quirúrgica","5","1","Mascarillas con las tiras que se sostienen en las orejas.","Rosado","9","6","7","7","8","7","9"
"2022/04/27 8:27:46 a. m. GMT-5","19","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","Quirúrgica","3","1","Me es indiferente","Negra","6","5","8","6","6","7","6"
"2022/04/27 8:43:29 a. m. GMT-5","23","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KF94","10","2","Me es indiferente","Negra","2","3","3","2","3","3","2"
"2022/04/27 11:48:09 a. m. GMT-5","18","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","3","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","10","8","8","6","10","10","10"
"2022/04/27 1:17:39 p. m. GMT-5","21","Femenino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","2","1","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","6","4","3","2","7","7","6"
"2022/04/27 3:23:01 p. m. GMT-5","22","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","4","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","8","2","8","5","6","8","7"
"2022/04/27 4:44:33 p. m. GMT-5","23","Femenino","Educación Superior Universitaria","Central (Cercado, San Luis, Breña, La Victoria, Rimac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","Quirúrgica","2","1","Mascarillas que se sostienen alrededor de la cabeza.","Negra","5","3","5","3","5","5","5"
"2022/04/27 7:09:53 p. m. GMT-5","18","Masculino","Educación Secundaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","Quirúrgica","1","1","Me es indiferente","Me es indiferente","7","6","7","7","6","8","8"
"2022/04/27 8:40:01 p. m. GMT-5","20","Femenino","Educación Secundaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KN95","10","3","Mascarillas con las tiras que se sostienen en las orejas.","Negra","7","4","7","7","6","7","7"
"2022/04/28 8:42:23 a. m. GMT-5","20","Masculino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","7","1","Mascarillas con las tiras que se sostienen en las orejas.","Me es indiferente","9","7","9","7","8","9","9"
"2022/04/28 1:05:42 p. m. GMT-5","18","Femenino","Educación Superior Universitaria","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","KN95","10","3","Mascarillas con las tiras que se sostienen en las orejas.","Blanca","10","3","10","10","7","7","10"
"2022/04/28 1:50:36 p. m. GMT-5","18","Masculino","Educación Superior Universitaria","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","KF94","4","2","Mascarillas con las tiras que se sostienen en las orejas.","negra o gris","7","4","6","5","7","7","6"
"2022/04/28 7:21:16 p. m. GMT-5","20","Femenino","Educación Superior Universitaria","Norte (Ancón, Pte. Piedra; Sta. Rosa, Carabayllo, Comas, Los  Olivos, Independencia, S. M. Porres)","KN95","2","2","Mascarillas con las tiras que se sostienen en las orejas.","Negra","8","3","8","5","5","5","8"
