Ciclo,Edad,Carrera,Genero,Cursos,tiempo,anxiety_before_ex,anxiety_after_ex,time_mayor_anxiety,ESF_angustia,ESF_intranquilidad,ESF_palpitaciones,ESF_fatiga,ESF_sueño_alterado,ESF_tension_muscular,ESC_dificil_concentracion,ESC_bloqueo_mental,ESC_acontencimientos_negativos,ESC_falta_memoria,ESC_pensamientos_desagradables,ESC_dificultad_decisiones,ESCCA_comer_beber,ESCCA_escapar,ESCCA_movimientos_repetitivos,ESCCA_moverse_mucho,ESCCA_movimientos_torpe,ESCCA_llanto,cause_ansiedad_U,help_ansiedad,stress_before_ex,stress_after_ex,time_mayor_stress,ESFCE_cansancio,ESFCE_relajarse,ESFCE_dificultad_tomar_decisiones,ESFCE_pensar_claridad,ESFCE_pensar_problemas,ESFCE_comer_demasiado,ESFCE__dificultad_sueño,ESFCE_dolor_cuerpo,ESFCE_caefeina_nicotina,ESFCE_tics_nervous,ESFCE_dolor_estomacal,ESFCE_irritacion,ESFCE_cambios_humor,ESFCE_dificultad_concentrarse,ESFCE_alcohol_droga,ESFCE_disminuye_desempeño_U,ESFCE_sudar_palpitar,ESFCE_levantarse_tarde,FS_no_afrontar_actividades,FS_todo_controlado,FS_enfadado_fueradecontrol,FS_controlar_tiempo,FS_dificultades_acumulan,FS_afectado_imprevistos,FS_manejar_problemas_vida,FS_afrontar_cambios_vida,cause_estres_U,help_estres
3,20,Ingeniería Mecatrónica,Masculino,6,3.5,6,7,Semana de Entrega de Notas Finales,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Mucho ruido,No,7,7,Exámenes finales,Aveces,Aveces,Nunca,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Nunca,Aveces,Nunca,Aveces,Aveces,Nunca,Nunca,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,Casi nunca,No tener donde descansar,No
2,19,Ingeniería Industrial,Masculino,7,4,7,10,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,A menudo,A menudo,A menudo,Nunca,Mucho ruido,No,8,10,Semana de Entrega de Notas Finales,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Nunca,Aveces,Aveces,Seguido,Aveces,Nunca,Nunca,Aveces,Nunca,Aveces,Casi nunca,De vez en cuando,Casi nunca,A menudo,Nunca,Casi nunca,Casi nunca,Casi nunca,No entender a los profesores,No
6,20,Ingeniería Mecánica,Masculino,5,2.5,6,7,Entrega de notas parciales,En alguna ocasión,Casi todos los días,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Que no respeten tu espacio personal,No,6,5,Exámenes finales,Seguido,Aveces,Nunca,Aveces,Seguido,Aveces,Seguido,Seguido,Aveces,Seguido,Aveces,Seguido,Aveces,Seguido,Aveces,Seguido,Seguido,Aveces,Nunca,Casi nunca,De vez en cuando,Nunca,De vez en cuando,Casi nunca,Casi nunca,Nunca,Época de exámenes,No
2,21,Ingeniería Industrial,Masculino,7,2,9,7,Exámenes parciales,A menudo,A menudo,Nunca,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,7,5,Exámenes parciales,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Seguido,Aveces,Aveces,Aveces,Seguido,Nunca,Aveces,Aveces,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,No
2,18,Ingeniería Mecánica,Masculino,3,4.5,5,6,Exámenes finales,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Nunca,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,7,7,7,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,No tener espacio para estudiar - No alcanzar cubículo,No
5,20,Ingeniería Mecánica,Masculino,6,3,8,8,Exámenes finales,A menudo,En alguna ocasión,Casi todos los días,A menudo,A menudo,Casi todos los días,Casi todos los días,En alguna ocasión,A menudo,A menudo,Casi todos los días,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,A menudo,En alguna ocasión,Casi todos los días,Que no respeten tu espacio personal,Sí,8,7,Entrega de notas parciales,Seguido,Aveces,Siempre,Frecuentemente,Seguido,Siempre,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,Seguido,Frecuentemente,Siempre,Frecuentemente,Seguido,Siempre,Frecuentemente,Siempre,Muy a menudo,De vez en cuando,A menudo,Muy a menudo,A menudo,Casi nunca,Casi nunca,A menudo,Época de exámenes,Sí
2,17,Ingeniería Mecánica,Masculino,7,1.5,8,8,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Nunca,A menudo,En alguna ocasión,A menudo,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Mucho ruido,Sí,7,8,7,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Demasiado frío,Sí
4,20,Ingeniería Industrial,Masculino,6,2,8,4,Exámenes finales,Nunca,Casi todos los días,Nunca,En alguna ocasión,Nunca,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Nunca,Nunca,A menudo,A menudo,A menudo,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,8,8,Exámenes parciales,Siempre,Aveces,Aveces,Frecuentemente,Aveces,Nunca,Aveces,Aveces,Nunca,Frecuentemente,Nunca,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Siempre,Nunca,Siempre,De vez en cuando,Casi nunca,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
1,19,Ingeniería Química,Femenino,6,5.5,2,3,Exámenes finales,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,Mucho ruido,No,3,4,Exámenes finales,Seguido,Aveces,Aveces,Seguido,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Seguido,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Aveces,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Demasiado frío,No
4,18,Ingeniería Mecatrónica,Femenino,6,2,7,6,Exámenes parciales,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,No tener espacio para estudiar,No,7,6,Semana de Entrega de Notas Finales,Seguido,Seguido,Aveces,Aveces,Frecuentemente,Seguido,Frecuentemente,Seguido,Seguido,Nunca,Nunca,Seguido,Seguido,Aveces,Nunca,Aveces,Nunca,Nunca,Casi nunca,De vez en cuando,De vez en cuando,A menudo,Casi nunca,De vez en cuando,A menudo,A menudo,Mal olor,No
4,19,Ciencia de la computación,Masculino,6,4,7,1,7,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,4,5,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,No tener donde descansar,No
4,21,Ciencia de la computación,Masculino,6,3,5,2,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,Nunca,Nunca,No tener espacio para estudiar,No,5,5,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Aveces,Nunca,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
5,21,Ingeniería Electrónica,Masculino,6,3,8,4,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,A menudo,A menudo,A menudo,En alguna ocasión,Nunca,No tener espacio para estudiar,No,8,4,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Seguido,Seguido,Aveces,Aveces,Seguido,Nunca,Nunca,Nunca,Nunca,Aveces,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,A menudo,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
5,20,Ingeniería de la Energía,Femenino,5,2.5,8,6,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,Casi todos los días,Mucha ventilación,No,9,5,Semana de Entrega de Notas Finales,Seguido,Aveces,Seguido,Seguido,Aveces,Aveces,Nunca,Nunca,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,De vez en cuando,Casi nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Demasiado frío,Sí
1,19,Ciencia de la computación,Masculino,6,3,8,4,Exámenes parciales,A menudo,En alguna ocasión,Nunca,Casi todos los días,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,A menudo,A menudo,En alguna ocasión,Casi todos los días,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,No tener espacio para estudiar,Sí,10,10,Exámenes finales,Seguido,Aveces,Seguido,Seguido,Aveces,Seguido,Nunca,Aveces,Nunca,Nunca,Aveces,Nunca,Seguido,Seguido,Nunca,Aveces,Nunca,Seguido,Muy a menudo,Casi nunca,A menudo,Casi nunca,A menudo,A menudo,De vez en cuando,De vez en cuando,Época de exámenes,Sí
2,17,Bioingeniería,Masculino,7,3.5,6,1,7,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Casi todos los días,A menudo,A menudo,Nunca,Demasiadas personas,No,7,2,7,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Nunca,Aveces,Aveces,Frecuentemente,Frecuentemente,Nunca,Nunca,Aveces,Nunca,Nunca,Seguido,Aveces,Casi nunca,Nunca,De vez en cuando,A menudo,Casi nunca,A menudo,A menudo,A menudo,Demasiado frío,No
1,22,Ingeniería Química,Femenino,7,2,9,10,15,Casi todos los días,Casi todos los días,A menudo,En alguna ocasión,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,En alguna ocasión,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Mucho ruido,Sí,9,10,Exámenes finales,Siempre,Siempre,Siempre,Siempre,Siempre,Frecuentemente,Frecuentemente,Siempre,Siempre,Aveces,Frecuentemente,Frecuentemente,Frecuentemente,Siempre,Nunca,Siempre,Siempre,Frecuentemente,Muy a menudo,Casi nunca,Muy a menudo,Casi nunca,Muy a menudo,Muy a menudo,A menudo,A menudo,Demasiado frío,Sí
6,21,Ingeniería Industrial,Masculino,4,3.5,9,5,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,Nunca,En alguna ocasión,A menudo,Nunca,Nunca,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Demasiadas personas,No,9,9,Exámenes parciales,Aveces,Aveces,Nunca,Nunca,Nunca,NA,Aveces,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Casi nunca,NA,Nunca,Nunca,De vez en cuando,Casi nunca,Época de exámenes,No
1,19,Ingeniería Química,Femenino,6,4,5,7,7,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,No tener espacio para estudiar,No,8,4,Semana de Entrega de Notas Finales,Siempre,Seguido,Seguido,Seguido,Seguido,Aveces,Aveces,Seguido,Frecuentemente,Nunca,Aveces,Aveces,Seguido,Aveces,Nunca,Aveces,Seguido,Siempre,A menudo,A menudo,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,A menudo,A menudo,No tener donde descansar,No
8,22,Ingeniería Electrónica,Masculino,4,2,8,8,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,A menudo,En alguna ocasión,Nunca,Que no respeten tu espacio personal,No,7,8,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Aveces,NA,Nunca,Seguido,Aveces,Aveces,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,A menudo,De vez en cuando,No tener donde descansar,No
4,18,Ingeniería Mecánica,Masculino,5,1.5,8,3,Semana de Entrega de Notas Finales,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Casi todos los días,En alguna ocasión,En alguna ocasión,A menudo,Nunca,A menudo,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Nunca,Que no respeten tu espacio personal,No,8,8,Exámenes parciales,Frecuentemente,Seguido,Seguido,Seguido,Seguido,Seguido,Frecuentemente,Seguido,Seguido,Frecuentemente,Seguido,Seguido,Seguido,Siempre,Nunca,Aveces,Aveces,Aveces,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Mal olor,No
4,20,Ingeniería Mecatrónica,Masculino,6,2.5,8,6,Exámenes finales,A menudo,En alguna ocasión,Nunca,A menudo,En alguna ocasión,Nunca,Casi todos los días,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,8,6,Exámenes finales,Seguido,Aveces,Seguido,Aveces,Aveces,Aveces,Seguido,Frecuentemente,Seguido,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Aveces,Nunca,Casi nunca,De vez en cuando,Casi nunca,Nunca,De vez en cuando,Casi nunca,Casi nunca,A menudo,Época de exámenes,No
3,18,Ingeniería Industrial,Masculino,5,1,10,10,Exámenes finales,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,Nunca,Nunca,Nunca,Nunca,Nunca,A menudo,No tener espacio para estudiar,Sí,9,8,Entrega de notas parciales,Aveces,Aveces,Aveces,Seguido,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener espacio donde comer (comedor lleno),Sí
2,22,Ciencia de Datos,Masculino,6,2.5,10,10,Exámenes finales,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,A menudo,Casi todos los días,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,Nunca,Mucha ventilación,No,10,10,Exámenes finales,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,No tener donde descansar,No
4,19,Ingeniería Industrial,Femenino,6,2.5,10,10,Exámenes parciales,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Nunca,Nunca,A menudo,En alguna ocasión,Casi todos los días,Que no respeten tu espacio personal,No,5,1,Exámenes parciales,Aveces,Nunca,Siempre,Aveces,Seguido,Nunca,Aveces,Aveces,Nunca,Nunca,Siempre,Aveces,Aveces,Seguido,Nunca,Aveces,Siempre,Seguido,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Muy a menudo,Muy a menudo,Muy a menudo,Época de exámenes,No
3,19,Ingeniería Civil,Femenino,6,2,10,10,Exámenes finales,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,A menudo,No tener espacio para estudiar,Sí,9,9,Semana de Entrega de Notas Finales,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Frecuentemente,Frecuentemente,Siempre,Muy a menudo,Muy a menudo,Muy a menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,De vez en cuando,Época de exámenes,Sí
7,21,Ingeniería Electrónica,Masculino,4,4,5,5,Exámenes finales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,No,5,5,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
4,22,Ingeniería Civil,Femenino,6,3.5,5,7,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,No tener espacio para estudiar,No,5,4,Semana de Entrega de Notas Finales,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Aveces,Nunca,Nunca,Nunca,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,Casi nunca,Nunca,Casi nunca,Nunca,Casi nunca,Nunca,Casi nunca,Nunca,Época de exámenes,No
2,18,Ciencia de Datos,Masculino,6,2,7,7,Semana de Entrega de Notas Finales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,No tener espacio para estudiar,Sí,7,7,7,Aveces,Aveces,Nunca,Nunca,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Casi nunca,A menudo,De vez en cuando,Casi nunca,De vez en cuando,Nunca,Casi nunca,De vez en cuando,Demasiado frío,Sí
4,19,Ciencia de la computación,Masculino,4,2.5,7,10,Entrega de notas parciales,En alguna ocasión,Casi todos los días,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,No tener espacio para estudiar,Sí,10,7,Exámenes finales,Aveces,Aveces,Seguido,Aveces,Seguido,Seguido,Seguido,Seguido,Aveces,Seguido,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Seguido,Aveces,A menudo,De vez en cuando,A menudo,A menudo,De vez en cuando,A menudo,A menudo,A menudo,Grabaciones,Sí
1,17,Ingeniería Civil,Masculino,6,4,5,9,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Nunca,A menudo,A menudo,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,Nunca,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,Que no respeten tu espacio personal,No,3,3,Entrega de notas parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Época de exámenes,No
5,21,Ingeniería Civil,Masculino,7,5.5,4,6,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,Nunca,No tener espacio para estudiar,No,6,5,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Nunca,Nunca,Nunca,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Nunca,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
4,19,Ingeniería Industrial,Masculino,6,2.5,9,5,7,A menudo,Casi todos los días,Nunca,Nunca,Nunca,En alguna ocasión,Casi todos los días,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Demasiadas personas,No,8,6,Exámenes finales,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Época de exámenes,No
2,17,Ingeniería Civil,Femenino,6,0.5,9,9,Exámenes parciales,A menudo,En alguna ocasión,En alguna ocasión,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,A menudo,Nunca,En alguna ocasión,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Casi todos los días,No tener espacio para estudiar,No,10,9,1,Frecuentemente,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Frecuentemente,Seguido,Aveces,Aveces,Aveces,Frecuentemente,Nunca,Seguido,Aveces,Aveces,A menudo,De vez en cuando,A menudo,De vez en cuando,Muy a menudo,A menudo,A menudo,A menudo,Época de exámenes,Sí
3,18,Ingeniería Civil,Masculino,6,2,10,10,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Que no respeten tu espacio personal,No,10,10,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Aveces,Aveces,Casi nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener donde descansar,No
2,19,Ingeniería Civil,Masculino,5,3,6,5,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,Nunca,Nunca,A menudo,Nunca,A menudo,Nunca,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Nunca,No tener espacio para estudiar,Sí,8,6,Exámenes finales,Seguido,Aveces,Seguido,Aveces,Seguido,Aveces,Aveces,Nunca,Nunca,Seguido,Nunca,Aveces,Frecuentemente,Frecuentemente,Nunca,Siempre,Nunca,Frecuentemente,A menudo,A menudo,De vez en cuando,De vez en cuando,NA,De vez en cuando,Casi nunca,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,Sí
2,18,Ingeniería Civil,Masculino,7,3.5,8,4,Semana de Entrega de Notas Finales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,A menudo,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,9,4,Entrega de notas parciales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Aveces,Aveces,Aveces,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Época de exámenes,No
