Marca temporal,Ciclo cursante,Edad ,¿Qué carrera estudias?,Género,¿Cuántos cursos lleva?,¿Cuanto tiempo en horas estudia al día?,"Cuál considera que ha sido su nivel de ansiedad, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de ansiedad, en promedio, después de rendir cualquier evaluación",¿Cuáles han sido sus épocas de mayor ansiedad?,Escala de síntomas físicos [Sensación de angustia o aprensión],"Escala de síntomas físicos [Dificultad para estar quieto, intranquilidad]",Escala de síntomas físicos [Aumento de frecuencia cardiaca (palpitaciones) sin enfermedad conocida que lo justifique],"Escala de síntomas físicos [Fatiga, especialmente importante al final del día]","Escala de síntomas físicos [Alteraciones en el sueño; tardas en quedarte dormido, te despiertas varias veces o despiertas antes de lo previsto]","Escala de síntomas físicos [Sensación de tensión muscular que puede ir acompañada de dolor en determinadas partes de tu cuerpo (cuello, espalda, cabeza, etcétera)]",Escala de síntomas cognitivos [Dificultad para concentrarte],Escala de síntomas cognitivos [Sensación de bloqueo mental],Escala de síntomas cognitivos [Anticipación de acontecimientos negativos. Catastrofismo],Escala de síntomas cognitivos [Falta de memoria (dificultad para recordar cosas)],Escala de síntomas cognitivos [Pensamientos o imágenes desagradables],Escala de síntomas cognitivos [Dificultad para tomar decisiones (por ejemplo “das vueltas a la cabeza” sin llegar a decidirte)],"Escala de síntomas comportamentales para combatir la ansiedad [Fumas, comes o bebes para calmar tu ansiedad]",Escala de síntomas comportamentales para combatir la ansiedad [Evitas o escapas de determinadas situaciones],"Escala de síntomas comportamentales para combatir la ansiedad [Haces movimientos repetitivos (tocarte el pelo, temblor de piernas)]",Escala de síntomas comportamentales para combatir la ansiedad [Te mueves más de lo habitual],Escala de síntomas comportamentales para combatir la ansiedad [Movimientos torpes (por ejemplo se te caen las cosas)],Escala de síntomas comportamentales para combatir la ansiedad [Llanto para aliviar tu malestar],¿Algo dentro de la universidad te cause demasiada ansiedad?,Ha buscado algún tipo de ayuda sobre cómo tratar la ansiedad,"Cuál considera que ha sido su nivel de estrés, en promedio, antes de rendir cualquier evaluación","Cuál considera que ha sido su nivel de estrés, en promedio, después de rendir cualquier evaluación",Cuáles han sido sus épocas de mayor estrés,Escala de síntomas físicos y cognitivos  [Te sientes cansado/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil relajarte o sentirte tranquilo/a],Escala de síntomas físicos y cognitivos  [Se te hace difícil tomar decisiones],Escala de síntomas físicos y cognitivos  [Tienes problemas para pensar con claridad],Escala de síntomas físicos y cognitivos  [Piensas en tus problemas una y otra vez durante el día],Escala de síntomas físicos y cognitivos  [Comes demasiado o muy poco],Escala de síntomas físicos y cognitivos  [Dificultad para conciliar el sueño],"Escala de síntomas físicos y cognitivos  [Dolor de espalda,cuello u otro dolor relacionado con la tensión]",Escala de síntomas físicos y cognitivos  [Uso más seguido de cafeína o nicotina de lo habitual],Escala de síntomas físicos y cognitivos  [Tics nerviosos],Escala de síntomas físicos y cognitivos  [Malestar estomacal],Escala de síntomas físicos y cognitivos  [Irritación con facilidad],Escala de síntomas físicos y cognitivos  [Cambios de humor y sensibilidad],Escala de síntomas físicos y cognitivos  [Dificultad al concentrarse],Escala de síntomas físicos y cognitivos  [Uso de alcohol o drogas para afrontar problemas],Escala de síntomas físicos y cognitivos  [Tu desempeño ha disminuido y presentas problemas para completar tus tareas],Escala de síntomas físicos y cognitivos  [Tendencias a sudar o palpitaciones],Escala de síntomas físicos y cognitivos  [Tentaciones fuertes de no levantarse por la mañana],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que no podía afrontar todas las cosas que tenía que hacer?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia se ha sentido al control de todo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado enfadado porque las cosas que le han ocurrido estaban fuera de su control?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha podido controlar la forma de pasar el tiempo?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que las dificultades se acumulan tanto que no puede superarlas?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha estado afectado por algo que ha ocurrido inesperadamente?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha manejado con éxito los pequeños problemas irritantes de la vida?],Evalúe con que frecuencia siente cada uno de los siguientes síntomas [¿Con qué frecuencia ha sentido que ha afrontado efectivamente los cambios importantes que han estado ocurriendo en su vida?],¿Algo dentro de la universidad que te cause estrés?,Ha buscado algún tipo de ayuda sobre cómo tratar el estrés
21/09/2022 14:04:52,2,18,Administración y Negocios Digitales,Femenino,5,0.5,10,10,Exámenes parciales,A menudo,A menudo,En alguna ocasión,Casi todos los días,A menudo,Casi todos los días,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,Casi todos los días,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Mucha ventilación,Sí,10,10,Entrega de notas parciales,Frecuentemente,Frecuentemente,Seguido,Seguido,Siempre,Aveces,Seguido,Frecuentemente,Aveces,Aveces,Frecuentemente,Seguido,Seguido,Seguido,Nunca,Frecuentemente,Aveces,Seguido,Muy a menudo,Casi nunca,A menudo,A menudo,A menudo,De vez en cuando,A menudo,Casi nunca,Demasiado frío,Sí
21/09/2022 14:05:04,3,20,Ciencia de la computación,Masculino,6,2,8,9,Semana de Entrega de Notas Finales,En alguna ocasión,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,A menudo,A menudo,Nunca,Que no respeten tu espacio personal,No,8,8,Exámenes parciales,Seguido,Seguido,Seguido,Aveces,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Aveces,Nunca,Seguido,Nunca,Seguido,Aveces,Aveces,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Casi nunca,Casi nunca,Demasiado frío,No
21/09/2022 14:05:12,2,18,Ingeniería Ambiental,Masculino,6,1.5,8,6,Exámenes parciales,En alguna ocasión,Casi todos los días,En alguna ocasión,Casi todos los días,Nunca,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,A menudo,No tener espacio para estudiar,Sí,9,6,Exámenes finales,Frecuentemente,Aveces,Frecuentemente,Frecuentemente,Siempre,Siempre,Nunca,Siempre,Aveces,Siempre,Frecuentemente,Siempre,Frecuentemente,Siempre,Nunca,Siempre,Frecuentemente,Frecuentemente,Muy a menudo,Casi nunca,Muy a menudo,De vez en cuando,Muy a menudo,Muy a menudo,Casi nunca,Casi nunca,Grabaciones,Sí
21/09/2022 14:07:02,3,19,Ingeniería Mecatrónica,Masculino,6,3.5,8,4,Exámenes parciales,En alguna ocasión,En alguna ocasión,A menudo,Nunca,A menudo,A menudo,Nunca,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,Mucha ventilación,No,9,2,Exámenes parciales,Nunca,Seguido,Seguido,Aveces,Seguido,Aveces,Siempre,Siempre,Nunca,Nunca,Nunca,Siempre,Siempre,Nunca,Nunca,Aveces,Frecuentemente,Frecuentemente,A menudo,A menudo,A menudo,Muy a menudo,A menudo,Muy a menudo,Nunca,Nunca,Grabaciones,No
21/09/2022 14:07:31,3,18,Ciencia de la computación,Femenino,7,2.5,6,10,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,En alguna ocasión,A menudo,Nunca,Nunca,Casi todos los días,Mucho ruido,No,7,2,7,Frecuentemente,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Siempre,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Seguido,De vez en cuando,Casi nunca,A menudo,Muy a menudo,Casi nunca,De vez en cuando,Muy a menudo,Muy a menudo,Época de exámenes,No
21/09/2022 14:07:44,3,18,Ingeniería Civil,Masculino,6,3,5,3,Exámenes parciales,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,A menudo,A menudo,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,Nunca,No tener espacio para estudiar,No,5,3,Exámenes parciales,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,Nunca,Muy a menudo,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Nunca,De vez en cuando,No entender a los profesores,No
21/09/2022 14:08:22,3,21,Ingeniería Industrial,Femenino,6,2,10,10,15,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,Casi todos los días,No tener espacio para estudiar,Sí,10,10,Exámenes finales,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,No tener espacio para estudiar - No alcanzar cubículo,Sí
21/09/2022 14:08:29,4,18,Ciencia de la computación,Masculino,6,1.5,7,4,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,No tener espacio para estudiar,No,8,9,Exámenes parciales,Aveces,Aveces,Aveces,Nunca,Seguido,Aveces,Nunca,Aveces,Aveces,Nunca,Nunca,,Aveces,Aveces,Nunca,Aveces,Seguido,Aveces,Casi nunca,Nunca,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Época de exámenes,No
21/09/2022 14:10:22,1,18,Ingeniería Industrial,Femenino,7,1.5,9,8,Exámenes finales,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,Nunca,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Mucha ventilación,No,9,8,Semana de Entrega de Notas Finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Nunca,Nunca,Nunca,Aveces,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,De vez en cuando,Demasiado frío,No
21/09/2022 14:10:30,3,18,Ingeniería Industrial,Masculino,6,2,8,8,Exámenes finales,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Demasiadas personas,No,8,9,Exámenes parciales,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Aveces,Aveces,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Muy a menudo,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:10:46,4,19,Ingeniería Ambiental,Masculino,6,2,7,5,Exámenes finales,A menudo,A menudo,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,A menudo,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,7,6,Exámenes finales,Aveces,Frecuentemente,Nunca,Aveces,Seguido,Nunca,Frecuentemente,Aveces,Nunca,Nunca,Nunca,Seguido,Nunca,Seguido,Nunca,Nunca,Nunca,Frecuentemente,Casi nunca,A menudo,Casi nunca,A menudo,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,Demasiado frío,No
21/09/2022 14:10:47,1,17,Ingeniería Industrial,Femenino,7,5,3,5,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Nunca,A menudo,Casi todos los días,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,No tener espacio para estudiar,No,5,3,Semana de Entrega de Notas Finales,Seguido,Aveces,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,Aveces,Aveces,Nunca,Nunca,,Aveces,Siempre,Frecuentemente,Nunca,Frecuentemente,Aveces,Seguido,De vez en cuando,A menudo,Muy a menudo,A menudo,De vez en cuando,A menudo,De vez en cuando,De vez en cuando,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:11:39,2,17,Ciencia de la computación,Masculino,6,1.5,10,5,Exámenes finales,Nunca,A menudo,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,A menudo,Nunca,Nunca,Nunca,Nunca,Nunca,A menudo,Nunca,Nunca,Nunca,No tener espacio para estudiar,No,6,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/09/2022 14:11:49,8,20,Ingeniería Mecatrónica,Masculino,5,5,4,7,Exámenes finales,A menudo,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,Nunca,A menudo,A menudo,Nunca,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,No tener espacio para estudiar,No,4,4,Semana de Entrega de Notas Finales,Seguido,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Seguido,Seguido,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,No tener donde descansar,No
21/09/2022 14:11:50,2,17,Ingeniería Mecatrónica,Masculino,6,1.5,9,4,Exámenes parciales,A menudo,A menudo,Nunca,Nunca,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,A menudo,A menudo,Nunca,Demasiadas personas,No,9,4,Exámenes finales,Seguido,Aveces,Seguido,Seguido,Seguido,Seguido,Aveces,Seguido,Nunca,Nunca,Seguido,Seguido,Seguido,Seguido,Nunca,Seguido,Seguido,Seguido,A menudo,A menudo,A menudo,De vez en cuando,A menudo,A menudo,A menudo,A menudo,Grabaciones,No
21/09/2022 14:12:45,4,18,Bioingeniería,Femenino,4,2,9,3,Exámenes parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,A menudo,Casi todos los días,En alguna ocasión,A menudo,A menudo,Casi todos los días,A menudo,A menudo,En alguna ocasión,En alguna ocasión,A menudo,No tener espacio para estudiar,No,9,4,Entrega de notas parciales,Seguido,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Frecuentemente,Frecuentemente,Seguido,Aveces,Frecuentemente,Siempre,Siempre,Nunca,Siempre,Aveces,Siempre,Muy a menudo,Casi nunca,De vez en cuando,De vez en cuando,A menudo,A menudo,De vez en cuando,De vez en cuando,Grabaciones,No
21/09/2022 14:13:09,3,20,Ingeniería Mecatrónica,Masculino,6,3.5,6,7,Semana de Entrega de Notas Finales,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Nunca,En alguna ocasión,Mucho ruido,No,7,7,Exámenes finales,Aveces,Aveces,Nunca,Aveces,Aveces,Seguido,Aveces,Aveces,Nunca,Nunca,Aveces,Nunca,Aveces,Aveces,Nunca,Nunca,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,A menudo,De vez en cuando,De vez en cuando,A menudo,Casi nunca,No tener donde descansar,No
21/09/2022 14:13:28,2,19,Ingeniería Industrial,Masculino,7,4,7,10,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Nunca,En alguna ocasión,A menudo,A menudo,A menudo,Nunca,Mucho ruido,No,8,10,Semana de Entrega de Notas Finales,Aveces,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Nunca,Aveces,Aveces,Seguido,Aveces,Nunca,Nunca,Aveces,Nunca,Aveces,Casi nunca,De vez en cuando,Casi nunca,A menudo,Nunca,Casi nunca,Casi nunca,Casi nunca,No entender a los profesores,No
21/09/2022 14:14:29,6,20,Ingeniería Mecánica,Masculino,5,2.5,6,7,Entrega de notas parciales,En alguna ocasión,Casi todos los días,Nunca,Nunca,Nunca,Nunca,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,Que no respeten tu espacio personal,No,6,5,Exámenes finales,Seguido,Aveces,Nunca,Aveces,Seguido,Aveces,Seguido,Seguido,Aveces,Seguido,Aveces,Seguido,Aveces,Seguido,Aveces,Seguido,Seguido,Aveces,Nunca,Casi nunca,De vez en cuando,Nunca,De vez en cuando,Casi nunca,Casi nunca,Nunca,Época de exámenes,No
21/09/2022 14:14:34,2,21,Ingeniería Industrial,Masculino,7,2,9,7,Exámenes parciales,A menudo,A menudo,Nunca,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,Nunca,No tener espacio para estudiar,No,7,5,Exámenes parciales,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Seguido,Nunca,Seguido,Aveces,Aveces,Aveces,Seguido,Nunca,Aveces,Aveces,Seguido,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,De vez en cuando,Época de exámenes,No
21/09/2022 14:16:20,2,18,Ingeniería Mecánica,Masculino,3,4.5,5,6,Exámenes finales,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Nunca,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,En alguna ocasión,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,7,7,7,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,Frecuentemente,De vez en cuando,De vez en cuando,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:16:24,5,20,Ingeniería Mecánica,Masculino,6,3,8,8,Exámenes finales,A menudo,En alguna ocasión,Casi todos los días,A menudo,A menudo,Casi todos los días,Casi todos los días,En alguna ocasión,A menudo,A menudo,Casi todos los días,A menudo,Casi todos los días,En alguna ocasión,Casi todos los días,A menudo,En alguna ocasión,Casi todos los días,Que no respeten tu espacio personal,Sí,8,7,Entrega de notas parciales,Seguido,Aveces,Siempre,Frecuentemente,Seguido,Siempre,Frecuentemente,Frecuentemente,Siempre,Frecuentemente,Seguido,Frecuentemente,Siempre,Frecuentemente,Seguido,Siempre,Frecuentemente,Siempre,Muy a menudo,De vez en cuando,A menudo,Muy a menudo,A menudo,Casi nunca,Casi nunca,A menudo,Época de exámenes,Sí
21/09/2022 14:16:35,2,17,Ingeniería Mecánica,Masculino,7,1.5,8,8,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Nunca,A menudo,En alguna ocasión,A menudo,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Mucho ruido,Sí,7,8,7,Nunca,Aveces,Nunca,Aveces,Nunca,Aveces,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Nunca,Aveces,Aveces,Nunca,Aveces,Aveces,Nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Casi nunca,Nunca,Casi nunca,Demasiado frío,Sí
21/09/2022 14:17:02,4,20,Ingeniería Industrial,Masculino,6,2,8,4,Exámenes finales,Nunca,Casi todos los días,Nunca,En alguna ocasión,Nunca,En alguna ocasión,A menudo,A menudo,A menudo,A menudo,A menudo,A menudo,Nunca,Nunca,A menudo,A menudo,A menudo,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,8,8,Exámenes parciales,Siempre,Aveces,Aveces,Frecuentemente,Aveces,Nunca,Aveces,Aveces,Nunca,Frecuentemente,Nunca,Frecuentemente,Frecuentemente,Frecuentemente,Nunca,Siempre,Nunca,Siempre,De vez en cuando,Casi nunca,A menudo,A menudo,Casi nunca,A menudo,De vez en cuando,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:18:14,1,19,Ingeniería Química,Femenino,6,5.5,2,3,Exámenes finales,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Casi todos los días,En alguna ocasión,Mucho ruido,No,3,4,Exámenes finales,Seguido,Aveces,Aveces,Seguido,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Seguido,Aveces,Aveces,Aveces,Nunca,Aveces,Nunca,Aveces,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Demasiado frío,No
21/09/2022 14:18:38,4,18,Ingeniería Mecatrónica,Femenino,6,2,7,6,Exámenes parciales,A menudo,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,No tener espacio para estudiar,No,7,6,Semana de Entrega de Notas Finales,Seguido,Seguido,Aveces,Aveces,Frecuentemente,Seguido,Frecuentemente,Seguido,Seguido,Nunca,Nunca,Seguido,Seguido,Aveces,Nunca,Aveces,Nunca,Nunca,Casi nunca,De vez en cuando,De vez en cuando,A menudo,Casi nunca,De vez en cuando,A menudo,A menudo,Mal olor,No
21/09/2022 14:18:53,4,19,Ciencia de la computación,Masculino,6,4,7,1,7,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,Nunca,En alguna ocasión,A menudo,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,Nunca,"Mal funcionamiento de los servicios (ascensores, reconocimiento facial)",No,4,5,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,De vez en cuando,De vez en cuando,Casi nunca,De vez en cuando,Casi nunca,De vez en cuando,No tener donde descansar,No
21/09/2022 14:19:02,4,21,Ciencia de la computación,Masculino,6,3,5,2,Exámenes parciales,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,Nunca,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,A menudo,Nunca,Nunca,No tener espacio para estudiar,No,5,5,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Aveces,Nunca,Aveces,Aveces,Aveces,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:19:39,5,21,Ingeniería Electrónica,Masculino,6,3,8,4,Entrega de notas parciales,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,Casi todos los días,A menudo,A menudo,A menudo,En alguna ocasión,Nunca,No tener espacio para estudiar,No,8,4,Exámenes finales,Aveces,Aveces,Aveces,Aveces,Aveces,Seguido,Aveces,Aveces,Seguido,Seguido,Aveces,Aveces,Seguido,Nunca,Nunca,Nunca,Nunca,Aveces,Casi nunca,Casi nunca,De vez en cuando,Casi nunca,Casi nunca,Casi nunca,A menudo,Casi nunca,No tener espacio para estudiar - No alcanzar cubículo,No
21/09/2022 14:19:47,5,20,Ingeniería de la Energía,Femenino,5,2.5,8,6,Exámenes parciales,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,A menudo,En alguna ocasión,Nunca,A menudo,A menudo,A menudo,En alguna ocasión,Casi todos los días,Mucha ventilación,No,9,5,Semana de Entrega de Notas Finales,Seguido,Aveces,Seguido,Seguido,Aveces,Aveces,Nunca,Nunca,Nunca,Aveces,Aveces,Aveces,Aveces,Aveces,Nunca,Aveces,Aveces,Aveces,De vez en cuando,Casi nunca,Nunca,Nunca,Nunca,Nunca,Casi nunca,Nunca,Demasiado frío,Sí
21/09/2022 14:20:09,1,19,Ciencia de la computación,Masculino,6,3,8,4,Exámenes parciales,A menudo,En alguna ocasión,Nunca,Casi todos los días,Casi todos los días,A menudo,Casi todos los días,Casi todos los días,A menudo,A menudo,En alguna ocasión,Casi todos los días,En alguna ocasión,A menudo,En alguna ocasión,En alguna ocasión,A menudo,A menudo,No tener espacio para estudiar,Sí,10,10,Exámenes finales,Seguido,Aveces,Seguido,Seguido,Aveces,Seguido,Nunca,Aveces,Nunca,Nunca,Aveces,Nunca,Seguido,Seguido,Nunca,Aveces,Nunca,Seguido,Muy a menudo,Casi nunca,A menudo,Casi nunca,A menudo,A menudo,De vez en cuando,De vez en cuando,Época de exámenes,Sí
21/09/2022 14:20:10,2,17,Bioingeniería,Masculino,7,3.5,6,1,7,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,En alguna ocasión,Nunca,Nunca,Nunca,En alguna ocasión,Nunca,Nunca,Casi todos los días,A menudo,A menudo,Nunca,Demasiadas personas,No,7,2,7,Aveces,Aveces,Aveces,Aveces,Seguido,Seguido,Nunca,Aveces,Aveces,Frecuentemente,Frecuentemente,Nunca,Nunca,Aveces,Nunca,Nunca,Seguido,Aveces,Casi nunca,Nunca,De vez en cuando,A menudo,Casi nunca,A menudo,A menudo,A menudo,Demasiado frío,No
