"","Sexo","Edad","Universidad","Plataformas_2019","Time_service19","Netflix_2019","Youtube_2019","Youtube_p_2019","Movistar_play_2019","Zoom_2019","HBO_2019","Amazon_p_2019","Twitch_2019","Disney_plus_2019","Fb_gaming_2019","Claro_video_2019","Starplus_2019","Discord_2019","Crunchyroll_2019","Spotify_2019","Foxsport_2019","Hulu_2019","DirecTVgo_2019","AmericaTVgo_2019","Contenido","Plataforma19","Precio_2019","Nueva_plat_2020","Device","Netflix_2020","Youtube_2020","Youtube_p_2020","Movistar_play_2020","Zoom_2020","HBO_2020","Amazon_p_2020","Twitch_2020","Disney_plus_2020","Fb_gaming_2020","Claro_video_2020","Starplus_2020","Discord_2020","Crunchyroll_2020","Spotify_2020","Foxsport_2020","Hulu_2020","DirecTVgo_2020","AmericaTVgo_2020","Plataforma2020","Precio_2020","Time_service20","Cine_a_stream","Traslado_plat"
"140","Femenino",18,"UPC","Netflix, Youtube, Zoom, Amazon Prime Video, Disney plus",60,60,60,NA,NA,60,NA,60,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Series","Grupal",25,"NU","Celular",60,60,NA,NA,60,NA,60,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",25,60,5,5
"141","Masculino",19,"UNU","Netflix, Zoom",240,540,540,45,180,540,540,NA,NA,NA,NA,NA,NA,NA,NA,420,420,NA,NA,NA,"Series","Grupal",50,"Netflix","Celular",540,540,540,NA,480,540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",50,240,9,9
"142","Masculino",19,"UNU","Netflix, Youtube, Spotify",60,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,"Series","Grupal",45,"Netflix, Youtube, Zoom, Spotify","Computadora",45,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,"Grupal",20,300,3,6
"143","Masculino",18,"PUCP","Netflix, Youtube, Movistar Play, Spotify",120,60,60,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Películas","Grupal",24,"HBO, Disney plus","Computadora",180,120,NA,NA,420,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Grupal",50,180,8,9
"144","Femenino",29,"UNMSM","Netflix, Youtube, Zoom, Spotify",60,60,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,"Series","Grupal",40,"America TV go","Celular",60,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,45,"Personal",40,180,10,6
"145","Masculino",20,"UNU","Youtube, Fox Sport",480,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,"Diversión","Grupal",35,"Netflix, Zoom, Spotify","Celular",45,45,45,45,300,45,45,45,45,45,45,45,45,45,180,120,45,45,45,"Grupal",17,360,10,5
"146","Masculino",19,"UTEC","Youtube, Zoom, Twitch, Facebook Gaming, Spotify",420,NA,120,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,45,NA,120,60,NA,NA,NA,NA,"Personal",NA,"Zoom","Celular",NA,60,NA,NA,420,NA,NA,NA,NA,2,NA,NA,45,NA,120,45,NA,NA,NA,"Personal",NA,180,3,5
"147","Femenino",20,"UTEC","Netflix, Youtube, Amazon Prime Video, Discord, Spotify",480,60,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,60,NA,60,NA,NA,NA,NA,"Series","Grupal",20,"Zoom, Twitch","Computadora",NA,NA,NA,NA,360,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",NA,300,2,1
"148","Femenino",19,"UNJFSC","Netflix, Youtube, Youtube premium, HBO, Twitch, Disney plus, Discord, Fox Sport",180,60,45,NA,NA,45,60,NA,45,60,NA,NA,NA,60,NA,NA,20,NA,NA,NA,"Películas","Grupal",70,"Claro Video","Celular",60,60,NA,NA,45,60,NA,45,45,NA,20,NA,20,NA,NA,20,NA,NA,NA,"Grupal",70,180,7,4
"149","Femenino",18,"UTEC","Netflix, Spotify",300,20,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"Series","Grupal",30,"Netflix, Zoom, HBO","Televisión",240,60,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",60,240,5,8
"150","Femenino",20,"UPC","Netflix, Youtube, Spotify",360,180,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Series","Grupal",25,"Zoom","Computadora",240,60,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,"Grupal",40,360,2,2
"151","Masculino",19,"UTP","Youtube, Zoom",300,NA,45,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Documentales","Personal",NA,"NU","Celular",NA,45,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",NA,60,1,1
"152","Masculino",20,"UTEC","Youtube",60,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",NA,"Netflix, Zoom, Amazon Prime Video, Disney plus, Discord, Spotify","Computadora",120,180,NA,NA,480,NA,45,NA,60,NA,NA,NA,120,NA,120,NA,NA,NA,NA,"Personal",30,60,3,2
"153","Femenino",45,NA,"Youtube",420,60,20,NA,120,60,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,45,NA,"Documentales","Personal",120,"America TV go","Televisión",20,60,NA,45,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Personal",120,60,1,1
"154","Femenino",21,"UTEC","Netflix, Youtube, Twitch, Spotify",420,180,180,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,360,NA,NA,NA,NA,NA,"Personal",44,"Zoom, Discord","Computadora",120,60,NA,NA,360,NA,NA,20,NA,NA,NA,NA,120,NA,360,NA,NA,NA,NA,"Personal",44,180,10,10
"155","Masculino",19,"UTEC","Youtube, Zoom, Discord",480,180,480,NA,NA,540,NA,NA,45,NA,NA,NA,NA,420,NA,NA,NA,NA,NA,NA,"Películas","Grupal",30,"Netflix, Youtube, Zoom, Discord","Celular",120,480,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,420,NA,NA,NA,NA,NA,NA,"Grupal",30,180,7,6
"156","Masculino",20,"UTEC","Netflix, Youtube, Movistar Play, Zoom, HBO, Amazon Prime Video, Twitch, Disney plus, Discord, Spotify, Direct tv go",60,20,45,NA,20,60,20,45,20,45,NA,NA,NA,45,NA,60,NA,NA,45,NA,"Documentales","Personal",35,"NU","Televisión",20,45,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,"Personal",35,60,4,7
