NOMBRE EMPRESA,RUC,SECTOR,TIPO DE ENTIDAD OTORGANTE DEL BCP,NOMBRE ENTIDAD OTORGANTE DEL BCP,MONTO PRESTAMO,MONTO COBERTURA,DEPARTAMENTO,Tipo Empresa,Condición,Fecha Inicio Actividades,Años Actividad,categoria_antiguedad
HOSPITAL METROPOLITANO S.A.,20394723259,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BCP,1189926,1070933.4,LAMBAYEQUE,Sociedad Anonima,Activo,6/1/1999,20,tier1
SERVI-SAP S.R.L.,20437481653,COMERCIO,BANCA MULTIPLE,BCP,3985120,3586608,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,3/1/2000,20,tier1
ACRIMSA CHICLAYO S.R.L.,20438493361,COMERCIO,BANCA MULTIPLE,BCP,14520,14229.6,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,2/1/2001,19,tier1
SISTEMAS 2000 SRL,20479464686,COMERCIO,CMAC,CMAC TRUJILLO,26500,25970,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,1/1/2002,18,tier1
TOYOTA MOTOR S E.I.R.L.,20479628115,COMERCIO,BANCA MULTIPLE,BCP,38609,36678.55,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,6/1/2003,16,tier1
PROCESOS INDUSTRIALES Y COMERCIOS DE ALI MENTOS SAC,20479691071,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO BBVA PERU,234586,222856.7,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,12/1/2003,16,tier1
SERMINMAC EIRL,20479782386,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,35225,33463.75,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,9/1/2004,15,tier1
SERVICIOS DIESEL BANCES S RL,20479870323,COMERCIO,BANCA MULTIPLE,BCP,117571,111692.45,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,6/1/2005,14,tier1
CORPORACION BIM S.A.C,20480023235,COMERCIO,BANCA MULTIPLE,BCP,2317725,2085952.5,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,7/1/2006,13,tier1
MIRATEL S.R.L.,20513479868,OTROS SERVICIOS,BANCA MULTIPLE,BCP,306843,276158.7,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,7/3/2006,13,tier1
N & W GONZALES ASOCIADOS SAC,20480057644,COMERCIO,BANCA MULTIPLE,BCP,57045,54192.75,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,9/1/2006,13,tier1
CORPORACION RAMOS S.C.R.L .,20480093012,COMERCIO,BANCA MULTIPLE,BCP,160614,152583.3,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,12/1/2006,13,tier1
TECNICA Y COMERCIO E.I.R. L.,20480172583,COMERCIO,BANCA MULTIPLE,BCP,29369,28781.62,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,5/1/2007,12,tier1
FABRICA DE DULCES FINOS B RUNING SAC,20480277253,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,40864,38820.8,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,11/1/2007,12,tier1
MAURI SAC,20480286244,HOTELES Y RESTAURANTES,BANCA MULTIPLE,BCP,4193,4109.14,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,12/1/2007,12,tier1
FRUTOS TONGORRAPE S.A.,20480325088,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,1500000,1350000,LAMBAYEQUE,Sociedad Anonima,Activo,2/1/2008,12,tier1
INVERSIONES ELITA S.R.L.,20480400390,COMERCIO,BANCA MULTIPLE,BCP,60059,57056.05,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,6/1/2008,11,tier1
AGRONEGOCIOS SICAN SAC,20480515456,COMERCIO,BANCA MULTIPLE,SCOTIABANK,774224,696801.6,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,12/1/2008,11,tier1
GANADERIA HERNANDEZ E.I.R .L.,20480603746,"AGRICULTUR, GANADERIA, CAZA Y SILVICULT",BANCA MULTIPLE,BCP,33838,32146.1,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,4/1/2009,11,tier1
PUCCIO CONTRATISTAS S.A.C.,20480684991,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,SCOTIABANK,186000,176700,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,8/1/2009,10,tier1
DINAMICA IMPLEMENTOS & PE CAS S.A.C,20480667124,COMERCIO,BANCA MULTIPLE,BCP,504890,454401,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,8/1/2009,10,tier1
EMPRESA DE TRANSPORTES JUANCITO EIRL.,20480682948,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,SCOTIABANK,22000,21560,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,8/1/2009,10,tier1
TRANSPORTES NINO MANUELIT O SCRL,20480759321,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,8889,8711.22,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,12/1/2009,10,tier1
INVERSIONES PALESTINA EIRL,20487378110,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,125601,119320.95,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,6/1/2010,9,tier2
SERVICIOS Y TRANSPORTE DE AGREGADOS POMPEYO SAC,20536988671,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,95184,90424.8,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,8/4/2010,9,tier2
TECNI MOTORS DEL PERU E.I .R.L,20487467139,COMERCIO,BANCA MULTIPLE,BCP,131990,125390.5,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,10/1/2010,9,tier2
RUEDAMAX EIRL,20487607917,COMERCIO,BANCA MULTIPLE,BCP,215744,204956.8,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,3/1/2011,9,tier2
INDUSTRIAS Y NEGOCIOS PIC OLI SRL,20487748065,COMERCIO,BANCA MULTIPLE,BCP,62865,59721.75,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,8/1/2011,8,tier2
APIREYNA E.I.R.L.,20487721451,"AGRICULTUR, GANADERIA, CAZA Y SILVICULT",BANCA MULTIPLE,SCOTIABANK,48000,45600,LAMBAYEQUE,Persona Natural con Negocio,Activo,9/1/2011,8,tier2
RI IMPORTACIONES SOCIEDADANONIMA CERRADA,20487800750,COMERCIO,BANCA MULTIPLE,BCP,565322,508789.8,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,10/1/2011,8,tier2
DJT CARGO SERVICE E.I.R.L,20487794253,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,45644,43361.8,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,10/1/2011,8,tier2
CENTRO DE SERVICIOS INTEG RALES DE SALUD RAY E.I.R. L.,20487989852,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BCP,108880,103436,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,4/1/2012,8,tier2
TRANSPORTES MENDOZA & ASO CIADOS SRL,20487834816,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,4804,4707.92,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,4/1/2012,8,tier2
GRIFO SENOR DE SIPAN E.I.R.L,20480666071,COMERCIO,BANCA MULTIPLE,BCP,956097,860487.3,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,5/1/2012,7,tier2
NEGOCIOS HEMI S.A.C.,20488019512,COMERCIO,BANCA MULTIPLE,BCP,52215,49604.25,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,6/1/2012,7,tier2
MOLINERA ANGIE S.A.C.,20488137809,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,258423,245501.85,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,9/1/2012,7,tier2
COMERCIAL SAAVEDRA EL CHOTANITO E.I.R.L,20538948790,"AGRICULTUR, GANADERIA, CAZA Y SILVICULT",BANCA MULTIPLE,SCOTIABANK,16000,15680,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,11/1/2012,7,tier2
PLANET MOTOR'S S.A.C.,20539118111,COMERCIO,BANCA MULTIPLE,BCP,17932,17573.36,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,4/1/2013,7,tier2
DISTRIBUCIONES Y VENTAS C IX SAC,20539110307,COMERCIO,BANCA MULTIPLE,BCP,174242,165529.9,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,6/1/2013,6,tier2
TECNILLANTAS EL CHASQUI E .I.R.L.,20539203658,COMERCIO,BANCA MULTIPLE,BCP,24334,23847.32,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,8/1/2013,6,tier2
GRUPO CULMEN SAC,20539260376,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,83202,79041.9,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,9/1/2013,6,tier2
AGRO ESPECIAS Y FRUTOS DEL PAIS SAC,20539243790,COMERCIO,CMAC,CMAC SULLANA,99510,94534.5,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,9/1/2013,6,tier2
EMPRESA MULTISERVICIOS DIAZ SAC,20561147931,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO BBVA PERU,25300,24794,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,1/1/2014,6,tier2
CORPORACION CARRASCO & CORONEL S.A.C.,20561146374,COMERCIO,BANCA MULTIPLE,BCP,70401,66880.95,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,1/1/2014,6,tier2
COMERCIAL FERRETERA LA PILCA SAC,20600094581,COMERCIO,CMAC,CMAC TRUJILLO,7150,7007,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,1/1/2015,5,tier2
TRANSPORTES ORGULLO CHICL AYANO SAC,20539292065,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,49395,46925.25,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,5/1/2015,4,tier3
ALMACENES SALVADOR S.A.C.,20600341805,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,452318,407086.2,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,5/1/2015,4,tier3
CONSULTORES Y EJECUTORES GENERALES ALQUI S.R.L.,20600442288,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,15099,14797.02,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,6/1/2015,4,tier3
AGROFORESTAL NIETO EIRL,20600459075,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,76000,72200,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,6/1/2015,4,tier3
LLANTAS Y REPUESTOS LEOVAL S.A.C.,20600654510,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BANCO BBVA PERU,87342,82974.9,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,9/1/2015,4,tier3
MECANICA DIESEL YULINHO SAC,20601045282,COMERCIO,CMAC,CMAC TRUJILLO,11000,10780,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,2/1/2016,4,tier3
ENERGIA Y CONSULTORIA PL S.R.L.,20601062314,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,150988,143438.6,LAMBAYEQUE,Soc.Com.Respons. Ltda,Activo,3/1/2016,4,tier3
HOSPEDAJES DEL PUEBLO EIR L,20601154162,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,13870,13592.6,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,4/1/2016,4,tier3
EMPRESA DE TRANSPORTES Y TURISMO VALMA SAC,20601232902,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,66086,62781.7,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,5/1/2016,3,tier3
DISTRIBUIDORA VALLE DEL ORIENTE S.A.C.,20601340101,COMERCIO,BANCA MULTIPLE,SCOTIABANK,420000,378000,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,7/1/2016,3,tier3
COMPUTER ACCESORIES & BUS SINES EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITA,20601474558,COMERCIO,BANCA MULTIPLE,BCP,30325,28808.75,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,9/1/2016,3,tier3
TIERRA FERTIL SERVICIOS GENERALES ALIMEN TICIOS G Y F SAC,20601629276,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,200000,190000,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,11/1/2016,3,tier3
NEGOCIOS   REPRESENTACIONES DOLMAR E I R,20601686342,COMERCIO,BANCA MULTIPLE,SCOTIABANK,55000,52250,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,11/1/2016,3,tier3
AGRO NEGOCIOS RUBEN E.I.R .L.,20557915894,COMERCIO,BANCA MULTIPLE,BCP,293619,278938.05,LAMBAYEQUE,Empresa Individual de Resp. Ltda,Activo,2/27/2017,3,tier3
EMPRESA MUSICAL ORQUESTA CANDELA S.A.C.,20561131181,OTROS SERVICIOS,BANCA MULTIPLE,BCP,28573,28001.54,LAMBAYEQUE,Sociedad Anonima Cerrada,Activo,4/12/2017,3,tier3
CONSTRUCCIONES ELECTROMECANICAS DELCROSA,20100019940,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,INTERBANK,5918000,4734400,LIMA,Sociedad Anonima,Activo,4/13/1954,66,tier1
A W FABER CASTELL PERUANA S.A.,20100050359,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,SCOTIABANK,10000000,8000000,LIMA,Sociedad Anonima,Activo,5/21/1965,54,tier1
TRANSVER EIRL,20120336992,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO BBVA PERU,432012,388810.8,LIMA,Empresa Individual de Resp. Ltda,Activo,7/2/1982,37,tier1
ABS COMPUTER S.A.C,20142564824,COMERCIO,BANCA MULTIPLE,BCP,113705,108019.75,LIMA,Sociedad Anonima Cerrada,Activo,4/19/1993,27,tier1
GRENICH S R L,20207005992,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,MIBANCO,22055,21613.9,LIMA,Soc.Com.Respons. Ltda,Activo,1/24/1994,26,tier1
IMPORTACIONES Y EXPORTACIONES SELVA SA,20263977158,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BANCO BBVA PERU,780000,702000,LIMA,Sociedad Anonima,Activo,3/7/1995,25,tier1
CENTRO DE DIAGNOSTICO LA ROSA TORO 990 E.I.R.L.,20304018837,SERVICIOS SOCIALES Y DE SALUD,BANCA MULTIPLE,BCP,75216,71455.2,LIMA,Empresa Individual de Resp. Ltda,Activo,4/18/1996,24,tier1
LETREROS CORPORATIVOS S.A.,20308700349,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO PICHINCHA,1130900,1017810,LIMA,Sociedad Anonima,Activo,7/5/1996,23,tier1
ELECTROMECANICA ASUNCION LA MOLINA S.R.L.,20381773036,COMERCIO,BANCA MULTIPLE,BCP,61720,58634,LIMA,Soc.Com.Respons. Ltda,Activo,1/9/1998,22,tier1
SERVICIOS GENERALES EMIL S.C.R.L.,20385202297,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,30423,28901.85,LIMA,Soc.Com.Respons. Ltda,Activo,3/16/1998,22,tier1
INVERSIONES REIXA SAC,20386489263,HOTELES Y RESTAURANTES,BANCA MULTIPLE,INTERAMERICANO,2.802.503.333,2522253,LIMA,Sociedad Anonima Cerrada,Activo,4/13/1998,22,tier1
RADIADORES INDUSTRIALES T UBILLAS S.A.C.,20388710994,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,512052,460846.8,LIMA,Sociedad Anonima Cerrada,Activo,5/25/1998,21,tier1
INDUSTRIA DE PLASTICOS FO RTUNA E.I.R.L.,20389714250,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,100233,95221.35,LIMA,Empresa Individual de Resp. Ltda,Activo,6/11/1998,21,tier1
SOUTH SCIENCE S.A.C.,20461226150,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,8257,8091.86,LIMA,Sociedad Anonima Cerrada,Activo,1/27/2000,20,tier1
C.E.P.REGINA DECOR CARMELI S.R.L.,20504593909,ENSENANZA,BANCA MULTIPLE,BANCO BBVA PERU,136264,129450.8,LIMA,Soc.Com.Respons. Ltda,Activo,7/1/2002,17,tier1
INVERSIONES SOLANO E.I.R.L.,20486056640,COMERCIO,BANCA MULTIPLE,BCP,1826949,1644254.1,LIMA,Empresa Individual de Resp. Ltda,Activo,4/10/2003,17,tier1
GENERAL CONTROL GROUP SAC,20507051295,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,SCOTIABANK,695000,625500,LIMA,Sociedad Anonima Cerrada,Activo,9/17/2003,16,tier1
BEJARANO &PENA ASOCIADOS AUDITORES CONSU LTORES SCRL,20507411330,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO BBVA PERU,28225,27660.5,LIMA,Soc.Com.Respons. Ltda,Activo,10/9/2003,16,tier1
COMERCIALIZACION SOL Y MAR EIRL,20445387925,OTROS SERVICIOS,CMAC,CMAC SULLANA,124080,117876,LIMA,Empresa Individual de Resp. Ltda,Activo,4/1/2004,16,tier1
REPRESENTACIONES EL VADO,20509816655,COMERCIO,BANCA MULTIPLE,INTERBANK,1520000,1368000,LIMA,Sociedad Anonima Cerrada,Activo,11/24/2004,15,tier1
REPUESTOS MOA E.I.R.L.,20510280319,COMERCIO,BANCA MULTIPLE,BCP,1308250,1177425,LIMA,Empresa Individual de Resp. Ltda,Activo,2/17/2005,15,tier1
COINREFRI AIR S.A.C.,20510913371,COMERCIO,BANCA MULTIPLE,BCP,2200551,1980495.9,LIMA,Sociedad Anonima Cerrada,Activo,6/6/2005,14,tier1
MULTISERVICIOS CASABLANCA S.A.C.,20530975372,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,55000,52250,LIMA,Sociedad Anonima Cerrada,Activo,4/17/2006,14,tier1
G Y M BARBA S.A.C.,20512816321,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,25733,25218.34,LIMA,Sociedad Anonima Cerrada,Activo,5/16/2006,13,tier1
OPTICAS HOLLYWOOD,20514037389,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,20964,20544.72,LIMA,Empresa Individual de Resp. Ltda,Activo,9/19/2006,13,tier1
RING RING & ENERGY CORPORATION SUCURSALPERU,20515573365,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,3709829,3338846.1,LIMA,Sucursales o Ag. de Emp. Extranj.,Activo,4/9/2007,13,tier1
RUBIO & SABERBEIN ASOCIADOS SAC,20516210428,CONSTRUCCION,BANCA MULTIPLE,BANCO PICHINCHA,157395,149525.25,LIMA,Sociedad Anonima Cerrada,Activo,6/11/2007,12,tier1
INMOBILIARIA R.E.G.A.L  S.A.C.,20517036006,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,174150,165442.5,LIMA,Sociedad Anonima Cerrada,Activo,10/15/2007,12,tier1
ESPECTRO PRODUCCIONES SAC,20517326772,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BANCO BBVA PERU,96444,91621.8,LIMA,Sociedad Anonima Cerrada,Activo,10/23/2007,12,tier1
REDES ELECTRICAS CANALES S.A.C.,20518277325,CONSTRUCCION,BANCA MULTIPLE,BCP,165858,157565.1,LIMA,Sociedad Anonima Cerrada,Activo,3/1/2008,12,tier1
TRANSPORTES RIVERA PASCUA L S.A.C,20477933514,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,118451,112528.45,LIMA,Sociedad Anonima Cerrada,Activo,11/13/2008,11,tier1
YMABE CONTRATISTAS GENERALES SAC,20479087360,CONSTRUCCION,BANCA MULTIPLE,BANCO BBVA PERU,183700,174515,LIMA,Sociedad Anonima Cerrada,Activo,1/5/2009,11,tier1
ENGINEERING BUSINESS SOLU TIONS CORPORATION,20478089440,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,85143,80885.85,LIMA,Sociedad Anonima Cerrada,Activo,1/20/2009,11,tier1
ABEL & KARLA INGENIEROS S .A.C.,20523211740,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,5922,5803.56,LIMA,Sociedad Anonima Cerrada,Activo,9/20/2009,10,tier1
INVERSIONES DE AMERICA DE SUR S.A. CER RADA - AMERSUR S.A.C.,20519277299,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,335498,301948.2,LIMA,Sociedad Anonima Cerrada,Activo,2/5/2010,10,tier1
C & R TRUCK EQUIPMENT S.R .L.,20455514666,COMERCIO,BANCA MULTIPLE,BCP,396302,356671.8,LIMA,Soc.Com.Respons. Ltda,Activo,3/30/2010,10,tier1
MUNDO RADIAL SAC,20536156438,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,363868,327481.2,LIMA,Sociedad Anonima Cerrada,Activo,5/18/2010,9,tier2
GLOBAL CLEAN PERU SAC,20392748840,COMERCIO,BANCA MULTIPLE,BCP,294611,279880.45,LIMA,Sociedad Anonima Cerrada,Activo,3/21/2011,9,tier2
UMA VIDA S.A.C.,20543816541,COMERCIO,BANCA MULTIPLE,BCP,88542,84114.9,LIMA,Sociedad Anonima Cerrada,Activo,7/15/2011,8,tier2
CORPORACION FERMIMAR S.A. C,20545802407,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,33258,31595.1,LIMA,Sociedad Anonima Cerrada,Activo,12/1/2011,8,tier2
IMPORTACIONES & EXPORTACIONES MELANIE S.A.C.,20549203001,COMERCIO,BANCA MULTIPLE,BCP,243930,231733.5,LIMA,Sociedad Anonima Cerrada,Activo,9/1/2012,7,tier2
INVERSIONES KELMAD S.A.C,20477971106,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,39083,37128.85,LIMA,Sociedad Anonima Cerrada,Activo,11/1/2012,7,tier2
CHIFA CENTRAL CHACLA E.I. R.L.,20549798358,HOTELES Y RESTAURANTES,BANCA MULTIPLE,BCP,17745,17390.1,LIMA,Empresa Individual de Resp. Ltda,Activo,11/1/2012,7,tier2
CANNONHOME PERU E.I.R.L.,20550937337,COMERCIO,BANCA MULTIPLE,INTERBANK,10690,10476.2,LIMA,Empresa Individual de Resp. Ltda,Activo,12/22/2012,7,tier2
CASA CORES S.A.C.,20549995692,COMERCIO,BANCA MULTIPLE,BCP,37647,35764.65,LIMA,Sociedad Anonima Cerrada,Activo,5/1/2013,6,tier2
EIDFUNM SAC,20552679017,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,MIBANCO,52979,50330.05,LIMA,Sociedad Anonima Cerrada,Activo,5/2/2013,6,tier2
VDV GROUP SAC,20553151326,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO BBVA PERU,109000,103550,LIMA,Sociedad Anonima Cerrada,Activo,6/7/2013,6,tier2
KAISA S.A.C.,20554034064,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO BBVA PERU,625500,562950,LIMA,Sociedad Anonima Cerrada,Activo,8/12/2013,6,tier2
NYTEC SAC,20555906138,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,SCOTIABANK,275506,261730.7,LIMA,Sociedad Anonima Cerrada,Activo,1/2/2014,6,tier2
CONSTRUMAQ PERU S.A.,20556924245,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,BCP,92439,87817.05,LIMA,Sociedad Anonima,Activo,3/13/2014,6,tier2
CORPORACION GARRIAZO S.A.C. - CO,20562812661,INDUSTRIA MANUFACTURERA,BANCA MULTIPLE,SCOTIABANK,561000,504900,LIMA,Sociedad Anonima Cerrada,Activo,6/14/2014,5,tier2
LOS ANGELES PERU SAC,20563078694,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,300000,285000,LIMA,Sociedad Anonima Cerrada,Activo,7/1/2014,5,tier2
COMPUYSA IMPORT S.A.C.,20563344246,COMERCIO,BANCA MULTIPLE,BCP,78345,74427.75,LIMA,Sociedad Anonima Cerrada,Activo,8/1/2014,5,tier2
FARCON SUMINISTROS SAC,20565708709,COMERCIO,BANCA MULTIPLE,MIBANCO,259462,246488.9,LIMA,Sociedad Anonima Cerrada,Activo,10/3/2014,5,tier2
SIMSC SAC,20600120302,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO BBVA PERU,216881,206036.95,LIMA,Sociedad Anonima Cerrada,Activo,2/7/2015,5,tier2
AUTOPARTES MR INVERSIONES SAC,20600200900,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,195000,185250,LIMA,Sociedad Anonima Cerrada,Activo,3/19/2015,5,tier2
PACIFIC MARITIME AGENCY S.A.C.,20600358449,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,1000000,900000,LIMA,Sociedad Anonima Cerrada,Activo,5/8/2015,4,tier3
SHIFT PARTNERS S.A.C,20600399676,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,SCOTIABANK,871606,784445.4,LIMA,Sociedad Anonima Cerrada,Activo,5/25/2015,4,tier3
PREMIUM ROSES SAC,20600626443,"AGRICULTUR, GANADERIA, CAZA Y SILVICULT",BANCA MULTIPLE,BCP,64185,60975.75,LIMA,Sociedad Anonima Cerrada,Activo,9/1/2015,4,tier3
MULTISERVICIOS JOHNSON & DKM E.I.R.L.,20600715683,COMERCIO,BANCA MULTIPLE,BCP,49316,46850.2,LIMA,Empresa Individual de Resp. Ltda,Activo,10/5/2015,4,tier3
SERVICIOS Y ASESORIAS IPEMAN SAC,20600743245,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BANCO BBVA PERU,81720,77634,LIMA,Sociedad Anonima Cerrada,Activo,10/19/2015,4,tier3
CAPILAR STORM SAC,20600796641,COMERCIO,BANCA MULTIPLE,BANCO BBVA PERU,47316,44950.2,LIMA,Sociedad Anonima Cerrada,Activo,11/10/2015,4,tier3
MARINES THREE CORPORATION S.A.C.,20601028728,"ACTIV. INMOBILIARIAS, EMPRESARIALES ALQ.",BANCA MULTIPLE,BCP,59509,56533.55,LIMA,Sociedad Anonima Cerrada,Activo,2/22/2016,4,tier3
TEXPRINTS SAC,20601165041,COMERCIO,BANCA MULTIPLE,BCP,19890,19492.2,LIMA,Sociedad Anonima Cerrada,Activo,4/19/2016,4,tier3
CORPORACION GIANBAR SA,20601191777,"TRANSPORTE, ALMACENAMIENTO Y COMUNIC.",BANCA MULTIPLE,BCP,142545,135417.75,LIMA,Sociedad Anonima,Activo,5/1/2016,3,tier3
