"GENERO","EDAD","MERITO","UNIVERSIDAD","UBICACION_U","PRACTICAS","NUMERO_DE_PERSONAS","ETNIA","BECADO","VIVIENDA","P_SUELDO","INGRESO_SECU_IND","INGRESO_SECU_DEP","INGRESO_OCUPACIÓN_IND","INGRESO_OCUPACIÓN_DEP","FINANCIAMIENTO_F","PRESTAMO_BANCO","CARRERA","NOMBRE_U","T_TRABAJO","CAR_TRA","EMPLEO"
"Masculino","Sí","Decimo superior","Privada","LIMA",1,4,"Mestizo","No","Departamento","Hasta 750",0,1200,0,3000,"Sí","No","CIENCIAS DE LA COMUNICACIÓN","UNIVERSIDAD NACIONAL DE TRUJILLO","Menos de un mes","Sí","Sí"
"Masculino","Sí","Quinto Superior","Pública","CALLAO",1,3,"Mestizo","No","Departamento",NA,0,0,0,780,"Sí","No","INGENIERÍA QUÍMICA","UNIVERSIDAD NACIONAL DE TUMBES",NA,"No","No"
"Femenino","Sí","Tercio Superior","Privada","AREQUIPA",8,5,"Mestizo","No","Independiente","751 a 1000",0,0,0,1100,"Sí","No","ENFERMERÍA","UNIVERSIDAD NACIONAL DEL ALTIPLANO","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Pública","AYACUCHO",4,1,"Mestizo","No","Independiente",NA,2500,0,0,2800,"Sí","No","INGENIERÍA DE SISTEMAS","UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ",NA,"Sí","Sí"
"Femenino","Sí","NO","Pública","CAJAMARCA",1,2,"Mestizo","No","Independiente","Hasta 750",0,0,0,0,"Sí","No","SOCIOLOGÍA","UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA","Menos de un mes",NA,"No"
"Masculino","Sí","Quinto Superior","Privada","CAJAMARCA",1,5,"Mestizo","No","Departamento","Hasta 750",0,0,0,2000,"Sí","No","OBSTETRICIA","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","Entre 3 a 6 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","CUSCO",1,1,"Mestizo","No","Independiente","Hasta 750",0,389.7,0,1800,"Sí","No","CONTABILIDAD","UNIVERSIDAD CATÓLICA DE TRUJILLO","Menos de un mes","Sí","No"
"Femenino","Sí","Decimo superior","Privada","LAMBAYEQUE",4,4,"Blanco","No","Independiente","1501 a 2500",0,0,0,2500,"Sí","No","ENFERMERÍA","UNIVERSIDAD ESAN","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Pública","MADRE DE DIOS",2,1,"Quechua","No","Independiente",NA,300,0,0,805,"Sí","No","ECOTURISMO","UNIVERSIDAD LATINOAMERICA DE CIMA",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","LIMA",NA,NA,"Mestizo","No","Independiente","Hasta 750",0,0,0,3200,"Sí","No","INGENIERÍA MECÁNICA ELÉCTRICA (INGENIERÍA MECÁNICA- ELÉCTRICA E INGENIERÍA MECÁNICA Y ELÉCTRICA)","UNIVERSIDAD PRIVADA DE PUCALLPA","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Pública","TUMBES",1,4,"Mestizo","No","Independiente","Hasta 750",200,0,0,3500,"Sí","No","ENFERMERÍA","UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE","Meses a menos de un año","Sí","Sí"
"Femenino","Sí","NO","Pública","LIMA",2,5,"Mestizo","No","Independiente",NA,0,0,0,2500,"Sí","No","INGENIERÍA EN GESTIÓN EMPRESARIAL   (INGENIERIA DE GESTION EMPRESARIAL)","UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURÍMAC",NA,"Sí","Sí"
"Femenino","Sí","NO","Pública","LA LIBERTAD",3,4,"Mestizo","No","Independiente","Hasta 750",0,0,0,1400,"Sí","No","TRABAJO SOCIAL","UNIVERSIDAD ALAS PERUANAS","Entre uno a dos años","Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",1,1,"No sabe","No","Independiente",NA,0,0,0,1400,"Sí","No","INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","UNIVERSIDAD DE LA AMAZONÍA MARIO PELAEZ BAZÁN",NA,"Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",1,3,"Blanco","No","Independiente","1501 a 2500",0,0,0,2200,"No","No","CIENCIAS DE LA COMUNICACIÓN","UNIVERSIDAD NACIONAL DE TRUJILLO","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",4,4,"Mestizo","No","Departamento","2501 a 3500",0,0,0,2900,"Sí","No","ADMINISTRACIÓN Y MARKETING","UNIVERSIDAD PRIVADA JUAN PABLO II","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","AREQUIPA",1,1,"Mestizo","No","Departamento","Hasta 750",0,50,0,800,"Sí","No","ADMINISTRACIÓN DE NEGOCIOS","UNIVERSIDAD DE PIURA","No busco trabajo","Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","JUNIN",1,1,"Mestizo","No","Independiente",NA,0,0,2000,0,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD NACIONAL FEDERICO VILLARREAL",NA,"Sí","No"
"Masculino","Sí","Tercio Superior","Privada","LIMA",2,1,"Blanco","No","Independiente","Hasta 750",0,0,0,0,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD PRIVADA DE TRUJILLO","Menos de un mes",NA,"No"
"Femenino","Sí","Tercio Superior","Privada","LIMA",1,4,"Mestizo","No","Independiente",NA,0,0,0,800,"Sí","No","ADMINISTRACIÓN DE NEGOCIOS","UNIVERSIDAD DE SAN MARTÍN DE PORRES",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","TACNA",3,1,"Mestizo","No","Independiente",NA,0,0,350,0,"Sí","No","ODONTOLOGÍA","UNIVERSIDAD NACIONAL DE INGENIERÍA",NA,"Sí","Sí"
"Femenino","Sí","Quinto Superior","Pública","JUNIN",2,2,"Quechua","No","Independiente",NA,0,0,0,900,"Sí","No","ADMINISTRACIÓN EN TURISMO Y HOTELERÍA    (ADMINISTRACIÓN  DE TURISMO Y HOTELERÍA ;  ADMINISTRACIÓN HOTELERA Y DE TURISMO Y ADMINISTRACIÓN HOTELERA Y TURISMO)","UNIVERSIDAD NACIONAL FEDERICO VILLARREAL",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","LORETO",1,2,"Mestizo","No","Independiente",NA,0,0,0,2700,"Sí","No","CONTABILIDAD","UNIVERSIDAD CATÓLICA SAN PABLO",NA,"Sí","Sí"
"Masculino","Sí","NO","Privada","SAN MARTIN",1,1,"Mestizo","No","Departamento",NA,0,0,0,1000,"Sí","No","MARKETING Y NEGOCIOS INTERNACIONALES","UNIVERSIDAD NACIONAL DE SAN MARTÍN",NA,"Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LIMA",2,2,"Blanco","No","Independiente",NA,0,0,0,1000,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN",NA,"No","Sí"
"Femenino","Sí","NO","Pública","LIMA",1,2,"Mestizo","No","Independiente",NA,0,0,0,1000,"Sí","No","EDUCACIÓN (CIENCIAS DE LA EDUCACION)","UNIVERSIDAD NACIONAL TECNOLÓGICA DEL CONO SUR DE LIMA",NA,"Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","LIMA",1,5,"Mestizo","No","Independiente",NA,0,0,0,1700,"Sí","No","INGENIERÍA INDUSTRIAL","UNIVERSIDAD NACIONAL TECNOLÓGICA DEL CONO SUR DE LIMA",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","MOQUEGUA",1,5,"Aymara","No","Independiente","1501 a 2500",0,0,0,1645.4,"Sí","No","INGENIERÍA DE MINAS","UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN","Entre uno a dos años","No","Sí"
"Femenino","Sí","NO","Privada","CUSCO",4,3,"Mestizo","No","Departamento","Hasta 750",0,0,0,1100,"Sí","No","EDUCACIÓN (CIENCIAS DE LA EDUCACION)","UNIVERSIDAD CATÓLICA DE TRUJILLO","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Pública","HUANUCO",1,4,"Mestizo","No","Independiente",NA,0,500,1500,0,"Sí","No","ZOOTECNIA","ASOCIACIÓN UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","LA LIBERTAD",3,4,"Mestizo","No","Independiente","Hasta 750",0,0,0,1040,"Sí","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD ALAS PERUANAS","Entre 1 a 3 meses","No","Sí"
"Masculino","Sí","NO","Pública","TUMBES",1,4,"Mestizo","No","Independiente","751 a 1000",0,0,0,0,"Sí","No","INGENIERÍA AGRÓNOMA","UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE","Entre 1 a 3 meses",NA,"No"
"Femenino","Sí","Tercio Superior","Pública","TUMBES",1,2,"Mestizo","No","Independiente","Hasta 750",0,0,0,0,"Sí","No","GESTIÓN EN HOTELERÍA Y TURISMO","UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE","Entre 3 a 6 meses",NA,"No"
"Femenino","Sí","NO","Privada","PIURA",4,1,"Mestizo","No","Independiente","751 a 1000",0,0,0,1700,"Sí","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN","Entre 3 a 6 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","SAN MARTIN",2,1,"Mestizo","No","Independiente","Hasta 750",0,0,0,2300,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL DE JAÉN","Menos de un mes","Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","TUMBES",1,5,"Mestizo","No","Independiente",NA,0,0,0,4000,"Sí","No","CONTABILIDAD","UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE",NA,"No","Sí"
"Masculino","Sí","NO","Pública","ICA",NA,NA,"Mestizo","No","Independiente",NA,0,0,0,2500,"Sí","No","INGENIERÍA QUÍMICA","UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO",NA,"Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","LIMA",3,1,"Mestizo","No","Independiente",NA,0,0,0,2200,"No","Si","DERECHO","UNIVERSIDAD DE SAN MARTÍN DE PORRES",NA,"Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LAMBAYEQUE",1,3,"Mestizo","No","Independiente",NA,666.666666666667,0,0,525,"No","No","TECNOLOGÍA MÉDICA","UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE",NA,"Sí","Sí"
"Masculino","Sí","NO","Privada","PIURA",4,4,"Mestizo","No","Independiente",NA,0,0,0,400,"Sí","No","INGENIERÍA MECÁNICA ELÉCTRICA (INGENIERÍA MECÁNICA- ELÉCTRICA E INGENIERÍA MECÁNICA Y ELÉCTRICA)","UNIVERSIDAD ANDINA NESTOR CÁCERES VELÁSQUEZ",NA,"Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","LIMA",1,5,"Mestizo","No","Departamento","1501 a 2500",0,0,0,5600,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Privada","HUANUCO",NA,NA,"Mestizo","No","Independiente",NA,0,0,500,0,"Sí","No","ODONTOLOGÍA","UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","ICA",2,5,"Mestizo","No","Independiente","Hasta 750",0,0,0,1515,"Sí","No","INGENIERÍA AGRÓNOMA","UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","LORETO",2,3,"Mestizo","No","Independiente",NA,0,0,0,1700,"Sí","No","PSICOLOGÍA","UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","PIURA",2,1,"Mestizo","No","Departamento","1001 a 1500",0,0,0,1600,"Sí","No","CONTABILIDAD","UNIVERSIDAD NACIONAL DE JAÉN","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","HUANCAVELICA",1,2,"Quechua","No","Independiente",NA,0,0,0,600,"Sí","No","AGRONOMÍA","UNIVERSIDAD AUTÓNOMA DEL PERÚ","Entre 3 a 6 meses","Sí","Sí"
"Masculino","Sí","Tercio Superior","Pública","PUNO",1,3,"Quechua","No","Independiente",NA,0,0,100,0,"Sí","No","BIOLOGÍA","UNIVERSIDAD NACIONAL DEL SANTA","Entre uno a dos años","No","No"
"Femenino","Sí","Tercio Superior","Pública","CALLAO",1,1,"Mestizo","No","Independiente","Hasta 750",0,0,0,1000,"Sí","No","INGENIERÍA QUÍMICA","UNIVERSIDAD NACIONAL DE TUMBES","Entre 3 a 6 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","CALLAO",3,3,"Mestizo","No","Departamento","751 a 1000",0,0,0,1500,"Sí","No","EDUCACIÓN SECUNDARIA - FILOSOFÍA Y CIENCIAS SOCIALES","UNIVERSIDAD DE CIENCIAS Y ARTES DE AMERICA LATINA","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",2,3,"Mestizo","No","Independiente",NA,0,0,0,3500,"Sí","No","GESTIÓN Y ALTA DIRECCIÓN","UNIVERSIDAD NACIONAL DE CAÑETE",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",2,5,"Mestizo","No","Departamento",NA,0,0,0,2000,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL DE CAÑETE",NA,"Sí","Sí"
"Masculino","Sí","Quinto Superior","Privada","LA LIBERTAD",4,2,"Mestizo","No","Independiente","Hasta 750",0,0,720,0,"Sí","No","EDUCACIÓN PRIMARIA","UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI","Entre 1 a 3 meses","Sí","No"
"Femenino","Sí","NO","Privada","LIMA",4,5,"Mestizo","No","Departamento",NA,0,0,500,0,"Sí","No","ADMINISTRACIÓN","UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN",NA,"Sí","No"
"Masculino","Sí","Tercio Superior","Pública","TACNA",1,2,"Aymara","No","Independiente",NA,0,0,0,0,"Sí","No","BIOLOGÍA Y MICROBIOLOGÍA","UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN",NA,NA,"No"
"Masculino","Sí","Tercio Superior","Privada","LIMA",3,5,"Mestizo","No","Independiente","1001 a 1500",0,0,0,2500,"Sí","Si","ECONOMÍA","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Privada","LIMA",1,1,"Mestizo","No","Independiente",NA,0,0,0,1500,"Sí","No","ARQUITECTURA","UNIVERSIDAD NACIONAL DE TRUJILLO",NA,"Sí","No"
"Masculino","Sí","Decimo superior","Privada","LIMA",3,5,"Mestizo","No","Independiente",NA,0,0,0,3500,"Sí","No","INGENIERÍA INDUSTRIAL","UNIVERSIDAD NACIONAL DE CAÑETE",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",1,3,"Blanco","No","Independiente","1001 a 1500",0,0,0,1800,"Sí","No","ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES   ( ADMINISTRACIÓN Y NEGOCIOS INTERNACIONALES)","UNIVERSIDAD NACIONAL DE TRUJILLO","Menos de un mes","Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LIMA",2,1,"Mestizo","Si","Independiente","751 a 1000",0,0,0,1200,"No","No","ECONOMÍA","UNIVERSIDAD AUTONOMA SAN FRANCISCO","Menos de un mes","Sí","Sí"
"Masculino","Sí","NO","Pública","CAJAMARCA",2,5,"Mestizo","No","Independiente","1001 a 1500",0,0,0,3200,"Sí","No","ADMINISTRACIÓN","UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Privada","HUANUCO",3,3,"Mestizo","No","Independiente",NA,0,0,0,750,"Sí","No","EDUCACIÓN BÁSICA, INICIAL Y PRIMARIA","UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","LAMBAYEQUE",1,1,"Mestizo","No","Independiente",NA,0,0,0,1500,"Sí","No","ECONOMÍA","UNIVERSIDAD NACIONAL AGRARIA LA MOLINA",NA,"Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","LIMA",1,5,"Mestizo","No","Independiente","3501 a 4500",0,0,0,6500,"Sí","No","INGENIERÍA ECONÓMICA Y DE NEGOCIOS","UNIVERSIDAD INCA GARCILASO DE LA VEGA","Menos de un mes","Sí","Sí"
"Masculino","Sí","Quinto Superior","Pública","LIMA",1,2,"Mestizo","No","Independiente","1001 a 1500",0,0,0,2500,"Sí","No","TECNOLOGÍA MÉDICA","UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS","Menos de un mes","Sí","Sí"
"Masculino","Sí","Quinto Superior","Pública","HUANUCO",1,5,"Mestizo","No","Independiente",NA,0,0,0,1500,"Sí","No","INGENIERÍA DE SISTEMAS","FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA",NA,"Sí","Sí"
"Femenino","Sí","Quinto Superior","Pública","HUANUCO",2,2,"Mestizo","No","Independiente","751 a 1000",100,0,0,1108,"Sí","No","EDUCACIÓN SECUNDARIA - LENGUA Y LITERATURA","FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA","Entre 3 a 6 meses","Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LIMA",5,5,"Mestizo","No","Independiente","751 a 1000",0,0,0,1500,"Sí","No","ENFERMERÍA","UNIVERSIDAD PRIVADA DE HUÁNUCO","Entre 3 a 6 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","LIMA",1,6,"Mestizo","No","Independiente","751 a 1000",0,0,0,1000,"Sí","No","ECONOMÍA Y FINANZAS","UNIVERSIDAD NACIONAL TECNOLÓGICA DEL CONO SUR DE LIMA","Entre 1 a 3 meses","Sí","Sí"
"Masculino","Sí","Quinto Superior","Privada","PIURA",2,1,"Mestizo","No","Independiente","751 a 1000",0,0,0,1200,"Sí","No","ADMINISTRACIÓN","UNIVERSIDAD DE LIMA","Menos de un mes","Sí","No"
"Masculino","Sí","NO","Privada","LIMA",2,5,"Mestizo","No","Independiente",NA,0,0,0,3200,"Sí","No","ECONOMÍA","UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN",NA,"Sí","Sí"
"Masculino","Sí","Decimo superior","Pública","LIMA",1,1,"Mestizo","No","Departamento","Hasta 750",0,0,0,2000,"Sí","No","CIENCIA POLÍTICA","UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Pública","LIMA",3,2,"Mestizo","No","Independiente","1501 a 2500",0,0,0,2200,"Sí","No","BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN","UNIVERSIDAD NACIONAL PEDRO RUÍZ GALLO","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LIMA",1,6,"No sabe","No","Independiente","Hasta 750",0,0,0,3500,"Sí","Si","SOCIOLOGÍA","UNIVERSIDAD NACIONAL DE CAÑETE","Menos de un mes","Sí","Sí"
"Masculino","Sí","Tercio Superior","Privada","LIMA",2,4,"Mestizo","No","Independiente","2501 a 3500",0,0,0,8000,"Sí","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD ANDINA NESTOR CÁCERES VELÁSQUEZ","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",2,3,"Mestizo","No","Departamento","Hasta 750",0,0,1000,0,"Sí","No","PERIODISMO","UNIVERSIDAD NACIONAL DE CAJAMARCA","Entre 1 a 3 meses","No","No"
"Femenino","Sí","Tercio Superior","Privada","LA LIBERTAD",3,1,"Mestizo","No","Independiente","Hasta 750",0,400,0,1300,"Sí","No","CONTABILIDAD Y FINANZAS","UNIVERSIDAD PRIVADA PERUANO ALEMANA","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Pública","LIMA",1,3,"Mestizo","No","Independiente",NA,0,0,0,2000,"Sí","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD PRIVADA DE PUCALLPA",NA,"Sí","Sí"
"Masculino","Sí","NO","Pública","LORETO",1,1,"Mestizo","No","Independiente",NA,300,0,0,400,"Sí","No","INGENIERÍA DE SISTEMAS E INFORMÁTICA   ( INGENIERÍA INFORMÁTICA Y  DE SISTEMAS)","UNIVERSIDAD CATÓLICA SAN PABLO",NA,"Sí","No"
"Masculino","Sí","Tercio Superior","Privada","LIMA",NA,NA,"Mestizo","No","Departamento","1001 a 1500",360,0,0,1800,"Sí","No","ARQUITECTURA","UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS","Entre 3 a 6 meses","Sí","Sí"
"Femenino","Sí","NO","Pública","LA LIBERTAD",1,1,"Mestizo","No","Independiente",NA,0,0,0,0,"Sí","No","EDUCACIÓN INICIAL","UNIVERSIDAD ALAS PERUANAS",NA,NA,"No"
"Masculino","Sí","Tercio Superior","Pública","LIMA",3,1,"Mestizo","No","Independiente","1501 a 2500",0,0,0,2400,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD NACIONAL INTERCULTURAL DE LA AMAZONÍA","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",2,4,"Mestizo","No","Independiente","1001 a 1500",0,0,0,1580,"Sí","No","INGENIERÍA INDUSTRIAL","UNIVERSIDAD PRIVADA DE HUÁNUCO","Entre 3 a 6 meses","Sí","Sí"
"Masculino","Sí","NO","Pública","HUANUCO",1,1,"No sabe","No","Independiente","Hasta 750",0,1000,1500,0,"Sí","No","CONTABILIDAD","FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","CAJAMARCA",1,3,"Mestizo","No","Independiente",NA,0,0,0,0,"Sí","No","INGENIERÍA FORESTAL","UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA",NA,NA,"No"
"Femenino","Sí","NO","Pública","HUANUCO",1,4,"Quechua","No","Independiente","Hasta 750",0,0,0,1500,"Sí","No","ECONOMÍA","ASOCIACIÓN UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",1,5,"Mestizo","No","Independiente",NA,0,0,0,2800,"Sí","No","INGENIERÍA TEXTIL","UNIVERSIDAD PRIVADA CÉSAR VALLEJO",NA,"Sí","Sí"
"Femenino","Sí","Decimo superior","Pública","MADRE DE DIOS",2,1,"Aymara","No","Independiente","1001 a 1500",0,0,2000,0,"Sí","No","INGENIERÍA FORESTAL Y DEL MEDIO AMBIENTE   ( INGENIERÍA FORESTAL Y MEDIO AMBIENTE E INGENIERÍA FORESTAL Y AMBIENTAL)","UNIVERSIDAD LATINOAMERICA DE CIMA","Menos de un mes","Sí","No"
"Masculino","Sí","Tercio Superior","Pública","MADRE DE DIOS",2,4,"Quechua","No","Independiente","1001 a 1500",0,0,0,1500,"Sí","No","INGENIERÍA AGROINDUSTRIAL","UNIVERSIDAD LATINOAMERICA DE CIMA","No busco trabajo","Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","TACNA",2,4,"Mestizo","No","Independiente",NA,0,0,0,0,"Sí","No","OBSTETRICIA","UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN",NA,NA,"No"
"Masculino","Sí","Tercio Superior","Pública","PUNO",1,1,"Mestizo","No","Independiente","1001 a 1500",0,0,0,1500,"Sí","No","INGENIERÍA CIVIL","UNIVERSIDAD NACIONAL DEL SANTA","Menos de un mes","Sí","Sí"
"Femenino","Sí","NO","Pública","PUNO",1,1,"Mestizo","No","Independiente","Hasta 750",0,0,0,600,"Sí","No","ODONTOLOGÍA","UNIVERSIDAD NACIONAL DEL SANTA","Menos de un mes","Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",4,2,"Mestizo","No","Independiente",NA,3380,0,0,2800,"Sí","No","EDUCACIÓN PRIMARIA","UNIVERSIDAD NACIONAL DE UCAYALI",NA,"Sí","Sí"
"Femenino","Sí","NO","Privada","LIMA",1,2,"Blanco","No","Independiente",NA,0,0,0,2500,"No","No","ADMINISTRACIÓN DE EMPRESAS","UNIVERSIDAD PRIVADA JUAN PABLO II",NA,"Sí","Sí"
"Femenino","Sí","NO","Pública","HUANCAVELICA",2,1,"Quechua","No","Independiente","1501 a 2500",0,0,0,1500,"Sí","No","ADMINISTRACIÓN","UNIVERSIDAD NACIONAL DE MOQUEGUA","Menos de un mes","Sí","Sí"
"Masculino","Sí","Quinto Superior","Pública","ICA",3,1,"Blanco","No","Independiente",NA,0,0,0,2000,"Sí","No","DERECHO Y CIENCIAS POLÍTICAS   (DERECHO Y CIENCIA POLÍTICA)","UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO",NA,"Sí","Sí"
"Femenino","Sí","Tercio Superior","Privada","LIMA",1,2,"Mestizo","No","Independiente","751 a 1000",0,0,0,1200,"Sí","No","EDUCACIÓN INICIAL","UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN","Menos de un mes","Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LIMA",2,4,"Mestizo","No","Independiente","1501 a 2500",0,0,0,2500,"Sí","No","INGENIERÍA INDUSTRIAL","UNIVERSIDAD NACIONAL DE CAÑETE","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LIMA",NA,NA,"Mestizo","No","Independiente",NA,0,0,0,1500,"No","No","ADMINISTRACIÓN","UNIVERSIDAD AUTONOMA SAN FRANCISCO",NA,"Sí","Sí"
"Femenino","Sí","Quinto Superior","Pública","ANCASH",2,5,"Mestizo","No","Independiente",NA,0,0,0,0,"Sí","No","INGENIERÍA AGROINDUSTRIAL","UNIVERSIDAD NACIONAL SAN LUIS GONZAGA",NA,NA,"No"
"Masculino","Sí","NO","Pública","TACNA",4,2,"Mestizo","No","Independiente",NA,0,0,700,0,"Sí","No","EDUCACIÓN SECUNDARIA - MATEMÁTICA, COMPUTACIÓN E INFORMÁTICA","UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN",NA,"Sí","Sí"
"Femenino","Sí","Quinto Superior","Privada","LA LIBERTAD",1,1,"Mestizo","No","Independiente",NA,0,0,0,0,"Sí","No","ENFERMERÍA","UNIVERSIDAD NACIONAL DEL CALLAO",NA,NA,"No"
"Masculino","Sí","NO","Privada","TACNA",2,4,"No sabe","No","Independiente","1501 a 2500",0,400,0,2500,"Sí","No","DERECHO","UNIVERSIDAD NACIONAL DE INGENIERÍA","Entre 1 a 3 meses","Sí","Sí"
"Femenino","Sí","Tercio Superior","Pública","CAJAMARCA",1,5,"Mestizo","No","Independiente","1001 a 1500",200,0,0,1700,"Sí","No","INGENIERÍA DE SISTEMAS","UNIVERSIDAD NACIONAL SAN CRISTOBAL DE HUAMANGA","Menos de un mes","Sí","Sí"
