Marca temporal,"                              
Género :
",Edad en años,"
Carrera :
","
Ciclo Académico: 
",Promedio ponderado del primer ciclo (ver sistema académico - notas).,¿Cuántos créditos has llevado el ciclo pasado?  ,Promedio ponderado del ciclo 2022-2 (ver sistema academico - notas),¿Cantidad de cursos que estas llevando?,"
¿Cómo es tu rendimiento académico?
","¿En que carreras de la universidad UTEC, consideras que hay más predominancia de género masculino?","¿En que carreras de la universidad UTEC, consideras que hay más predominancia de género (Femenino)?","
Factores que influyeron en tu elección de carrera:
",¿Has considerado cambiarte de carrera alguna ves?,¿A que carrera consideraste en cambiarte?,"
¿Consideras retirarte de la universidad? 
","
Razones por las que piensas retirarte de la universidad :"
3/05/2023 18:52:41,Masculino,20,4. Ingenieria Mecatrónica,7,15,17,14,5,3. Regular,"2. Ingenieria Industrial, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 3. Ingenieria de la Energía, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","2. Amigos, 3. Entorno Social, 5. Otros",1. Sí,Ingenieria Mecánica,2. No,7. No lo he considerado
3/05/2023 18:57:10,Masculino,18,4. Ingenieria Mecatrónica,5,9.89,12,11.82,5,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 3. Ingenieria de la Energía, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","2. Amigos, 3. Entorno Social",1. Sí,Ciencia de la computación,2. No,7. No lo he considerado
3/05/2023 19:00:31,Masculino,20,7. Ingenieria Civil,4,17.67,22,15.67,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 3. Ingenieria de la Energía, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 19:08:43,Femenino,19,2. Ingeniería Industrial,5,16.5,21,17,6,2. Bueno,"4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica","2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales",1. Entorno Familiar,1. Sí,Administración y Negocios Digitales,1. Sí,1. Problemas Financieros
3/05/2023 19:10:57,Masculino,20,12. Ciencia de la Computación,5,18.24,21,16.71,5,1. Muy Bueno,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","3. Entorno Social, 4. Vocación, 5. Otros",2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 19:20:07,Masculino,20,12. Ciencia de la Computación,5,15,16,14,5,2. Bueno,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería","2. Amigos, 3. Entorno Social",2. No,Ciencia de la computación,1. Sí,"1. Problemas Financieros, 2. Pobre preparación escolar, 4. Conflicto entre el estudio, la familia y el trabajo, 5. Cuando reprueban las asignaturas constantemente, 6. Falta de interacción de calidad con profesores y orientadores"
3/05/2023 19:23:27,Femenino,18,9. Bioingeniería,2,16.4,21,16.4,7,3. Regular,"4. Ingenieria Mecatrónica, 7. Ingenieria Civil","9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",1. Sí,Ingenieria Química,2. No,7. No lo he considerado
3/05/2023 19:26:31,Masculino,20,5. Ingenieria Mecánica,6,14,22,13.8,3,3. Regular,"3. Ingenieria de la Energía, 5. Ingenieria Mecánica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 8. Ingenieria Química, 9. Bioingeniería",4. Vocación,3. Tal vez,Ingenieria Mecánica,3. Tal vez,"3. La carrera no convence al estudiante, 4. Conflicto entre el estudio, la familia y el trabajo, 6. Falta de interacción de calidad con profesores y orientadores"
3/05/2023 19:42:41,Masculino,21,2. Ingeniería Industrial,5,15,21,16,6,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería","1. Entorno Familiar, 4. Vocación",1. Sí,Bioingeniería,2. No,
3/05/2023 20:07:59,Femenino,21,9. Bioingeniería,7,14,15,12.33,4,4. Mal,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación",1. Sí,Ingenieria Industrial,1. Sí,"3. La carrera no convence al estudiante, 5. Cuando reprueban las asignaturas constantemente, 6. Falta de interacción de calidad con profesores y orientadores"
3/05/2023 21:32:26,Masculino,20,3. Ingeniería de la Energía,7,12.25,12,12.11,4,3. Regular,"3. Ingenieria de la Energía, 5. Ingenieria Mecánica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería","3. Entorno Social, 4. Vocación",1. Sí,Ingenieria de la Energía,2. No,"4. Conflicto entre el estudio, la familia y el trabajo"
3/05/2023 21:32:37,Masculino,21,3. Ingeniería de la Energía,3,14,12,14,5,3. Regular,"1. Ingenieria Ambiental, 5. Ingenieria Mecánica, 7. Ingenieria Civil","2. Ingenieria Industrial, 8. Ingenieria Química, 10. Administración y Negocios Digitales","4. Vocación, 5. Otros",3. Tal vez,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 21:33:19,Masculino,21,3. Ingeniería de la Energía,8,12,15,11,5,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","2. Ingenieria Industrial, 7. Ingenieria Civil, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales",1. Entorno Familiar,2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 21:37:27,Masculino,21,4. Ingenieria Mecatrónica,5,11,15,13,4,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 9. Bioingeniería",5. Otros,2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 21:58:44,Femenino,19,4. Ingenieria Mecatrónica,5,17.45,22,15.32,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 4. Vocación",3. Tal vez,Ingenieria Electrónica,2. No,7. No lo he considerado
3/05/2023 22:03:25,Femenino,20,9. Bioingeniería,2,11,21,11,7,4. Mal,4. Ingenieria Mecatrónica,"1. Ingenieria Ambiental, 9. Bioingeniería",3. Entorno Social,1. Sí,Ingenieria Ambiental,1. Sí,3. La carrera no convence al estudiante
3/05/2023 22:15:55,Masculino,20,3. Ingeniería de la Energía,7,16,20,17,6,2. Bueno,5. Ingenieria Mecánica,9. Bioingeniería,"4. Vocación, 5. Otros",2. No,No lo he considerado,2. No,7. No lo he considerado
3/05/2023 22:47:23,Femenino,29,2. Ingeniería Industrial,4,12,16,12,5,3. Regular,"5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 7. Ingenieria Civil","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería, 10. Administración y Negocios Digitales",5. Otros,2. No,No lo he considerado,2. No,7. No lo he considerado
4/05/2023 0:56:52,Masculino,19,2. Ingeniería Industrial,2,13.5,20,13.5,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 6. Ingenieria Electrónica, 11. Ciencia de Datos","2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales","1. Entorno Familiar, 3. Entorno Social, 4. Vocación",2. No,No lo he considerado,2. No,7. No lo he considerado
4/05/2023 15:13:43,Femenino,23,9. Bioingeniería,5,12.5,18,13,8,3. Regular,"3. Ingenieria de la Energía, 4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química, 9. Bioingeniería, 10. Administración y Negocios Digitales, 12. Ciencia de la computación",4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
4/05/2023 17:29:33,Femenino,18,2. Ingeniería Industrial,2,16.75,21,16.75,6,3. Regular,"4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 8. Ingenieria Química",5. Otros,3. Tal vez,Ingenieria Química,2. No,7. No lo he considerado
4/05/2023 17:54:18,Femenino,18,2. Ingeniería Industrial,2,17,24,17,6,3. Regular,"4. Ingenieria Mecatrónica, 6. Ingenieria Electrónica, 7. Ingenieria Civil, 11. Ciencia de Datos, 12. Ciencia de la Computación","1. Ingenieria Ambiental, 2. Ingenieria Industrial, 9. Bioingeniería",3. Entorno Social,3. Tal vez,No lo he considerado,2. No,7. No lo he considerado
4/05/2023 18:23:36,Femenino,21,9. Bioingeniería,4,13.6,19,15,6,4. Mal,4. Ingenieria Mecatrónica,8. Ingenieria Química,3. Entorno Social,2. No,No lo he considerado,2. No,7. No lo he considerado
4/05/2023 18:24:55,Masculino,23,5. Ingenieria Mecánica,5,17.6,21,15.3,6,3. Regular,"4. Ingenieria Mecatrónica, 5. Ingenieria Mecánica, 7. Ingenieria Civil","8. Ingenieria Química, 9. Bioingeniería",4. Vocación,2. No,No lo he considerado,2. No,7. No lo he considerado
