Game,Total Money Earned,Total Money Earned Percentage,Team
DotA,"$102,298.95",5.46%,Team DK
Dota 2,"$1,538,998.85",82.14%,Team DK
Heroes of the Storm,"$127,944.58",6.83%,Team DK
WarCraft 3,"$104,376.53",5.57%,Team DK
Call of Duty,"$237,856.30",13.02%,Millenium
Counter Strike (Female),"$7,871.50",0.43%,Millenium
Counter-Strike,"$33,192.59",1.82%,Millenium
CS:GO,"$20,623.90",1.13%,Millenium
CS:GO (Millenium Ladies),"$1,949.11",0.11%,Millenium
FIFA,"$38,281.30",2.10%,Millenium
Fortnite (Row),"$3,865.48",0.21%,Millenium
Fortnite (Salty),"$129,736.62",7.10%,Millenium
Halo,"$3,239.39",0.18%,Millenium
Hearthstone,"$302,268.47",16.55%,Millenium
Heroes of the Storm,$100.00,0.01%,Millenium
League of Legends,"$246,933.62",13.52%,Millenium
PUBG,"$10,632.79",0.58%,Millenium
Rainbow Six,"$116,004.43",6.35%,Millenium
StarCraft II,"$674,167.18",36.91%,Millenium
Hearthstone,$0.00,0.00%,OMG
Heroes of Newerth,"$157,456.76",8.82%,OMG
Heroes of the Storm,"$30,456.01",1.71%,OMG
League of Legends (Oh My Dream),$0.00,0.00%,OMG
League of Legends (Oh My Girls),$0.00,0.00%,OMG
League of Legends (Oh My God),"$722,072.89",40.47%,OMG
Overwatch,"$20,768.17",1.16%,OMG
PUBG,"$753,543.35",42.23%,OMG
Smite (OMG A),"$12,720.00",0.71%,OMG
Smite (OMG B),"$54,630.00",3.06%,OMG
Smite (OMG),"$32,653.00",1.83%,OMG
Apex Legends,$0.00,0.00%,Epsilon eSports
Battlefield 4,"$36,524.15",2.08%,Epsilon eSports
Call of Duty,"$330,095.41",18.80%,Epsilon eSports
Call of Duty (Epsilon Impact),$0.00,0.00%,Epsilon eSports
Call of Duty (Epsilon Youth),$0.00,0.00%,Epsilon eSports
CS: Source,"$7,085.88",0.40%,Epsilon eSports
CS:GO,"$502,034.75",28.60%,Epsilon eSports
CS:GO (France),"$5,908.86",0.34%,Epsilon eSports
CS:GO (Hype),"$3,598.68",0.20%,Epsilon eSports
FIFA,"$33,000.00",1.88%,Epsilon eSports
Fighting Games,"$16,836.30",0.96%,Epsilon eSports
Gears of War,"$19,000.00",1.08%,Epsilon eSports
Halo,"$106,086.72",6.04%,Epsilon eSports
Heroes of the Storm,"$5,000.00",0.28%,Epsilon eSports
League of Legends,"$38,087.61",2.17%,Epsilon eSports
Rainbow Six,"$9,202.06",0.52%,Epsilon eSports
Rocket League,"$36,948.76",2.10%,Epsilon eSports
Shootmania,"$5,500.00",0.31%,Epsilon eSports
Smite,"$570,000.00",32.47%,Epsilon eSports
Smite (XBox),"$5,000.00",0.28%,Epsilon eSports
Team Fortress 2,"$22,246.23",1.27%,Epsilon eSports
Wolfenstein: Enemy Territory,"$3,347.62",0.19%,Epsilon eSports
Apex Legends,$0.00,0.00%,Susquehanna Soniqs
PUBG,"$1,578,277.75",90.25%,Susquehanna Soniqs
Rainbow Six,"$93,250.00",5.33%,Susquehanna Soniqs
Rocket League,"$72,947.36",4.17%,Susquehanna Soniqs
VALORANT,"$4,250.00",0.24%,Susquehanna Soniqs
Call of Duty,"$100,000.00",5.73%,Echo Fox
CS:GO,"$117,300.00",6.72%,Echo Fox
Dragon Ball FighterZ,"$1,873.37",0.11%,Echo Fox
Gears of War,"$221,500.00",12.69%,Echo Fox
H1Z1,"$57,048.80",3.27%,Echo Fox
Injustice,"$26,045.87",1.49%,Echo Fox
League of Legends,"$35,000.00",2.01%,Echo Fox
League of Legends (Delta Fox),$0.00,0.00%,Echo Fox
League of Legends (EF Academy),"$13,000.00",0.74%,Echo Fox
Madden,"$5,000.00",0.29%,Echo Fox
Mortal Kombat,"$338,528.61",19.40%,Echo Fox
Street Fighter,"$430,131.66",24.65%,Echo Fox
Super Smash Bros,"$298,344.31",17.10%,Echo Fox
Tekken,"$101,211.87",5.80%,Echo Fox
Vainglory,$0.00,0.00%,Echo Fox
Apex Legends,"$47,767.00",2.76%,Renegades
Call of Duty,"$64,000.00",3.70%,Renegades
CS:GO,"$1,022,341.74",59.03%,Renegades
Fortnite,"$82,517.60",4.76%,Renegades
Halo,"$175,500.00",10.13%,Renegades
League of Legends,"$37,500.00",2.17%,Renegades
League of Legends (RNG Banditos),"$13,028.61",0.75%,Renegades
Overwatch,"$18,448.00",1.07%,Renegades
Paladins,"$29,000.00",1.67%,Renegades
Rocket League,"$150,820.00",8.71%,Renegades
Smite,"$40,000.00",2.31%,Renegades
Super Smash Bros,"$31,339.78",1.81%,Renegades
VALORANT,"$19,500.00",1.13%,Renegades
Counter-Strike (Tyloo.cn),"$104,398.92",6.09%,TyLoo
Counter-Strike (Tyloo.raw),"$24,270.66",1.42%,TyLoo
Counter-Strike Online,"$128,430.00",7.49%,TyLoo
CS:GO,"$1,334,756.83",77.89%,TyLoo
DotA / Dota 2,"$3,099.15",0.18%,TyLoo
League of Legends,"$47,100.00",2.75%,TyLoo
PUBG,"$8,876.24",0.52%,TyLoo
StarCraft 2 / WarCraft 3,"$59,738.09",3.49%,TyLoo
VALORANT,"$2,926.80",0.17%,TyLoo
Counter-Strike,"$5,565.53",0.33%,HellRaisers
CS:GO,"$852,425.08",49.98%,HellRaisers
Dota 2,"$383,142.17",22.46%,HellRaisers
Fortnite,"$3,200.00",0.19%,HellRaisers
Hearthstone,"$1,200.00",0.07%,HellRaisers
World of Tanks,"$460,096.64",26.98%,HellRaisers
Brawl Stars,$0.00,0.00%,BIG
CS:GO,"$1,300,951.49",76.81%,BIG
CS:GO (BIG Academy),"$27,341.50",1.61%,BIG
Fortnite,$0.00,0.00%,BIG
League of Legends,"$253,360.19",14.96%,BIG
PUBG,$0.00,0.00%,BIG
Quake,"$75,560.71",4.46%,BIG
StarCraft 2,"$33,616.99",1.98%,BIG
Trackmania,"$2,011.39",0.12%,BIG
VALORANT,$882.64,0.05%,BIG
CS:GO,"$100,000.00",6.01%,FunPlus Phoenix
Fortnite,"$57,247.00",3.44%,FunPlus Phoenix
League of Legends,"$1,329,301.37",79.83%,FunPlus Phoenix
League of Legends (FunPlus Phoenix Blaze),"$50,924.30",3.06%,FunPlus Phoenix
PUBG,"$33,886.17",2.04%,FunPlus Phoenix
VALORANT,"$93,768.02",5.63%,FunPlus Phoenix
Overwatch,"$1,425,000.00",87.36%,London Spitfire
Overwatch (British Hurricane),"$206,136.50",12.64%,London Spitfire
Overwatch,"$1,475,000.00",92.91%,New York Excelsior
Overwatch (XL2 Academy),"$112,618.50",7.09%,New York Excelsior
Arena of Valor,"$231,468.62",14.77%,Top Esports
League of Legends,"$1,024,395.86",65.35%,Top Esports
League of Legends (TES Challenger),$0.00,0.00%,Top Esports
PUBG Mobile,"$297,587.55",18.98%,Top Esports
Starcraft 2,"$14,078.76",0.90%,Top Esports
CS:GO,"$729,251.21",47.21%,Team Spirit
CS:GO (Academy),"$11,000.00",0.71%,Team Spirit
Dota 2,"$528,502.41",34.21%,Team Spirit
Hearthstone,"$275,968.49",17.86%,Team Spirit
PUBG,$100.00,0.01%,Team Spirit
League of Legends,"$1,432,200.58",93.63%,Taipei Assassins
League of Legends (Taipei Snipers),"$97,364.81",6.37%,Taipei Assassins
Arena of Valor,"$267,634.02",17.55%,ahq e-Sports Club
Clash Royale,"$8,000.00",0.52%,ahq e-Sports Club
CS:GO,"$1,000.00",0.07%,ahq e-Sports Club
Hearthstone,"$119,902.72",7.86%,ahq e-Sports Club
Heroes of the Storm,"$6,133.56",0.40%,ahq e-Sports Club
League of Legends,"$814,327.07",53.40%,ahq e-Sports Club
League of Legends (ahq Fighter),"$26,279.38",1.72%,ahq e-Sports Club
League of Legends (ahq Snipers),$0.00,0.00%,ahq e-Sports Club
Overwatch,"$68,181.27",4.47%,ahq e-Sports Club
Overwatch (ahq S),"$17,318.77",1.14%,ahq e-Sports Club
PUBG,"$171,815.85",11.27%,ahq e-Sports Club
PUBG (ahq Fighter),"$2,480.00",0.16%,ahq e-Sports Club
VALORANT,"$22,000.00",1.44%,ahq e-Sports Club
FIFA Online,"$28,880.00",1.90%,Afreeca Freecs
Hearthstone,"$3,500.00",0.23%,Afreeca Freecs
League of Legends,"$497,215.72",32.66%,Afreeca Freecs
League of Legends (AF Academy),$0.00,0.00%,Afreeca Freecs
Overwatch,"$20,884.92",1.37%,Afreeca Freecs
Overwatch (AF.Blue),"$78,564.54",5.16%,Afreeca Freecs
Overwatch (AF.Red),"$5,832.16",0.38%,Afreeca Freecs
PUBG,"$188,388.62",12.37%,Afreeca Freecs
PUBG (AF Ares),"$15,979.50",1.05%,Afreeca Freecs
PUBG (AF Fatal),"$212,059.36",13.93%,Afreeca Freecs
StarCraft 2,"$109,769.70",7.21%,Afreeca Freecs
StarCraft 2 (Afreeca S2),"$341,000.66",22.40%,Afreeca Freecs
WarCraft 3,"$20,328.68",1.34%,Afreeca Freecs
Call of Duty,"$1,510,000.00",99.56%,Toronto Ultra
Call Of Duty: Warzone,"$6,733.34",0.44%,Toronto Ultra
League of Legends (CJ Blaze),"$168,636.81",11.22%,CJ Entus
League of Legends (CJ Entus),"$147,430.39",9.81%,CJ Entus
League of Legends (CJ Frost),"$103,438.07",6.88%,CJ Entus
PUBG (CJ Entus Ace),"$7,576.00",0.50%,CJ Entus
PUBG (CJ Entus Force),$0.00,0.00%,CJ Entus
Special Force,$0.00,0.00%,CJ Entus
StarCraft 2,"$422,606.59",28.13%,CJ Entus
StarCraft: Brood War,"$652,770.61",43.45%,CJ Entus
Apex Legends,"$30,590.00",2.05%,Team Reciprocity
Call of Duty,"$309,375.00",20.69%,Team Reciprocity
Fighting Games,"$89,473.68",5.98%,Team Reciprocity
Gears of War,"$256,000.00",17.12%,Team Reciprocity
Halo,"$199,900.00",13.37%,Team Reciprocity
PUBG,"$15,018.02",1.00%,Team Reciprocity
Rainbow Six,"$343,000.00",22.94%,Team Reciprocity
Rocket League,"$84,928.61",5.68%,Team Reciprocity
StarCraft 2,"$166,770.55",11.15%,Team Reciprocity
Clash of Clans,"$432,800.00",29.09%,ALTERNATE aTTaX
Counter-Strike,"$332,841.50",22.37%,ALTERNATE aTTaX
Counter-Strike (Female),"$5,186.00",0.35%,ALTERNATE aTTaX
Counter-Strike Source,"$54,441.04",3.66%,ALTERNATE aTTaX
CS:GO,"$423,281.63",28.45%,ALTERNATE aTTaX
CS:GO Female,"$3,000.00",0.20%,ALTERNATE aTTaX
Dota 2,"$27,479.54",1.85%,ALTERNATE aTTaX
FIFA,$0.00,0.00%,ALTERNATE aTTaX
Heroes of the Storm (Alternate Fancy),"$3,970.10",0.27%,ALTERNATE aTTaX
Heroes of the Storm (Alternate),$785.47,0.05%,ALTERNATE aTTaX
League of Legends,"$55,279.64",3.72%,ALTERNATE aTTaX
League of Legends (Female),"$1,000.00",0.07%,ALTERNATE aTTaX
Overwatch,$540.00,0.04%,ALTERNATE aTTaX
PUBG,"$22,425.57",1.51%,ALTERNATE aTTaX
Racing Games,$0.00,0.00%,ALTERNATE aTTaX
StarCraft II,"$124,567.98",8.37%,ALTERNATE aTTaX
Call of Duty,"$932,965.00",62.83%,Rise Nation
CS:GO,"$32,500.00",2.19%,Rise Nation
Fighting Games,"$303,129.94",20.42%,Rise Nation
Fortnite,"$31,000.00",2.09%,Rise Nation
Gears of War,"$148,500.00",10.00%,Rise Nation
Overwatch,"$3,965.00",0.27%,Rise Nation
Rainbow Six,"$19,000.00",1.28%,Rise Nation
VALORANT,"$13,750.00",0.93%,Rise Nation
Arena of Valor,"$1,202,931.89",81.75%,Qiao Gu Reapers
League of Legends,"$171,577.28",11.66%,Qiao Gu Reapers
Overwatch (QG.craze),"$26,593.66",1.81%,Qiao Gu Reapers
Overwatch (QG.zen),$0.00,0.00%,Qiao Gu Reapers
Paladins,$0.00,0.00%,Qiao Gu Reapers
PUBG,"$45,372.00",3.08%,Qiao Gu Reapers
Smite,"$25,000.00",1.70%,Qiao Gu Reapers
Chess,$750.00,0.05%,FURIA Esports
CS:GO,"$1,098,656.10",75.95%,FURIA Esports
CS:GO (Female),"$26,639.99",1.84%,FURIA Esports
CS:GO (FURIA Academy),"$2,033.30",0.14%,FURIA Esports
Dota 2,"$19,875.00",1.37%,FURIA Esports
Fortnite,"$50,000.00",3.46%,FURIA Esports
League of Legends,"$5,712.36",0.39%,FURIA Esports
PUBG,"$76,220.10",5.27%,FURIA Esports
Rainbow Six,"$95,000.00",6.57%,FURIA Esports
Rocket League,"$46,700.00",3.23%,FURIA Esports
VALORANT,"$24,876.33",1.72%,FURIA Esports
CS:GO,"$1,435,147.85",100.00%,Heroic
Fortnite,"$1,355,842.35",94.59%,LeStream Esport
Rainbow Six,"$63,449.52",4.43%,LeStream Esport
Super Smash Bros.,"$14,100.90",0.98%,LeStream Esport
TFT,$0.00,0.00%,LeStream Esport
Battlefield,"$4,397.41",0.31%,Infamous
Clash Royale,$0.00,0.00%,Infamous
Dota 2,"$1,426,048.60",99.62%,Infamous
Dota 2 (Infamous Young),"$1,000.00",0.07%,Infamous
Hearthstone,$0.00,0.00%,Infamous
Arena of Valor (ROX Phoenix),"$142,889.92",10.69%,ROX Gaming
League of Legends (GE Tigers),"$76,611.67",5.73%,ROX Gaming
League of Legends (HUYA Tigers),$0.00,0.00%,ROX Gaming
League of Legends (KOO Tigers),"$277,133.91",20.72%,ROX Gaming
League of Legends (ROX Tigers),"$625,296.40",46.76%,ROX Gaming
Overwatch (ROX Orcas),"$1,515.64",0.11%,ROX Gaming
PUBG (ROX Orcas Blue),$910.00,0.07%,ROX Gaming
Tekken (ROX Dragons),"$212,890.72",15.92%,ROX Gaming
Apex Legends,"$60,740.00",4.60%,North
CS:GO,"$1,162,500.00",88.05%,North
CS:GO (North Academy),"$36,910.05",2.80%,North
FIFA,"$60,108.67",4.55%,North
League of Legends (IM #1),"$62,516.36",4.76%,Incredible Miracle
League of Legends (IM #2),"$26,298.88",2.00%,Incredible Miracle
League of Legends (IM Athena),"$16,967.27",1.29%,Incredible Miracle
League of Legends (IM),"$48,832.81",3.72%,Incredible Miracle
StarCraft II,"$1,111,753.40",84.68%,Incredible Miracle
World of WarCraft,"$46,500.00",3.54%,Incredible Miracle
Artifact,$444.86,0.03%,Keen Gaming
Dota 2,"$1,238,064.22",96.47%,Keen Gaming
Dota 2 (Keen.Luminous),"$36,592.13",2.85%,Keen Gaming
PUBG,"$8,204.38",0.64%,Keen Gaming
Apex Legends,"$18,700.00",1.46%,Misfits
Clash Royale,"$25,000.00",1.96%,Misfits
CS:GO,"$144,700.00",11.32%,Misfits
Fortnite,"$298,500.00",23.35%,Misfits
Hearthstone,"$22,249.58",1.74%,Misfits
Heroes of the Storm,"$40,000.00",3.13%,Misfits
League of Legends,"$320,873.78",25.10%,Misfits
League of Legends (MSF Academy/Premier),"$175,189.98",13.70%,Misfits
Overwatch,"$172,484.12",13.49%,Misfits
PUBG Mobile,"$12,240.00",0.96%,Misfits
Super Smash Bros,"$48,646.05",3.80%,Misfits
Vainglory,$0.00,0.00%,Misfits
