"¿En qué ciclo te encuentras?","¿Cuál es su escala de pago a UTEC?","¿A cuántos cursos esta inscrito durante este ciclo? (Ejemplo: 6)","¿En qué zona vives?","Tiempo de viaje en minutos para ir y regresar a la UTEC (sume el tiempo de su tramo de ida más tramo de vuelta)(en caso de vivir en pronvicia rellenar con: NA) (Ejemplo: 98)","¿Cuánto es el costo de viaje?(sume el costo de su tramo de ida más tramo de vuelta)(en caso de no usar transporte público o privado colocar: 0)(En caso de tener movilidad privada poner el gasto en combustible)(Ejemplo: 10.00)","¿Cuánto es el costo de alimentos cuando vienes a la UTEC?(Ejemplo: 25.00)","Grupo de modalidad híbrida al que perteneces (""1"" - A hasta K )(""2"" - L hasta Z)","¿Cuántos días no asistió durante sus primeras dos semanas de modalidad presencial?(Grupo 1  - Semana 1 y 2; Grupo 2 - Semana 3 y 4)(Ejemplo: 5)","¿Qué días faltaste en la primera semana que a tu grupo le toca la modalidad presencial?","¿Qué días faltaste en la segunda semana que a tu grupo le toca la modalidad presencial?","¿Qué día(s) es (son) tu(s) clase(s) más temprana(s)?","¿Qué día(s) es (son) tu(s) clase(s) más tarde?","¿Cuál(es) es(son) el(los) día(s) con más horas de clases que tienes?","¿Cuál(es) es(son) el(los) día(s) con menos horas de clases que tienes?","¿En qué días tienes clases espaciadas?(considera clases espaciadas a partir de 3 horas entre clases)(Ejemplo : 1)"
"3","E","5","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","100","7","12","1","1","Asistió todos los días","Sábado","Lunes, Martes, Jueves, Sábado","Miércoles, Viernes","Martes","Miércoles, Jueves, Viernes","Sábado"
"2","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","0","0","25","2","0","Asistió todos los días","Asistió todos los días","Lunes, Sábado","Jueves","Lunes, Sábado","Jueves","Miércoles"
"3","E","5","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","120","7","15","1","7","Lunes, Martes, Miércoles, Jueves, Viernes","Lunes, Miércoles","Lunes, Viernes","Miércoles","Lunes","Miércoles","Viernes"
"3","D","8","Provincia","NA","0","0","2","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Jueves","Lunes, Viernes","Lunes, Martes, Jueves","Miércoles, Viernes","Martes, Jueves"
"3","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","120","10","25","2","5","Lunes, Martes, Miércoles, Jueves, Viernes","Lunes, Martes, Miércoles, Jueves, Viernes","Martes, Jueves","Miércoles, Viernes","Martes, Jueves","Miércoles","Jueves, Viernes"
"4","D","8","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","60","2","10","2","1","Asistió todos los días","Miércoles","Lunes, Martes","Miércoles","Martes","Miércoles","Viernes"
"10","E","4","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","180","6","20","1","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes, Miércoles, Viernes","Lunes","Sábado","Lunes","Martes"
"6","B","5","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","240","5","15","1","3","Lunes, Miércoles, Jueves","Miércoles","Lunes, Martes, Miércoles, Jueves","Viernes","Miércoles","Jueves","Jueves"
"3","B","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","55","5","18","2","5","Lunes, Miércoles","Lunes, Miércoles, Jueves","Lunes, Miércoles, Jueves","Martes, Viernes","Viernes","Lunes, Martes, Miércoles","Lunes, Martes"
"9","D","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","55","5","12","1","3","Lunes, Miércoles","Lunes","Lunes, Miércoles","Martes, Jueves, Viernes","Jueves, Viernes","Lunes, Miércoles","Lunes, Miércoles"
"4","E","5","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","140","6","10","1","2","Lunes","Lunes","Lunes","Martes, Miércoles, Jueves, Viernes","Miércoles","Lunes, Martes, Jueves, Viernes","Lunes"
"1","E","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","2.00","10.00","1","2","Lunes","Lunes","Miércoles","Martes","Miércoles","Jueves","Martes, Jueves"
"4","D","5","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","100","6.50","16.00","2","3","Lunes, Sábado","Sábado","Lunes, Sábado","Martes, Miércoles, Jueves, Viernes","Miércoles","Jueves, Viernes","Jueves, Viernes"
"5","B","7","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","84","10","22.00","2","2","Lunes","Lunes","Lunes","Miércoles, Viernes","Miércoles, Viernes","Martes, Jueves","Lunes"
"3","E","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","210","8.00","10.00","1","4","Lunes, Viernes","Lunes, Viernes","Lunes, Viernes","Martes, Miércoles, Jueves","Miércoles","Lunes, Viernes","Martes, Jueves"
"4","D","7","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","120","6.00","14.00","2","0","Asistió todos los días","Asistió todos los días","Lunes, Miércoles","Martes, Jueves, Viernes","Jueves, Viernes","Lunes, Miércoles","Lunes"
"3","D","7","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","10","5","12","2","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes","Jueves, Viernes ","Martes, Jueves, Viernes ","Lunes, Miércoles","Lunes"
"5","E","6","Central (Cercado, San Luis, Breña, La Victoria, Rímac, Lince, San Miguel, Jesús María, Magdalena, Pblo. Libre)","120","4","17","2","3","Jueves, Viernes","Sábado","Martes, Miércoles, Sábado","Lunes, Viernes","Miércoles","Jueves, Viernes, Sábado","Miércoles"
"2","D","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","70","4","20","1","5","Lunes, Martes, Jueves","Lunes, Martes","Lunes, Martes","Martes, Viernes","Lunes, Martes, Sábado","Miércoles, Jueves","Miércoles, Viernes"
"7","B","6","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","15","10","15","2","6","Lunes, Miércoles, Viernes","Lunes, Miércoles, Viernes","Martes","Jueves","Lunes","Viernes","Jueves"
"3","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","100","8","20","1","6","Lunes, Jueves, Sábado","Lunes, Jueves, Sábado","Jueves","Lunes, Martes, Miércoles","Jueves, Viernes","Martes, Miércoles","Martes, Miércoles"
"6","E","3","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","240","10","15","2","10","Lunes, Martes, Miércoles, Jueves, Sábado","Lunes, Martes, Miércoles, Jueves, Sábado","Lunes, Martes, Jueves","Jueves","Martes","Lunes","Martes"
"4","D","6","Norte(Ancón, Pte. Piedra, Sta. Rosa, Carabayllo, Comas, Los Olivos, Independencia, S.M. Porres)","250","9","20","2","8","Miércoles, Jueves, Viernes, Sábado","Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Jueves, Viernes","Lunes, Martes, Miércoles, Viernes","Lunes, Viernes","Martes, Miércoles, Jueves","Martes, Miércoles, Jueves"
"2","E","7","Provincia","NA","0","0","1","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Jueves","Lunes, Viernes","Lunes, Martes, Jueves","Miércoles, Viernes","Martes, Jueves"
"3","C","5","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","90","5","15","2","5","Lunes, Martes","Lunes, Martes, Sábado","Viernes","Jueves","Martes","Jueves","Martes"
"4","D","7","Central Sur (Barranco, Miraflores, Surco, San Borja, Surquillo, San Isidro, Chorrillos)","20","3","16","2","0","Asistió todos los días","Asistió todos los días","Jueves","Miércoles","Viernes","Jueves","Miércoles"
"4","E","6","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","170","8","15","2","11","Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Viernes","Martes, Sábado","Martes, Viernes","Lunes, Miércoles, Jueves, Sábado","Martes, Viernes"
"2","D","7","Provincia","NA","0","0","2","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes, Sábado","Miércoles, Sábado","Lunes, Martes, Miércoles, Sábado","Jueves, Viernes","Martes, Miércoles, Jueves, Viernes"
"6","D","6","Sur (S. J. de Miraflores, V.M. de Triunfo, Villa el Salvador, Lurín y Pachacamac)","130","8","18","2","12","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Lunes, Martes, Miércoles, Jueves, Viernes, Sábado","Martes","Miércoles","Miércoles","Jueves, Sábado","Lunes, Miércoles"
"2","D","8","Este (S. J. de Lurigancho, Sta. Anita, Cieneguilla, Ate Vitarte, La Molina, Chaclacayo, Lurigancho, El Agustino)","160","10","24","2","5","Martes, Miércoles, Viernes","Martes, Miércoles","Lunes, Miércoles, Viernes","Miércoles","Miércoles","Martes","Miércoles"
