Edad,Género,Lugar de residencia,Peso antes del confinamiento,Peso después del confinamiento,Convivencia durante el confinamiento,Sentimientos durante el confinamiento,Consumo de frutas y verduras durante el confinamiento,Consumo de carnes rojas durante el confinamiento,Consumo de carnes blancas durante el confinamiento,Consumo de huevos durante el confinamiento,Consumo de lácteos durante el confinamiento,Consumo de pan y cereales durante el confinamiento,Consumo de frutos secos durante el confinamiento,Consumo de suplementos de vitaminas durante el confinamiento,Consumo de bebidas alcohólicas durante el confinamiento,Consumo de bebidas azucarádas durante el confinamiento,Consumo de snacks y dulces durante el confinamiento,Percepción sobre el cambio de alimentación por el confinamiento,Causas del cambio de alimentación durante el confinamiento,Percepcion sobre su alimentación actual,Veces de consumo de alimentos por día,Omisión de comidas,Percepción sobre la mejora de sus habitos alimenticios,Frecuencia de práctica de actividad física antes del confinamiento,Frecuencia de práctica de actividad física después del confinamiento,Estatura antes del confinamiento,Estatura después del confinamiento
19,Masculino,Norte,71,72,Con familiares,En unión familiar,Se ha mantenido,Ha disminuido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,No consumo,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,4,Sí,Sí,Una vez por semana,No hago ejercicios,1.7,1.7
19,Masculino,Norte,56.3,69,Con familiares,Estresado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",Sí,3,Sí,"No, tengo hábitos alimenticios saludables",2 a 3 dias por semana,Una vez por semana,1.7,1.71
20,Femenino,Sur,55,59,Con familiares,En unión familiar,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Ha disminuido,No,NA,Sí,3,No,Sí,Diario,Una vez por semana,1.52,1.52
20,Femenino,Central Sur,55,56,Con familiares,Deprimido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,No consumo,No consumo,No consumo,Se ha mantenido,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,Sí,Sí,Una vez por semana,No hago ejercicios,1.6,1.6
20,Femenino,Este,58,59.4,Con familiares,Deprimido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,No consumo,No consumo,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,Sí,Sí,Una vez por semana,No hago ejercicios,1.62,1.6
19,Femenino,Central,54,55.7,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,No consumo,No consumo,No consumo,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,Sí,"No, me va a costar demasiado",Una vez por semana,No hago ejercicios,1.56,1.56
19,Femenino,Central Sur,59,62,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,No consumo,Ha disminuido,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,Sí,"No, me va a costar demasiado",Una vez por semana,No hago ejercicios,1.6,1.6
19,Femenino,Central Sur,53,50,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,No consumo,No consumo,Se ha mantenido,Ha aumentado,No consumo,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,Sí,"No, tengo hábitos alimenticios saludables",2 a 3 dias por semana,4 a 5 dias por semana,1.53,1.53
18,Masculino,Central,71.2,73.2,Con familiares,Tranquilo,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,5,No,"No, tengo hábitos alimenticios saludables",2 a 3 dias por semana,4 a 5 dias por semana,1.71,1.74
20,Femenino,Sur,82,85,Con familiares,Estresado,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Ha disminuido,Se ha mantenido,Se ha mantenido,No,NA,No,3,Sí,Sí,Una vez por mes,No hago ejercicios,1.62,1.63
18,Masculino,Central,55,57,Con familiares,Tranquilo,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,2,Sí,Sí,Una vez por semana,Una vez por semana,1.6,1.6
18,Femenino,Norte,54,55,Con familiares,Tranquilo,Se ha mantenido,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,No consumo,Ha disminuido,No consumo,Ha disminuido,Sí,Por el alza de precio de los productos alimenticios.,Sí,4,No,Sí,Una vez por semana,2 a 3 dias por semana,1.56,1.56
18,Femenino,Este,50,50,Con familiares,Deprimido,Ha aumentado,No consumo,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,4 a 5 dias por semana,Una vez por semana,1.63,1.63
19,Masculino,Central Sur,53,57.2,Con familiares,Deprimido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,4,Sí,Sí,2 a 3 dias por semana,Una vez por semana,1.63,1.65
20,Masculino,Central Sur,65,70,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,3,No,Sí,4 a 5 dias por semana,Una vez por semana,1.61,1.63
19,Masculino,Provincia,56,60,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Por el alza de precio de los productos alimenticios.,No,3,No,Sí,No hacía ejercicios,No hago ejercicios,1.72,1.75
20,Masculino,Central Sur,60,63,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Ha aumentado,Se ha mantenido,No consumo,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,"No, tengo hábitos alimenticios saludables",2 a 3 dias por semana,Una vez por semana,1.7,1.7
22,Masculino,Provincia,58,59,Con familiares,Deprimido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,6,Sí,Sí,Una vez por semana,4 a 5 dias por semana,1.57,1.59
18,Masculino,Central Sur,75,95,Con familiares,Ansioso,Ha disminuido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Sí,Por el alza de precio de los productos alimenticios.,No,3,Sí,Sí,2 a 3 dias por semana,Una vez por semana,1.81,1.84
23,Masculino,Norte,85,90,Con familiares,Feliz,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,No consumo,No consumo,Ha aumentado,Ha aumentado,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,4,No,Sí,No hacía ejercicios,No hago ejercicios,1.8,1.8
19,Femenino,Provincia,64,67,Con familiares,En unión familiar,Ha disminuido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,Sí,Sí,Una vez por mes,Una vez por mes,1.55,1.57
18,Masculino,Sur,63.5,66,Con familiares,Relajado,Ha disminuido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,No consumo,Ha aumentado,Ha aumentado,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,2,Sí,Sí,2 a 3 dias por semana,2 a 3 dias por semana,1.62,1.62
25,Femenino,Norte,52,54,Con familiares,Estresado,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,No consumo,No consumo,Se ha mantenido,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,Una vez por semana,Una vez por semana,1.59,1.59
18,Masculino,Norte,45,50,Con familiares,Tranquilo,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,No,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,3,No,Sí,2 a 3 dias por semana,4 a 5 dias por semana,1.62,1.67
18,Femenino,Este,45.3,46,Con familiares,Ansioso,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,No,NA,No,3,No,Sí,4 a 5 dias por semana,Diario,1.57,1.57
18,Masculino,Provincia,60,55,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque en las tiendas o supermercados no encontraba los productos que quería consumir.,Sí,3,No,Sí,2 a 3 dias por semana,2 a 3 dias por semana,1.59,1.59
22,Masculino,Provincia,75.4,82.1,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,No consumo,Ha disminuido,Se ha mantenido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,3,Sí,Sí,2 a 3 dias por semana,4 a 5 dias por semana,1.74,1.78
19,Femenino,Central Sur,60,64,Con familiares,Estresado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,No consumo,Ha aumentado,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,2,Sí,"No, tengo hábitos alimenticios saludables",Una vez por mes,No hago ejercicios,1.56,1.56
19,Masculino,Central,65,71,Con familiares,Estresado,No consumo,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,3,No,Sí,2 a 3 dias por semana,Una vez por semana,1.64,1.69
19,Femenino,Central,58.5,67.8,Con familiares,Deprimido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No,NA,No,4,Sí,Sí,2 a 3 dias por semana,Diario,1.53,1.54
18,Masculino,Central,66,68,Con familiares,Solo,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Sí,Cambie mi dieta por una mejor alimentación balanceada.,Sí,3,Sí,Sí,No hacía ejercicios,4 a 5 dias por semana,1.63,1.63
19,Masculino,Central,61.5,61.5,Con familiares,Triste,Se ha mantenido,Ha disminuido,Ha disminuido,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,4,Sí,Sí,4 a 5 dias por semana,No hago ejercicios,1.73,1.73
19,Masculino,Central Sur,65,65,Con familiares,Triste,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No,NA,No,3,Sí,Sí,Una vez por mes,Una vez por mes,1.75,1.75
20,Masculino,Norte,65.3,66.4,Con familiares,Relajado,Ha disminuido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,No,3,Sí,Sí,4 a 5 dias por semana,2 a 3 dias por semana,1.7,1.7
18,Femenino,Central Sur,60,67,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,5,No,Sí,2 a 3 dias por semana,Una vez por mes,1.54,1.54
21,Femenino,Central Sur,50,49,Con familiares,Ansioso,Ha disminuido,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,Se ha mantenido,No consumo,No consumo,Se ha mantenido,Ha aumentado,Ha aumentado,No,NA,Sí,5,No,Sí,No hacía ejercicios,No hago ejercicios,1.62,1.62
20,Masculino,Central Sur,65,67,Con familiares,Tranquilo,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,No consumo,Ha aumentado,No consumo,Ha aumentado,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,Una vez por semana,2 a 3 dias por semana,1.7,1.71
18,Masculino,Central Sur,76,83,Con familiares,Deprimido,Se ha mantenido,Ha disminuido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,No consumo,Ha aumentado,Se ha mantenido,Ha disminuido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,3,No,Sí,Diario,No hago ejercicios,1.81,1.86
18,Femenino,Provincia,50,50,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha disminuido,Ha aumentado,No consumo,Ha disminuido,Ha aumentado,No,NA,Sí,3,Sí,Sí,Diario,Diario,1.68,1.69
19,Femenino,Provincia,55,58,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Se ha mantenido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,4,No,Sí,Una vez por semana,Una vez por mes,1.58,1.6
18,Femenino,Provincia,53,46,Con familiares,Ansioso,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha disminuido,Ha disminuido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,5,Sí,Sí,2 a 3 dias por semana,Una vez por semana,1.5,1.5
19,Masculino,Provincia,50,68,Con familiares,Ansioso,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,No hacía ejercicios,4 a 5 dias por semana,1.65,1.75
18,Masculino,Provincia,69,70,Con familiares,Tranquilo,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,Una vez por semana,2 a 3 dias por semana,1.68,1.7
21,Masculino,Provincia,64,65,Con familiares,Tranquilo,Ha aumentado,No consumo,Se ha mantenido,Ha disminuido,Ha disminuido,Se ha mantenido,Ha aumentado,Ha aumentado,No consumo,Se ha mantenido,Se ha mantenido,Sí,Porque estaba enfermo y tenía que evitar el consumo de ciertos productos.,Sí,3,No,Sí,2 a 3 dias por semana,Una vez por semana,1.7,1.7
20,Masculino,Central,68,70,Con familiares,Tranquilo,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No,NA,Sí,4,No,"No, tengo hábitos alimenticios saludables",No hacía ejercicios,No hago ejercicios,1.65,1.65
18,Masculino,Central Sur,69,85,Con familiares,Feliz,Ha aumentado,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Ha aumentado,Ha disminuido,Se ha mantenido,Ha aumentado,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,Diario,2 a 3 dias por semana,1.7,1.8
18,Femenino,Norte,57.9,63,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,No consumo,Se ha mantenido,Ha aumentado,No,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,3,No,Sí,Diario,No hago ejercicios,1.65,1.63
18,Femenino,Central Sur,50,56,Con familiares,En unión familiar,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No,NA,Sí,3,Sí,Sí,2 a 3 dias por semana,Una vez por semana,1.64,1.64
20,Femenino,Sur,55,50,Con familiares,Triste,Ha aumentado,Ha disminuido,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,No consumo,No consumo,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,3,Sí,Sí,Diario,Una vez por mes,1.55,1.55
23,Masculino,Provincia,54,55,Con familiares,Deprimido,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Ha disminuido,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,5,Sí,Sí,Una vez por semana,4 a 5 dias por semana,1.55,1.56
18,Masculino,Central Sur,61,69,Con familiares,Relajado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Se ha mantenido,Ha aumentado,Se ha mantenido,Sí,Porque no podía salir a comprar con frecuencia por las restricciones establecidas por el gobierno.,Sí,4,No,"No, tengo hábitos alimenticios saludables",Diario,2 a 3 dias por semana,1.65,1.7
19,Femenino,Central Sur,52.6,63.3,Con familiares,Deprimido,Ha disminuido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Ha disminuido,No consumo,Ha aumentado,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,2,Sí,"No, me va a costar demasiado",4 a 5 dias por semana,Una vez por semana,1.59,1.6
18,Masculino,Este,70,71,Con familiares,Feliz,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,4,No,Sí,2 a 3 dias por semana,Diario,1.7,1.72
18,Masculino,Central,64,67,Con familiares,En unión familiar,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Ha disminuido,Se ha mantenido,No consumo,Ha disminuido,Se ha mantenido,No,NA,No,3,No,Sí,2 a 3 dias por semana,4 a 5 dias por semana,1.63,1.63
20,Femenino,Central Sur,58,58,Con familiares,Estresado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No,NA,Sí,3,No,"No, tengo hábitos alimenticios saludables",No hacía ejercicios,No hago ejercicios,1.7,1.7
18,Masculino,Norte,57,80,Con familiares,Deprimido,Ha disminuido,Ha aumentado,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,Ha disminuido,Ha aumentado,Ha disminuido,Sí,Porque en las tiendas o supermercados no encontraba los productos que quería consumir.,No,2,Sí,Sí,2 a 3 dias por semana,Una vez por semana,1.7,1.75
18,Masculino,Provincia,56.3,58.2,Con familiares,Deprimido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,Sí,6,Sí,Sí,4 a 5 dias por semana,2 a 3 dias por semana,1.68,1.68
20,Femenino,Este,55.5,55.5,Con familiares,Ansioso,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,Se ha mantenido,No,NA,No,3,Sí,Sí,No hacía ejercicios,No hago ejercicios,1.67,1.66
18,Masculino,Central Sur,50.7,53.6,Con familiares,Deprimido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Sí,Por el alza de precio de los productos alimenticios.,Sí,3,No,"No, me va a costar demasiado",Una vez por semana,Una vez por semana,1.73,1.79
19,Femenino,Central Sur,60,66,Con familiares,Estresado,Ha aumentado,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,No consumo,No consumo,No consumo,No,NA,Sí,3,No,Sí,Una vez por semana,Una vez por mes,1.54,1.54
18,Masculino,Central Sur,61,64,Con familiares,Deprimido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha disminuido,No,NA,Sí,4,No,Sí,Una vez por semana,2 a 3 dias por semana,1.78,1.79
20,Femenino,Norte,90,81,Con familiares,Estresado,Ha aumentado,Ha disminuido,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,Se ha mantenido,Ha aumentado,Ha disminuido,Ha disminuido,Se ha mantenido,Sí,Porque estaba enfermo y tenía que evitar el consumo de ciertos productos.,Sí,5,Sí,Sí,Una vez por semana,4 a 5 dias por semana,1.59,1.61
20,Femenino,Este,59,58,Con familiares,Ansioso,Ha aumentado,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha aumentado,Ha aumentado,Se ha mantenido,Ha disminuido,Ha disminuido,Sí,Porque consideraba que tenía que alimentarme bien para reforzar mi sistema inmunológico.,No,3,Sí,Sí,2 a 3 dias por semana,Una vez por semana,1.57,1.57
18,Masculino,Sur,63.5,64,Con familiares,Aburrido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,No consumo,Se ha mantenido,Se ha mantenido,No,NA,Sí,7,No,Sí,2 a 3 dias por semana,2 a 3 dias por semana,1.57,1.59
21,Masculino,Norte,55,65,Con familiares,Ansioso,Se ha mantenido,Ha disminuido,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha aumentado,Ha disminuido,Se ha mantenido,Ha aumentado,Sí,"Porque me sentía ansioso, estresado, deprimido, etc.",No,6,No,Sí,2 a 3 dias por semana,Una vez por semana,1.7,1.7
18,Masculino,Sur,64,60,Con familiares,Relajado,Ha disminuido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Se ha mantenido,Ha disminuido,Se ha mantenido,No consumo,Ha aumentado,Ha aumentado,No,NA,No,2,Sí,"No, me va a costar demasiado",4 a 5 dias por semana,Una vez por mes,1.68,1.7
