"Edad","Sexo","Distrito","Ocupación","Conocimiento de la existencia de las billeteras digitales antes de la pandemia","Utilización de las billeteras digitales antes de la pandemia","Principal razón de la utilización de las billeteras digitales antes de la pandemia","Principal razón de la NO utilización de las billeteras digitales antes de la pandemia","Utilización de las billeteras digitales actualmente","Billetera digital más usada","Segunda billetera digital más usada","Tiempo de utilización de la billetera digital","Razones iniciales de uso","Razones actuales de uso","Billeteras digitales como principal método de pago","Intención de utilización de billeteras digitales","Método principal de pago","Factores de impedimento para la utilización de billeteras digitales","Gasto promedio diario pre-pandemia con método principal de pago","Gasto promedio diario actual con método principal de pago","Nivel de comodidad con el método principal de pago","Nivel de creencia de la rapidez de las billeteras digitales","Miembros de la familia que utilizan billeteras digitales"
57,"Femenino","Surquillo","Trabajo profesional","Sí","No",NA,"Poca/nula necesidad","Sí","Yape","Plin",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","No",NA,"Tarjeta (de crédito o de débito)","Falta de necesidad, Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",60,80,"5","5",3
21,"Femenino","San Martín de Porres","Estudiante","Sí","Sí","Necesidad (ej.: Este medio era muy usado en su entorno)",NA,"Sí","Yape","Plin",30,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,5,15,"4","5",10
18,"Femenino","Surquillo","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",6,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Falta de necesidad",20,30,"3","4",3
50,"Femenino","Santiago de Surco","Trabajo profesional","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",50,100,"4","2",5
40,"Masculino","Lima","Oficio","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",15,30,"1","2",0
28,"Femenino","San Borja","Trabajo profesional","No",NA,NA,NA,"Sí","Yape","Plin",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,20,20,"5","5",3
41,"Masculino","Los Olivos","Trabajo profesional","Sí","No",NA,"Poca/nula necesidad","Sí","Plin","Agora PAY",12,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",60,50,"5","5",2
18,"Masculino","San Juan de Miraflores","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Falta de necesidad",5,30,"4","5",0
19,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"Sí","Plin","Apple Pay",12,"Miedo al contagio por COVID-19, Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,20,30,"4","5",5
19,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"Sí","Yape","Yape",12,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,10,50,"5","5",2
18,"Masculino","San Borja","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Yape","Yape",16,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Costumbre","Sí",NA,NA,NA,2,3,"5","5",4
52,"Femenino","Lima","Trabajo profesional","No",NA,NA,NA,"Sí","Yape","Yape",48,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Sí",NA,NA,NA,50,50,"5","5",5
53,"Masculino","San Juan de Lurigancho","Oficio","Sí","Sí","Accesibilidad (ej.: Realizar transferencias desde el teléfono)",NA,"Sí","Yape","Plin",36,"Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Sí",NA,NA,NA,80,100,"5","5",4
19,"Femenino","Barranco","Estudiante","Sí","No",NA,"Ninguna de las anteriores","Sí","Yape","Plin",6,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Sí",NA,NA,NA,20,25,"5","5",3
48,"Femenino","Los Olivos","Trabajo profesional","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",500,950,"4","2",0
19,"Femenino","Barranco","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",15,"Miedo al contagio por COVID-19, Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,50,70,"5","5",2
18,"Masculino","San Juan de Miraflores","Estudiante","Sí","No",NA,"Ninguna de las anteriores","Sí","Yape","Ninguno",16,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,20,20,"5","5",4
18,"Femenino","Pueblo Libre","Estudiante","No",NA,NA,NA,"Sí","Yape","Plin",12,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,10,35,"5","5",4
18,"Masculino","Miraflores","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Apple Pay","Yape",24,"Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros), Costumbre","Sí",NA,NA,NA,50,200,"5","4",3
18,"Femenino","La Molina","Estudiante","No",NA,NA,NA,"Sí","Yape","Yape",8,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,1,40,"4","4",3
19,"Femenino","Los Olivos","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"Sí","Tarjeta (de crédito o de débito)","Ninguna de las anteriores",5,15,"4","3",2
19,"Femenino","San Juan de Lurigancho","Estudiante","Sí","No",NA,"Desconfianza (ej.: Sentimiento de vulnerabilidad)","No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",10,20,"3","3",2
21,"Masculino","Comas","Estudiante","No",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"No","Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",10,20,"3","2",0
17,"Masculino","Callao *","Estudiante","Sí","No",NA,"Poca/nula necesidad","No",NA,NA,NA,NA,NA,NA,"Sí","Efectivo","Desconocimiento de cómo usar este tipo de método de pago",10,25,"2","5",2
19,"Masculino","Carabayllo","Estudiante","Sí","No",NA,"Poca/nula necesidad","Sí","Plin","Yape",24,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno), Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago), Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","No",NA,"Efectivo","Falta de necesidad",0,20,"5","3",5
17,"Masculino","Barranco","Estudiante","Sí","No",NA,"Desconfianza (ej.: Sentimiento de vulnerabilidad)","Sí","Yape","Yape",5,"Necesidad (ej.: Mayor utilización de este medio de pago por parte de tu entorno)","Seguridad (ej.: Sentimiento de que es un método de pago más seguro que otros)","No",NA,"Efectivo","Seguridad (ej: Sentimiento de estar más propenso a ser víctima de algún tipo de delito como fraude o suplantación de identidad)",500,550,"5","4",2
19,"Masculino","Barranco","Estudiante","Sí","Sí","Comodidad (ej.: Integridad con otros medios de pago)",NA,"Sí","Yape","Plin",48,"Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Comodidad/Flexibilidad (ej. Tener todo en la app y dejar de lado otros medios de pago)","Sí",NA,NA,NA,20,120,"4","4",2
