Marca temporal,Género de sexo,Edad,Orientación Sexual [Opciones],Carrera ,¿Ciclo en el que te encuentras?,Zona de Residencia,Económicamente activo?(Si laboras),¿Has sido o has sentido acoso dentro de la universidad por algún miembro de la comunidad? ,¿A qué edad sucedió este hecho?,¿En qué año ocurrió este hecho?,¿En qué circunstancia ocurrió este hecho?,¿Cuántas veces han ocurrido estos hechos similares a tu persona en el campus?,¿Cómo fue la agresión a tu persona?,¿Cuál fue tu reacción cuando ocurrió este hecho?,¿Lo denunciaste o se lo comentaste a alguien?,¿Algún estudiante o miembro de la universidad te ha acosad@ fuera de la institución?,¿A qué edad sucedió este hecho?,¿En qué año ocurrió este hecho?,¿Dónde ocurrió este hecho?,¿Cuántas veces has sido acosad@ fuera del campus?,¿De qué manera te han acosado?,¿ Cuál fue tu reacción cuando ocurrió este hecho?,¿Has vuelto ha interactuar con tu agresor?,¿Consideras que este hecho fue aislado o previsto por el agresor?,¿Lo denunciaste o se lo comentaste a alguien?,¿Porque no denunciaste este hecho?,¿Crees que tu denuncia no tendría ningún valor?,¿A qué entorno social pertenece el acosador en tu vida?,¿Consideras que tu acosador tomaría represalia contra tu persona si lo denuncias?,¿Cómo esta situación te afectó en tu vida personal?,¿Te encuentras con la fortaleza o el apoyo de realizar la denuncia en la actualidad?,¿Con quien te apoyarías para enfrentar la situación?,¿A qué autoridades acudirías primero para denunciar los hechos?,¿En la actualidad si fueras acosad@ de nuevo te enfrentarías al acosador ?,¿Ayudarias a otras personas a denunciar este tipo de hechos?,¿Compartirías tu experiencia para que otras personas no tengan miedo y puedan exponer a sus acosadores?,¿Consideras que tu entorno no te apoyaria si denuncias este hecho fuera de tiempo?,¿Si existiera una línea de apoyo exclusiva de la universidad para denunciar de forma anónima el acoso lo realizarías?,¿Consideras exponer tu situación ante las autoridades correspondientes?,¿Consideras que se deben aplicar nuevas medidas de protección para denunciar los hechos de acoso dentro de la universidad?,¿Consideras que exponer de forma pública a los acosadores ayudaría a que estos frenen sus actos?,¿A quién lo denunciaste o comentaste?,¿Qué tan efectiva fue la respuesta por parte de esa persona o la universidad?,¿Crees que el reglamento de hostigamiento al estudiante te garantiza que este hecho no vuelva a ocurrir?,¿Qué tan perjudicial ha sido en tu rendimiento académico?,¿Sientes que las autoridades universitarias toman medidas preventivas necesarias para combatir esta problemática dentro del campus? ,¿Te has sentido culpable por la situación de acoso que experimentaste?,¿Aun mantienes contacto con tu agresor?,¿Has recurrido a autolesionarse por este tipo de hechos?,¿A quien lo denunciaste o comentastes? ,¿Qué tan efectiva fue la respuesta por parte de esa persona o la universidad?,¿Sientes que las autoridades universitarias toman medidas preventivas necesarias para combatir esta problemática fuera del campus?,¿Que autoridad externa tomó tu denuncia y te ayudó en el proceso?,¿Qué tan perjudicial ha sido en tu rendimiento académico?,¿Te has sentido culpable por la situación de acoso que experimentaste?,"¿Consideras que los hombres en general son potenciales acosadores sexuales, esto debido al estimulo indicado que podría despertar este?",¿Has recurrido a autolesionarse por este tipo de situación?,¿Has sido testig@ de algún tipo de acoso?,¿Consideras que estabas preparad@ para accionar correctamente en el momento en el que sucedió el hecho? ,¿En que año sucedió este hecho?,¿Qué modalidad fue el acoso que percibiste?,¿Cuántas veces has sido testigo de acoso?,¿Dónde ocurrió este hecho?,¿Cual fue tu reacción ante este hecho?,¿Lo denunciaste o comentaste a otros? ,¿A quién lo denunciaste o comentaste?,¿Qué tan efectiva fue la respuesta por parte de esa persona o la autoridad que tomó tu caso? ,¿Sientes que las autoridades toman medidas preventivas necesarias para combatir esta problemática?,¿Que tan complicado fue el trámite para denunciar la situación de acoso que fuiste testigo?,¿El agraviado tiene algún tipo de afiliación contigo?,¿Has vuelto a ver al agresor luego de la denuncia?,¿Por qué no denunciaste este hecho?,¿Sientes que las autoridades no tomarían cartas en el asunto?,¿Si fuera el agraviado conocid@ tuyo o familiar hubieras denunciado el hecho?,¿Te sentiste amenazad@ por el agresor?,¿Si pudieras denunciar el hecho en la actualidad lo harias?,¿Qué tan comod@ y segur@ te sientes al asistir a la universidad?,¿Qué tan cómod@ y segur@ te sientes al andar en la vía pública?,¿A quién crees que acudirías primero si sufres un caso de acoso dentro del campus?,¿Qué actitud tomarías ante una situación de acoso?,¿Te han advertido sobre los peligros del acoso sexual?,¿Consideras que el taller de acoso sexual brindado por la universidad ha reducido el acoso entre los estudiantes?,¿Consideras que las autoridades y el Estado velan por tu seguridad?,¿A cuántas personas conoces que han sido acosadas?,¿Cuánto crees que es el porcentaje de víctimas de acoso sexual dentro de la universidad?,¿Cuánto crees que es el porcentaje de víctimas de acoso sexual fuera de la universidad?,¿Consideras que es satisfactoria la justicia por mano propia?,¿Consideras que todos los hombres son acosadores en potencia? ,¿Consideras que todos las mujeres son acosadoras en potencia? ,¿Quién crees que es el principal acosador?,¿Consideras que la culpa de acoso es por parte del acosador o acosado?,Exposicion en Vivo,Exposicion en Virtual,Frecuencia,,,,
2022/09/23 5:23:38 p. m. GMT-5,Mujer,19,Asexual,Bioingenieria,3,Callao,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,2,Amigo@,Comunicar a la autoridad competente,Sí,No,4,4,2,3,No,No,No,Hombres de mediana edad,Es del acosador,63,79,1,,,,
2022/09/23 8:17:28 p. m. GMT-5,Mujer,18,Heterosexual,Electronica,2,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Amigo@,Ignorar,Sí,Si,3,3,2,70,No,No,No,Adultos mayores,Es del acosador,80,88,2,,,,
2022/09/23 9:40:53 p. m. GMT-5,Mujer,19,Heterosexual,Administración y Negocios Digitales,6,Lurigancho,No,Si,16,2019,Transitando en la universidad,1,Verbal,Me aleje de la situacion,No,,,,,,,,,,,Inseguridad por tu integridad.,"Si, considero que tendria valor.",Miembro de la universidad.,No,Problemas de inseguridad hacia los hombres,No,,,,,,No,Si,Tal vez,Considero que las medidas actuales son suficientes,Les importa la exposicion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,68,2,,,,
2022/09/24 8:03:57 a. m. GMT-5,Mujer,19,Heterosexual,Civil,5,Villa El Salvador,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Padres de familia,Comunicar a la autoridad competente,Sí,Si,4,2,15,50,No,No,No,Hombres de mediana edad,Es del acosador,81,77,1,,,,
2022/09/24 8:10:42 a. m. GMT-5,Mujer,19,Heterosexual,Bioingenieria,5,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,1,Amigo@,Ignorar,Sí,Si,1,5,10,95,Si,No,No,Hombres de mediana edad,Es del acosador,100,79,1,,,,
2022/09/24 8:17:40 a. m. GMT-5,Mujer,20,Heterosexual,Civil,5,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,5,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,No,1,2,10,15,No,No,No,Hombres de mediana edad,Es del acosador,46,61,2,,,,
2022/09/24 8:29:58 a. m. GMT-5,Mujer,19,Heterosexual,Civil,5,Callao,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,2,Psicólog@,Comunicar a la autoridad competente,Sí,Si,1,5,20,90,No,No,No,Hombres de mediana edad,Es del acosador,50,66,5,,,,
2022/09/24 8:53:15 a. m. GMT-5,Mujer,19,Heterosexual,Civil,5,Viilla Maria del Triunfo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Padres de familia,Confrontar,Sí,Si,4,1,40,20,Si,No,No,Hombres de mediana edad,Es del acosador,38,70,1,,,,
2022/09/24 8:54:35 a. m. GMT-5,Mujer,21,Heterosexual,Industrial,6,Viilla Maria del Triunfo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2016,Fisico,2,Transporte público o privado,Me abstuve y mire la escena por temor,No,,,,,,,No conozco a la persona,No,Depende del nivel de afiliacion,No,Si,,,,,,,,,,,,,,,,73,87,4,,,,
2022/09/24 8:57:40 a. m. GMT-5,Mujer,21,Heterosexual,Industrial,1,San Juan de Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,3,5,10,30,Si,No,No,Hombres de mediana edad,Es del acosador,53,59,3,,,,
2022/09/24 9:04:51 a. m. GMT-5,Mujer,17,Pansexual,Bioingenieria,10,Santa Anita,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,Sí,2022,Verbal,5,Vía pública,Intervine en protección de la agraviado retirandolo,Sí,Padre de familia,3,4,3,Persona cercana (familia y amigos),No,,,,,,,,,,,,,,,,,,,,,61,82,1,,,,
2022/09/24 9:04:51 a. m. GMT-5,Mujer,24,Bisexual,Electronica,7,La Molina,No,Si,24,2022,En aula,1,Fisica,Lo ignore y continúe con mis actividades,No,,,,,,,,,,,Miedo al rechazo del entorno social.,"Si, considero que tendria valor.",Amistades en comun.,No,Distracción en tu vida estudiantil,No,,,,,,Tal vez,Tal vez,Tal vez,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,82,2,,,,
2022/09/24 9:08:28 a. m. GMT-5,Mujer,18,Bisexual,Ambiental,1,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Verbal,2,Vía pública,Pedí ayuda al público para que intervenga por seguridad propia,Sí,Policia,2,2,5,No,No,,,,,,,,,,,,,,,,,,,,,73,76,1,,,,
2022/09/24 9:13:40 a. m. GMT-5,Mujer,20,Heterosexual,Bioingenieria,3,Surco,No,No,,,,,,,,Si,17,2019,En el parque,2,Verbal,Lo ignore y continúe con mis actividades.,No,Si,No,Inseguridad por tu integridad.,No considero que tendría valor.,Persona desconocida.,Si,Problemas de inseguridad hacia los hombres,Si,Padres de familia,Policia,Si,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,77,2,,,,
2022/09/24 9:14:23 a. m. GMT-5,Mujer,20,Heterosexual,Ambiental,8,Villa El Salvador,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,2,Padres de familia,Confrontar,Sí,Si,2,2,30,80,No,No,No,Hombres de mediana edad,Es del acosador,70,48,3,,,,
2022/09/24 9:17:09 a. m. GMT-5,Mujer,19,Heterosexual,Ambiental,1,Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,4,0,2,20,Si,No,No,Adultos mayores,Es del acosador,79,70,3,,,,
2022/09/24 9:19:22 a. m. GMT-5,Mujer,18,Heterosexual,Industrial,3,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,5,3,Amigo@,Me alejo,Sí,Si,2,4,24,46,No,No,No,Adultos mayores,Es del acosador,70,100,3,,,,
2022/09/24 9:20:16 a. m. GMT-5,Mujer,21,Heterosexual,Industrial,3,San Juan de Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Fisico,3,Transporte público o privado,Detuve al agresor y pedi ayuda al publico,Sí,Amig@,3,1,0,Persona cercana (familia y amigos),No,,,,,,,,,,,,,,,,,,,,,84,76,1,,,,
2022/09/24 9:27:18 a. m. GMT-5,Mujer,21,Bisexual,Industrial,7,La Molina,No,Si,19,2019,Areas comunes,3,Psicologica,Me aleje de la situacion,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,Amigo,5,si,2,3,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,90,1,,,,
2022/09/24 9:30:11 a. m. GMT-5,Mujer,23,Heterosexual,Ambiental,6,Puente Piedra,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,6,4,Amigo@,Me alejo,No,Si,3,2,10,20,No,No,No,Adultos mayores,Es del acosador,47,73,2,,,,
2022/09/24 9:36:38 a. m. GMT-5,Mujer,18,Heterosexual,Industrial,1,San juan de Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,5,1,2,9,No,No,No,Adolescentes hombres,Es del acosador,100,95,5,,,,
2022/09/24 9:45:38 a. m. GMT-5,Mujer,18,Heterosexual,Ambiental,1,Puente Piedra,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,5,Autoridad de la universidad,Confrontar,Sí,Si,5,0,5,20,No,No,No,Hombres de mediana edad,Es del acosador,59,69,1,,,,
2022/09/24 9:46:18 a. m. GMT-5,Mujer,18,Heterosexual,Civil,5,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,3,0,10,40,No,No,No,Adultos mayores,Es del acosador,72,84,3,,,,
2022/09/24 9:46:44 a. m. GMT-5,Mujer,19,Heterosexual,Industrial,5,Chorrillos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Amigo@,Confrontar,Sí,Si,3,2,5,15,Si,No,No,Hombres de mediana edad,Es del acosador,47,91,2,,,,
2022/09/24 9:48:49 a. m. GMT-5,Mujer,19,Heterosexual,Civil,3,San juan de Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2019,Fisico,3,Transporte público o privado,Pedí ayuda al público para que intervenga por seguridad propia,No,,,,,,,Temor a represaría,Si,Si,SI,Si,,,,,,,,,,,,,,,,53,91,1,,,,
2022/09/24 9:52:39 a. m. GMT-5,Mujer,20,Heterosexual,Quimica,7,Surco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,6,1,Psicólog@,Comunicar a la autoridad competente,Sí,No,0,5,40,98,Si,No,No,Hombres de mediana edad,Es del acosador,93,79,4,,,,
2022/09/24 9:56:58 a. m. GMT-5,Mujer,17,Heterosexual,Industrial,1,San Martin Porres,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,3,Amigo@,Ignorar,Sí,Si,3,1,5,30,Si,No,Tal vez,Hombres de mediana edad,Es del acosador,59,70,5,,,,
2022/09/24 9:57:56 a. m. GMT-5,Mujer,17,Heterosexual,Industrial,1,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,3,Familiares de confianza,Me alejo,Sí,No,3,1,20,40,No,No,No,Adolescentes hombres,Es del acosador,57,80,1,,,,
2022/09/24 10:01:26 a. m. GMT-5,Mujer,17,Heterosexual,Ambiental,1,Carabayllo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2021,Fisico,3,Transporte público o privado,Me abstuve y mire la escena por temor,Sí,Padre de familia,3,1,0,No,"Talvez, pero no lo reconosco",,,,,,,,,,,,,,,,,,,,,85,81,1,,,,
2022/09/24 10:01:45 a. m. GMT-5,Mujer,18,Heterosexual,Ambiental,1,Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Autoridad de la universidad,Comunicar a la autoridad competente,Sí,Si,4,2,20,80,Si,No,No,Adultos mayores,Es del acosador,64,75,5,,,,
2022/09/24 10:06:34 a. m. GMT-5,Mujer,21,Bisexual,Ambiental,7,Chorrillos,No,Si,17,2019,En clase,5,Verbal,Lo ignore y continúe con mis actividades,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,Amigo,0,si,3,3,No,Existen clases comunes pero lo evitó,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,71,1,,,,
2022/09/24 10:10:53 a. m. GMT-5,Mujer,21,Bisexual,Ambiental,9,Barranco,Sí,No,,,,,,,,Si,18,2019,Evento Social,3,Física,Me quede muda y no supe como reaccionar.,Si,Si,Sí,,,,,,,,,,,,,,,,,,,,,,,,,Amig@,2,5,Policia,3,Sí,Si,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,87,2,,,,
2022/09/24 10:11:41 a. m. GMT-5,Mujer,18,Heterosexual,Industrial,3,Barranco,No,No,,,,,,,,Si,17,2021,En la via publica,1,Verbal,Me aleje de la situación.,No,No,Sí,,,,,,,,,,,,,,,,,,,,,,,,,Padres de familia,3,4,"Defensoría Municipal del Niño, Niña y Adolescente  (DEMUNA)",6,No,Si,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,73,4,,,,
2022/09/24 10:23:13 a. m. GMT-5,Mujer,18,Heterosexual,Ambiental,1,San juan de Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Fisico,3,Transporte público o privado,Me abstuve y mire la escena por temor,No,,,,,,,Temor a represaría,Si,Si,SI,No,,,,,,,,,,,,,,,,66,82,4,,,,
2022/09/24 10:24:11 a. m. GMT-5,Mujer,17,Heterosexual,Ambiental,1,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2022,Verbal,3,Transporte público o privado,Me abstuve y mire la escena por temor,No,,,,,,,Temor a represaría,Si,Si,No,Si,,,,,,,,,,,,,,,,37,74,2,,,,
2022/09/24 10:24:21 a. m. GMT-5,Mujer,18,Asexual,Ambiental,1,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,1,4,Padres de familia,Denuncia ante la ley pública,Sí,Si,4,5,1,1,Si,Si,Tal vez,Adultos mayores,Es del acosador,78,73,4,,,,
2022/09/24 10:24:22 a. m. GMT-5,Mujer,18,Heterosexual,Administración y Negocios Digitales,2,Lince,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,4,Amigo@,Comunicar a la autoridad competente,Sí,No,3,0,0,1,Si,No,No,Hombres de mediana edad,Es del acosador,77,88,3,,,,
2022/09/24 10:25:56 a. m. GMT-5,Mujer,18,Heterosexual,Computer Science,3,Barranco,No,Si,16,2021,En clase,5,Psicologica,Me quede mud@ y no supe como reaccionar,No,,,,,,,,,,,Inseguridad por tu integridad.,No considero que tendría valor.,Miembro de la universidad.,Si,Transtornos emocionales,Si,Padres de familia,Representacion estudiantil,No,Si,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,61,3,,,,
2022/09/24 10:25:59 a. m. GMT-5,Mujer,19,Heterosexual,Ambiental,1,Chorrillos,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,2,Autoridad de la universidad,Denuncia ante la ley pública,No,No,3,0,0,0,Si,No,No,Adultos mayores,Es del acosador,83,84,4,,,,
2022/09/24 10:30:16 a. m. GMT-5,Mujer,17,Bisexual,Data Science,4,Villa El Salvador,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,3,Amigo@,Me alejo,Sí,Si,1,2,40,90,Si,Si,Tal vez,Adultos mayores,Es del acosador,57,97,1,,,,
2022/09/24 10:30:43 a. m. GMT-5,Mujer,18,Heterosexual,Data Science,2,San Miguel,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,3,Padres de familia,Confrontar,Sí,Si,1,5,5,70,No,No,No,Hombres de mediana edad,Es del acosador,61,89,4,,,,
2022/09/24 10:34:04 a. m. GMT-5,Mujer,17,Bisexual,Bioingenieria,2,Surquillo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,2,Amigo@,Comunicar a la autoridad competente,Sí,Si,2,3,2,90,Si,No,No,Adultos mayores,Es del acosador,81,70,2,,,,
2022/09/24 10:36:09 a. m. GMT-5,Mujer,19,Heterosexual,Industrial,5,Puente Piedra,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,9,1,Amigo@,Me alejo,Sí,Si,2,3,15,80,No,No,No,Adultos mayores,Es del acosador,66,68,2,,,,
2022/09/24 10:36:43 a. m. GMT-5,Mujer,21,Bisexual,Civil,10,San Borja,Sí,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,8,1,Autoridad de la universidad,Confrontar,Sí,No,1,5,3,25,Si,Tal vez,Tal vez,Adultos mayores,Es del acosador,74,64,1,,,,
2022/09/24 10:38:30 a. m. GMT-5,Mujer,17,Bisexual,Quimica,2,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,3,Amigo@,Comunicar a la autoridad competente,Sí,Si,4,5,5,40,No,No,No,Hombres de mediana edad,Es del acosador,72,72,1,,,,
2022/09/24 10:46:20 a. m. GMT-5,Mujer,17,Heterosexual,Industrial,2,Villa El Salvador,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,6,2,Psicólog@,Comunicar a la autoridad competente,No,No,2,2,30,60,No,No,No,Hombres de mediana edad,Es del acosador,58,93,5,,,,
2022/09/24 10:49:22 a. m. GMT-5,Mujer,17,Heterosexual,Industrial,2,Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2013,Fisico,2,Casa o hogar,Me abstuve y mire la escena por temor,Sí,Padre de familia,4,1,3,Si,"Talvez, pero no lo reconosco",,,,,,,,,,,,,,,,,,,,,86,68,1,,,,
2022/09/24 11:28:33 a. m. GMT-5,Mujer,17,Bisexual,Industrial,2,San juan de Miraflores,No,Si,17,2022,En los elevadores,1,Fisica,Me quede mud@ y no supe como reaccionar,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,Amigo,0,no,3,1,Si,No,Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,67,3,,,,
2022/09/24 12:03:12 p. m. GMT-5,Mujer,21,Heterosexual,Ambiental,5,Lurigancho,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2021,Verbal,4,Colegio o academia,Pedí ayuda al público para que intervenga por seguridad propia,Sí,Padre de familia,3,3,4,Si,No,,,,,,,,,,,,,,,,,,,,,69,79,1,,,,
2022/09/24 12:09:36 p. m. GMT-5,Mujer,18,Heterosexual,Industrial,2,Callao,No,Si,17,2022,En clase,3,Psicologica,Me aleje de la situacion,No,,,,,,,,,,,Temor a que no te crean.,No considero que tendría valor.,Miembro de la universidad.,No,Problemas de inseguridad hacia los hombres,No,,,,,,Si,Si,No tengo confianza que resolverán la problemática,Si,Reduciria de forma notable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,67,2,,,,
2022/09/24 12:50:01 p. m. GMT-5,Mujer,21,Heterosexual,Mecatrónica,4,San juan de Miraflores,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,10,4,Psicólog@,Me alejo,Sí,Si,3,0,2,30,Si,No,No,Adultos mayores,Es del acosador,40,81,2,,,,
2022/09/24 1:08:40 p. m. GMT-5,Mujer,19,Heterosexual,Quimica,3,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2018,Verbal,3,Colegio o academia,Pedí ayuda al público para que intervenga por seguridad propia,Sí,Padre de familia,4,3,2,Persona cercana (familia y amigos),"Talvez, pero no lo reconosco",,,,,,,,,,,,,,,,,,,,,85,78,2,,,,
2022/09/24 1:26:58 p. m. GMT-5,Mujer,17,Bisexual,Computer Science,2,Surquillo,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2021,Verbal,3,Vía pública,Me abstuve por solicitud del agraviado,No,,,,,,,La victima no pidió apoyo,Si,Depende del nivel de afiliacion,SI,No,,,,,,,,,,,,,,,,72,75,4,,,,
2022/09/24 1:38:54 p. m. GMT-5,Mujer,19,Heterosexual,Ambiental,6,Magdalena,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,7,3,Amigo@,Comunicar a la autoridad competente,No,No,2,5,30,70,No,,No,Mujeres de diferentes edades,Es del acosador,77,100,2,,,,
2022/09/24 6:20:09 p. m. GMT-5,Mujer,18,Heterosexual,Civil,3,Barranco,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,7,3,Padres de familia,Me alejo,Sí,Si,3,0,8,30,Si,Tal vez,No,Adultos mayores,Es del acosador,77,67,3,,,,
2022/09/24 9:32:37 p. m. GMT-5,Mujer,19,Heterosexual,Civil,6,Ate,No,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si,No,2018,Psicológico,2,Vía pública,Me abstuve por solicitud del agraviado,Sí,Padre de familia,3,1,1,No,No,,,,,,,,,,,,,,,,,,,,,80,98,2,,,,
