Marca temporal,¿Juegas videojuegos?,Género,Edad,Carrera,¿Qué manera de jugar te gusta más?,¿Prefieres juegos multiplayer o singleplayer?,¿Qué valoras más en un videojuego?,Plataforma en la que juega:,"Tiempo que dedica a jugar videojuegos
Ejem: 1 hora a la semana",¿Qué género de videojuego prefieres?,¿Qué compania crees que tiene mejores juegos?,Cantidad de dinero que gastas en video juegos en un año,¿Cuántos cursos estas llevando en el ciclo?,"¿Cual es tu promedio ponderado?
Valor comprendido entre 1 a 20. 
Ejm: 14.67","¿Cuantas horas al dia duermes?
Ejm: 4",¿Cuantos cursos desaprobados tienes?,Sigues los cursos que corresponden a tu ciclo actual. ¿Si o no?,¿Por qué no te gustan los videojuegos?
10/16/2022 12:14:05,Sí,Masculino,19,Ingeniería Mecánica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",7,Deportivo,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",120,6,14.32,7,Ninguno,No,No me llama la atención
10/16/2022 12:22:56,Sí,Masculino,19,Bioingeniería,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,Deportivo,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",112,4,14.30,7,Ninguno,Sí,Jugabilidad complicada
10/16/2022 12:24:27,Sí,Masculino,20,Ingeniería Ambiental,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",8,Shooters,"CD Projekt Red (The Witcher, Cyberpunk 2077)",136,6,13.23,5,1,Sí,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 12:25:31,Sí,Masculino,19,Ingeniería Electrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Banda Sonora,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,Simulación,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",89,5,14.32,6,Ninguno,No,No me llama la atención
10/16/2022 12:26:48,Sí,Masculino,19,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"XBox (360, One, Series S, Series X)",10,MMO,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",64,6,11.32,7,2,Sí,No tengo tiempo
10/16/2022 12:28:37,Sí,Masculino,19,Ingeniería Industrial,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Dificultad,"Play Station (PS1, PS2, PS3, PS4, PS5)",8,MOBAs,"Valve (Dota, Half Life, Portal, etc)",120,6,11.42,7,Ninguno,No,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 12:30:32,Sí,Masculino,19,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,MMO,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",120,6,14.82,9,Ninguno,No,"Jugabilidad complicada, No tengo tiempo"
10/16/2022 12:32:28,Sí,Masculino,19,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",6,Simulación,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",86,6,14.92,9,Ninguno,Sí,El precio de las plataformas y/o juegos son caros
10/16/2022 12:34:28,Sí,Masculino,19,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Singleplayer (Un solo jugador),Precio,PC (Computadora),10,Deportivo,"Nintendo (Super Mario Bross, Mario Kart, Pokémon Rojo , Super Smash Bros, etc)",215,5,12.65,7,Ninguno,No,Jugabilidad complicada
10/16/2022 12:37:35,Sí,Masculino,19,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Dificultad,"Play Station (PS1, PS2, PS3, PS4, PS5)",7,MOBAs,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",80,6,12.89,9,Ninguno,Sí,"Jugabilidad complicada, Prefiero realizar otras actividades"
10/16/2022 12:39:00,Sí,Masculino,19,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",8,Shooters,"Activicion Blizzard (Call of Duty, World of Warecraft, Overwach, etc)",112,5,16.82,8,Ninguno,Sí,"No me llama la atención, Prefiero realizar otras actividades"
10/16/2022 12:40:47,Sí,Masculino,19,Ingeniería Mecánica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",14,De Peleas,"Warner Bros (MultiVersus, Batman, Juegos de Lego, Back for Blood, etc)",330,5,10.96,6,Ninguno,No,No me llama la atención
10/16/2022 12:41:47,Sí,Masculino,19,Ingeniería Química,Co-Op (Coperativo),Multiplayer (Multijugador),Banda Sonora,"XBox (360, One, Series S, Series X)",10,Shooters,"Epic Games (Fortnite, Rocket League, Gears of War, etc)",120,5,11.87,4,2,No,Jugabilidad complicada
10/16/2022 12:43:50,Sí,Masculino,19,Ingeniería Mecatrónica,PvE (Jugador VS Maquina),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",18,MOBAs,"Riot Games (League of Legends, Valorant, Wild Rift, etc)",400,4,11.99,4,2,No,Jugabilidad complicada
10/16/2022 12:44:58,Sí,Masculino,19,Ingeniería Mecatrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Gráficos,"Play Station (PS1, PS2, PS3, PS4, PS5)",15,MMO,"CD Projekt Red (The Witcher, Cyberpunk 2077)",300,4,11.45,5,3,No,"Jugabilidad complicada, No tengo tiempo"
10/16/2022 12:46:04,Sí,Masculino,19,Ingeniería Electrónica,PvP (Jugador VS Jugador),Multiplayer (Multijugador),Historia,"Play Station (PS1, PS2, PS3, PS4, PS5)",3,Shooters,"Microsoft (Skyrim, Fallout, Minecraft, Halo, Starfild)",20,6,13.98,9,Ninguno,Sí,"No me llama la atención, El precio de las plataformas y/o juegos son caros"
