"","Género","Edad","Ciclo","Carrera","Curso","H.Estudio","Calificación","Peso","Estatura","H.Desayuno","H.Almuerzo","H.Cena","A.Desayuno","A.Almuerzo","A.Cena","Comer","Agua","Académicas","Enfermedad","Dormido","Alimentación","Rendimiento"
"162","M",20,"6","Ing. Civil",7,3,"2",80.5,1.7,"No suelo desayunar","2:00-3:00 PM","10:00 a más","Carnes, huevos o embutidos, Pastas(tallarines, macarrones), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas), Café o filtrantes","Alimentos basados en frituras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas), Café o filtrantes",30,1.75,"Sí","Sí","En ocasiones","1","4"
"163","M",18,"2","Ing. Ambiental",6,2,"3",90,1.8,"No suelo desayunar","12:00-1:00 PM","9:00-10:00 PM","No suelo desayunar","Alimentos basados en frituras","Cereales (arroz, pan, cebada, avena, etc)",30,1,"Sí","No","Con frecuencia","3","3"
"164","F",20,"6","Ing. Industrial",6,5,"3",63,1.63,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc)",10,1,"Sí","No","Nunca","3","3"
"165","M",21,"4","Ing. Industrial",6,9,"3",73,1.74,"7-8am","12:00-1:00 PM","7:00-8:00 PM","Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","Cereales (arroz, pan, cebada, avena, etc)",30,3.5,"Sí","No","En ocasiones","4","3"
"166","F",20,"4","Ing. Civil",7,8,"3",53,1.58,"No suelo desayunar","1:00-2:00 PM","9:00-10:00 PM","No suelo desayunar","Alimentos basados en menestras","Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes",30,1,"Sí","No","En ocasiones","3","3"
"167","M",20,"4","Ing. Civil",6,4,"4",58.5,1.65,"7-8am","12:00-1:00 PM","No suelo cenar","Cereales (arroz, pan, cebada, avena, etc)","Alimentos basados en menestras","No suelo cenar",30,1.5,"No","No","Nunca","4","4"
"168","M",18,"2","Bioingeniería",7,2,"3",65,1.7,"6-7am","12:00-1:00 PM","6:00-7:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en ensaladas","Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes",30,3,"Sí","No","Nunca","5","3"
"169","F",19,"4","Ing. Ambiental",5,4,"5",60,1.6,"7-8am","12:00-1:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en ensaladas","No suelo cenar",40,1.5,"Sí","No","Nunca","4","2"
"170","M",18,"3","Ing. Mecatrónica",6,5,"4",58.6,1.62,"8-9am","1:00-2:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","No suelo cenar",45,2,"Sí","No","Nunca","5","1"
"171","M",18,"3","Ciencias de Datos",6,2,"3",45.4,1.63,"7-8am","1:00-2:00 PM","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso), Café o filtrantes","Alimentos basados en pastas (tallarines)","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones)",20,2.5,"Sí","No","Nunca","3","2"
"172","M",21,"4","Ing. Ambiental",6,7.4,"4",54.3,1.63,"6-7am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Lácteos (Yogurt, leche, queso)",20,2.5,"No","No","En ocasiones","4","4"
"173","F",19,"2","Ing. Industrial",2,7,"2",50.5,1.74,"6-7am","3:00 a más","9:00-10:00 PM","Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso)","Alimentos basados en menestras","Pastas(tallarines, macarrones), Cereales (arroz, pan, cebada, avena, etc), Sopas",15,2.5,"Sí","Sí","En ocasiones","3","3"
"174","M",20,"3","Ing. Mecánica",7,8,"4",54.2,1.65,"7-8am","12:00-1:00 PM","8:00-9:00 PM","Pastas(tallarines, macarrones), Lácteos (Yogurt, leche, queso)","Alimentos basados en ensaladas","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)",30,2.3,"Sí","Sí","Nunca","4","4"
"175","M",18,"2","Ciencias de la Computación",5,4,"2",55.3,1.72,"9-10am","2:00-3:00 PM","9:00-10:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Grasas o azúcares  (chocolates, tortas, comida rápida, gaseosas)","Alimentos basados en frituras","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Pastas(tallarines, macarrones), Grasas y azúcares (chocolates, tortas, comida rápida, gaseosas)",25,1.5,"Sí","No","En ocasiones","2","3"
"176","M",17,"4","Ing. Ambiental",6,4,"3",55.5,1.63,"8-9am","12:00-1:00 PM","7:00-8:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en ensaladas","Cereales (arroz, pan, cebada, avena, etc), Sopas, Lácteos (Yogurt, leche, queso), Café o filtrantes",45,1.75,"No","No","Nunca","4","2"
"177","F",20,"5","Ing. Industrial",5,5.5,"3",50.3,1.67,"8-9am","1:00-2:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)","Alimentos basados en ensaladas","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)",40,1.65,"Sí","No","En ocasiones","4","2"
"178","F",19,"5","Bioingeniería",4,4.5,"4",59.6,1.66,"7-8am","12:00-1:00 PM","No suelo cenar","Carnes, huevos o embutidos, Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en guisos","No suelo cenar",45,2.2,"Sí","No","Nunca","4","2"
"179","M",20,"2","Ing. Química",8,6.5,"3",60.5,1.62,"10-11am","2:00-3:00 PM","No suelo cenar","No suelo desayunar","Alimentos basados en pastas (tallarines)","Carnes, huevos o embutidos (Jamonada, hot dog, etc.), Verduras, frutas, Cereales (arroz, pan, cebada, avena, etc)",25,3.2,"Sí","Sí","Con frecuencia","3","4"
"180","M",19,"4","Ing. Mecánica",5,3.5,"3",67.5,1.69,"9-10am","2:00-3:00 PM","8:00-9:00 PM","Carnes, huevos o embutidos, Cereales (arroz, pan, cebada, avena, etc), Café o filtrantes","Alimentos basados en menestras","Cereales (arroz, pan, cebada, avena, etc), Lácteos (Yogurt, leche, queso)",20,2.1,"Sí","No","Nunca","3","2"
