AÑO,MES,CONCESION,ENTIDAD PRESTADORA,TIPO DE VEHICULO,CV(k),PESO,EJES,PASAJEROS
B,ENERO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,485.933,1077.17,2,10
C,NOVIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,471.761,1125.09,2,10
A,MARZO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,226.825,1137.59,2,10
B,JUNIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,18.977,1278.89,2,10
B,NOVIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,424.786,1304.87,2,10
C,NOVIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,430.815,1372.15,2,10
C,OCTUBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,600.386,1402.14,2,10
B,MARZO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,1.521,1425.63,2,10
C,JUNIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,272.122,1586.29,2,10
C,SETIEMBRE,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,548.03,1684.74,2,10
C,AGOSTO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,338.566,1704.73,2,10
C,ABRIL,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,372.971,1799.18,2,10
C,FEBRERO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,248.208,1063.11,2,11
B,NOVIEMBRE,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,271.636,1152.13,2,11
B,FEBRERO,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,395.366,1346.23,2,11
C,FEBRERO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,269.826,1346.82,2,11
B,NOVIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,392.148,1370.01,2,11
A,MAYO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,281.005,1373.44,2,11
B,ABRIL,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,2.878,1641.47,2,11
C,MAYO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,499.059,1670.77,2,11
B,JULIO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,31.261,1754.1,2,11
A,SETIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,200.165,1065.47,2,12
C,AGOSTO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,520.881,1250.86,2,12
B,DICIEMBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,460.738,1518.28,2,12
B,JUNIO,AUTOPISTA DEL SOL TRAMO TRUJILLO-SULLANA,CONCESIONARIA VIAL DEL SOL S.A.,LIVIANOS,304.169,1545.69,2,12
B,MAYO,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,110.733,1563.89,2,12
A,OCTUBRE,RED VIAL N 4: TRAMOS VIALES PATIVILCA - SANTA - TRUJILLO Y PUERTO SALAVERRY - EMPALME R01N,AUTOPISTA DEL NORTE S.A.C.,LIVIANOS,297.993,1587.87,2,12
C,ABRIL,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,385.566,1617.32,2,12
A,JUNIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,211.855,1624.39,2,12
A,NOVIEMBRE,RED VIAL N 6: TRAMO VIAL PUENTE PUCUSANA - CERRO AZUL - ICA,CONCESIONARIA VIAL DEL PERU S.A.,LIVIANOS,328.135,1730.17,2,12
A,JULIO,EJE MULTIMODAL DEL AMAZONAS NORTE:  TRAMO YURIMAGUAS - TARAPOTO - RIOJA - CORRAL QUEMADO - OLMOS - PIURA - PAITA,CONCESIONARIA IIRSA NORTE S.A.,LIVIANOS,241.707,1796.09,2,12
