Precio,Dormitorios,Antiguedad,Luminosidad,Tipo,Area_total_m2,Area_constr_m2,NroBanios,Estado de Inmueble,Distrito,Cocheras,Uso_profesional,Uso_comercial,Nro_pisos,Piscina,Amoblado
35,5+,3,NoEspecifica,Casa de Playa,192,195,3,NoEspecifica,Asia,3,NoEspecifica,NoEspecifica,3,NoEspecifica,0
130,3,3,NoEspecifica,Casa,300,220,4,NoEspecifica,MagdalenaDelMar,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
16.9,5+,2,Luminoso,Casa,200,240,3,Bueno,Comas,1,Si,Si,2,NoEspecifica,0
56,5+,5,NoEspecifica,Casa de Playa,265,300,5,NoEspecifica,Pucusana,2,NoEspecifica,NoEspecifica,2,1,1
46.5,4,2,NoEspecifica,Casa,300,271,4,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
38,5+,4,NoEspecifica,Casa de Playa,250,310,5,NoEspecifica,CerroAzul,2,NoEspecifica,NoEspecifica,2,1,1
65,4,3,NoEspecifica,Casa,410,220,2,A Remodelar,LaMolina,3,NoEspecifica,NoEspecifica,2,0,NoEspecifica
16.5,3,9,NoEspecifica,Casa de Playa en condominio,120,80,2,Muy bueno,Asia,2,NoEspecifica,NoEspecifica,1,0,0
8.5,4,1,Muy luminoso,Casa,156,156,2,Muy bueno,SanJuanDeMiraflores,0,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
49,5+,2,NoEspecifica,Casa,265,400,5,Muy bueno,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,2,0,NoEspecifica
90,4,7,NoEspecifica,Casa en condominio,480,300,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,NoEspecifica
74.8,4,4,Muy luminoso,Casa,211,367,3,Muy bueno,SanIsidro,2,Si,Si,4,NoEspecifica,0
33,4,5,NoEspecifica,Casa en condominio,1378,370,4,NoEspecifica,Pucusana,5,NoEspecifica,NoEspecifica,1,1,1
29,3,2,NoEspecifica,Casa,345,310,2,Bueno,LaMolina,1,No,No,2,NoEspecifica,1
63,4,3,NoEspecifica,Casa de Playa,160,243,3,NoEspecifica,Asia,1,NoEspecifica,NoEspecifica,3,1,NoEspecifica
125,4,5,Muy luminoso,Casa,1218,630,5,Excelente,Chorrillos,5,NoEspecifica,NoEspecifica,2,NoEspecifica,1
25,5+,5,NoEspecifica,Casa de Playa,500,350,5,Muy bueno,Asia,5,NoEspecifica,NoEspecifica,2,1,0
16.5,3,8,NoEspecifica,Casa de Playa,180,130,3,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,2,0,1
67.8,4,5,NoEspecifica,Casa,450,430,4,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
49,5+,1,NoEspecifica,Casa,150,300,4,A Remodelar,Barranco,1,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
140,4,2,NoEspecifica,Casa,603,776,3,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,0
75,4,1,NoEspecifica,Casa en condominio,474,375,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,3,1,0
53,4,5,NoEspecifica,Casa en condominio,300,300,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,3,0,0
185,5+,1,NoEspecifica,Casa,1003,571,5,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,1,NoEspecifica
28,5+,3,NoEspecifica,Casa,420,440,5,A Remodelar,VillaMariaDelTriunfo,5,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
75,5+,3,NoEspecifica,Casa,362,260,5,A Remodelar,Miraflores,0,NoEspecifica,NoEspecifica,5,NoEspecifica,0
53,4,4,NoEspecifica,Casa,250,380,5,Remodelado,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,4,1,NoEspecifica
20.5,3,5,NoEspecifica,Casa,62,130,2,NA,Miraflores,0,NoEspecifica,NoEspecifica,3,0,NoEspecifica
79,4,1,NoEspecifica,Casa,550,550,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,NoEspecifica
31.5,4,9,NoEspecifica,Casa de Playa,180,150,4,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,1,1,0
43,5+,1,NoEspecifica,Casa de Playa en condominio,200,200,5,Remodelado,Asia,2,NoEspecifica,NoEspecifica,3,1,1
110,3,1,NoEspecifica,Casa en condominio,380,350,4,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,1,0
50,4,4,NoEspecifica,Casa,337,238,3,Muy bueno,SantiagoDeSurco,4,NoEspecifica,NoEspecifica,2,0,NoEspecifica
25,5+,5,NoEspecifica,Casa,140,465,4,Bueno,VillaElSalvador,0,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
25,5+,2,NoEspecifica,Casa,156,289,5,Bueno,SanJuanDeMiraflores,0,NoEspecifica,NoEspecifica,3,0,NoEspecifica
41.4,4,9,NoEspecifica,Casa,187,255,4,Remodelado,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
41.4,4,9,NoEspecifica,Casa en condominio,187,255,4,Remodelado,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,0,0
36,3,3,NoEspecifica,Casa,160,360,3,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,3,0,NoEspecifica
70,5+,2,NoEspecifica,Casa,1000,474,3,NA,Chorrillos,4,NoEspecifica,NoEspecifica,2,1,0
62,4,2,NoEspecifica,Casa,740,301,3,Bueno,Chorrillos,2,NoEspecifica,NoEspecifica,1,0,0
60,4,1,NoEspecifica,Casa de Playa,170,170,4,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,3,1,0
120,4,4,NoEspecifica,Casa,427,429,5,Bueno,SanIsidro,2,NoEspecifica,NoEspecifica,3,0,NoEspecifica
142.1067,5+,5,NoEspecifica,Casa,498,460,3,A Remodelar,Miraflores,2,NoEspecifica,NoEspecifica,3,0,NoEspecifica
45,5+,7,NoEspecifica,Casa de Playa,250,285,4,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,2,1,NoEspecifica
48,5+,8,NoEspecifica,Casa de Playa,160,320,4,NoEspecifica,Asia,0,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
75,3,3,NoEspecifica,Casa en condominio,396,432,3,Muy bueno,SantiagoDeSurco,4,NoEspecifica,NoEspecifica,2,1,0
89,3,3,NoEspecifica,Casa,700,312,4,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,1,NoEspecifica
110,4,1,NoEspecifica,Casa en condominio,700,350,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,0,NoEspecifica
13.5,4,2,NoEspecifica,Casa en quinta,61,142,2,Muy bueno,Brenia,0,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
35,5+,2,NoEspecifica,Casa,329,384,4,Muy bueno,LaMolina,1,NoEspecifica,NoEspecifica,2,1,0
72.2,5+,3,NoEspecifica,Casa,361,324,3,A Remodelar,SanIsidro,4,NoEspecifica,NoEspecifica,3,0,0
67,4,1,NoEspecifica,Casa en condominio,339,346,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,3,1,NoEspecifica
52,3,2,NoEspecifica,Casa en condominio,300,300,3,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
17,5+,5,NoEspecifica,Casa,160,160,3,Muy bueno,SanMartinDePorres,1,NoEspecifica,NoEspecifica,3,0,NoEspecifica
78,4,3,NoEspecifica,Casa,1000,250,4,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
78,4,3,NoEspecifica,Casa,1000,250,4,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
7.7,2,2,NoEspecifica,Casa en quinta,35,70,1,Bueno,SanMiguel,0,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
78,4,3,NoEspecifica,Casa,1000,250,4,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
78,4,3,NoEspecifica,Casa,1000,250,4,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
35,3,2,NoEspecifica,Casa,173,185,2,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
78,5+,2,NoEspecifica,Casa,1000,350,4,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
120,3,1,NoEspecifica,Casa en condominio,570,400,3,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
60,4,2,NoEspecifica,Casa,295,300,5,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,3,0,0
93,5+,5,NoEspecifica,Casa de Playa,300,600,2,NoEspecifica,CercadoDeLima,2,NoEspecifica,NoEspecifica,3,1,1
93,5+,5,NoEspecifica,Casa de Playa,300,600,2,NoEspecifica,CercadoDeLima,2,NoEspecifica,NoEspecifica,3,1,1
93,5+,5,NoEspecifica,Casa de Playa,300,600,2,NoEspecifica,CercadoDeLima,2,NoEspecifica,NoEspecifica,3,1,1
27,4,2,NoEspecifica,Casa,166,166,2,NoEspecifica,Chorrillos,2,NoEspecifica,NoEspecifica,1,NoEspecifica,NoEspecifica
93,5+,5,NoEspecifica,Casa de Playa,300,600,2,NoEspecifica,CercadoDeLima,2,NoEspecifica,NoEspecifica,3,1,1
93,5+,5,NoEspecifica,Casa de Playa,300,600,2,NoEspecifica,CercadoDeLima,2,NoEspecifica,NoEspecifica,3,1,1
33,4,3,NoEspecifica,Casa,160,235,2,A Remodelar,LaMolina,1,NoEspecifica,NoEspecifica,3,0,NoEspecifica
91,5+,3,NoEspecifica,Casa,258,343,4,NoEspecifica,Surquillo,0,NoEspecifica,NoEspecifica,3,1,NoEspecifica
115,4,1,NoEspecifica,Casa en condominio,435,484,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
115,5+,3,NoEspecifica,Casa de Playa,657,464,5,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,2,1,1
85,4,3,NoEspecifica,Casa,580,425,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
19,5+,1,NoEspecifica,Casa de Playa,120,190,4,Muy bueno,Lurin,2,NoEspecifica,NoEspecifica,3,0,NoEspecifica
160,4,5,NoEspecifica,Casa,511,390,3,NoEspecifica,SanIsidro,4,NoEspecifica,NoEspecifica,2,0,NoEspecifica
35,5+,3,NoEspecifica,Casa,168,383,3,Bueno,Chorrillos,0,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
160,3,2,NoEspecifica,Casa,500,500,4,Bueno,SanIsidro,3,NoEspecifica,NoEspecifica,2,0,NoEspecifica
88.704,4,5,NoEspecifica,Casa,396,396,4,A Remodelar,SanIsidro,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
115,3,2,NoEspecifica,Casa,400,470,3,Bueno,SantiagoDeSurco,3,NoEspecifica,NoEspecifica,2,0,0
75,5+,6,NoEspecifica,Casa,358,385,5,Bueno,Miraflores,1,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
28.5,3,1,NoEspecifica,Casa de Playa,120,180,4,Muy bueno,PuntaHermosa,2,NoEspecifica,NoEspecifica,3,0,0
95,5+,1,NoEspecifica,Casa de Playa,250,350,5,Muy bueno,PuntaHermosa,2,NoEspecifica,NoEspecifica,3,1,1
28.2,5+,2,NoEspecifica,Casa,96,244,2,Remodelado,Chorrillos,1,NoEspecifica,NoEspecifica,3,0,NoEspecifica
18.9,1,4,NoEspecifica,Casa,93,90,2,Bueno,Miraflores,0,NoEspecifica,NoEspecifica,1,0,NoEspecifica
178,5+,4,NoEspecifica,Casa,552,1656,5,NoEspecifica,Barranco,5,NoEspecifica,NoEspecifica,4,0,1
49,5+,2,NoEspecifica,Casa,440,280,3,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,1,0
115,5+,3,Muy luminoso,Casa,480,220,5,Muy bueno,SanBorja,4,Si,Si,2,NoEspecifica,0
78,4,1,NoEspecifica,Casa en condominio,405,350,4,Bueno,SantiagoDeSurco,3,NoEspecifica,NoEspecifica,2,0,NoEspecifica
55,3,1,NoEspecifica,Casa,440,330,3,Muy bueno,LaMolina,0,NoEspecifica,NoEspecifica,2,1,0
29.5,4,8,NoEspecifica,Casa de Playa en condominio,200,160,4,Muy bueno,SanAntonio,0,NoEspecifica,NoEspecifica,2,1,0
65,5+,9,NoEspecifica,Casa en condominio,300,310,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,3,0,0
54,4,1,NoEspecifica,Casa en condominio,323,296,4,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
55,4,1,NoEspecifica,Casa de Playa,298,298,3,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,3,0,0
29.9,4,3,Luminoso,Casa de campo,320,200,3,Excelente,Lurigancho,0,NoEspecifica,NoEspecifica,3,0,0
62,4,3,NoEspecifica,Casa,203,300,3,A Remodelar,Miraflores,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
79,4,7,NoEspecifica,Casa,520,300,4,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
26,4,5,NoEspecifica,Casa en condominio,87,216,3,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
22,3,1,NoEspecifica,Casa de Playa,116,220,3,Muy bueno,PuntaHermosa,2,NoEspecifica,NoEspecifica,3,0,1
135,4,3,NoEspecifica,Casa,937,440,5,Bueno,SantiagoDeSurco,4,NoEspecifica,NoEspecifica,1,1,NoEspecifica
41,3,1,NoEspecifica,Casa en condominio,300,280,3,Muy bueno,LaMolina,3,NoEspecifica,NoEspecifica,2,0,0
21.5,4,1,NoEspecifica,Casa de Playa,267,160,3,NoEspecifica,Pucusana,4,NoEspecifica,NoEspecifica,2,1,1
79.5,3,2,NoEspecifica,Casa,396,246,4,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
54.5,4,4,NoEspecifica,Casa,212,450,3,Muy bueno,Miraflores,2,NoEspecifica,NoEspecifica,2,0,0
28.5,5+,1,NoEspecifica,Casa de Playa,274,181,5,NoEspecifica,Asia,1,NoEspecifica,NoEspecifica,2,1,NoEspecifica
65,4,4,NoEspecifica,Casa,106,187,2,NoEspecifica,SanBorja,0,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
16,3,3,Muy luminoso,Casa de Playa en condominio,190,110,2,Excelente,CerroAzul,1,NoEspecifica,NoEspecifica,2,1,1
53,3,1,NoEspecifica,Casa,250,235,3,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,NoEspecifica
32,5+,3,NoEspecifica,Casa,160,230,4,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,0,1
67.5,5+,3,NoEspecifica,Casa,340,467,5,A Remodelar,SanBorja,2,NoEspecifica,NoEspecifica,3,0,NoEspecifica
83,4,2,NoEspecifica,Casa,1320,500,5,Muy bueno,LaMolina,4,NoEspecifica,NoEspecifica,2,1,0
27,4,2,NoEspecifica,Casa de Playa,144,170,3,Remodelado,Asia,2,NoEspecifica,NoEspecifica,3,1,0
39,3,3,Muy luminoso,Casa de Playa,1300,215,2,Muy bueno,Asia,0,NoEspecifica,NoEspecifica,1,NoEspecifica,0
74,4,4,NoEspecifica,Casa,351,300,3,Bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
25.5,3,3,NoEspecifica,Casa,148,120,2,Bueno,LaMolina,1,NoEspecifica,NoEspecifica,2,0,NoEspecifica
18.5,3,4,NoEspecifica,Casa de Playa en condominio,114,135,2,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,2,1,1
68,3,2,NoEspecifica,Casa,384,285,4,Bueno,SanIsidro,4,NoEspecifica,NoEspecifica,2,0,0
159.4,4,2,NoEspecifica,Casa,797,493,5,Remodelado,SanBorja,3,NoEspecifica,NoEspecifica,2,0,0
43,4,2,NoEspecifica,Casa,300,250,3,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,3,1,NoEspecifica
22,5+,3,NoEspecifica,Casa de Playa,220,200,4,NoEspecifica,Lurin,3,NoEspecifica,NoEspecifica,2,1,NoEspecifica
108,3,4,NoEspecifica,Casa,500,450,3,NoEspecifica,LaMolina,0,NoEspecifica,NoEspecifica,2,1,0
99.8,5+,1,NoEspecifica,Casa,1185,500,5,NoEspecifica,Chorrillos,4,NoEspecifica,NoEspecifica,2,1,0
78,4,3,NoEspecifica,Casa,400,495,5,A Remodelar,SantiagoDeSurco,3,NoEspecifica,NoEspecifica,3,1,0
98,3,4,NoEspecifica,Casa,490,243,2,Muy bueno,SanIsidro,2,NoEspecifica,NoEspecifica,3,0,1
63,4,6,NoEspecifica,Casa,320,350,5,NoEspecifica,Miraflores,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
19,3,6,NoEspecifica,Casa de Playa en condominio,125,175,4,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,3,0,1
29,5+,8,NoEspecifica,Casa de Playa en condominio,480,285,5,Muy bueno,Asia,4,NoEspecifica,NoEspecifica,2,1,1
45,3,2,NoEspecifica,Casa,375,220,3,A Remodelar,LaMolina,2,NoEspecifica,NoEspecifica,1,0,0
95,3,3,NoEspecifica,Casa,650,434,5,Remodelado,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
38,3,3,NoEspecifica,Casa,160,261,4,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,3,0,NoEspecifica
43,5+,3,Luminoso,Casa,200,320,4,Muy bueno,SanMiguel,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
50,4,2,NoEspecifica,Casa,300,270,5,Bueno,SantiagoDeSurco,3,NoEspecifica,NoEspecifica,2,0,NoEspecifica
35.5,5+,1,NoEspecifica,Casa de Playa,180,180,4,Muy bueno,Asia,3,NoEspecifica,NoEspecifica,2,1,1
85,4,1,NoEspecifica,Casa,322,353,4,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,0
45,5+,1,NoEspecifica,Casa de Playa en condominio,192,392,5,NoEspecifica,CerroAzul,0,NoEspecifica,NoEspecifica,4,1,0
17.9,3,5,NoEspecifica,Casa de Playa,110,110,3,Muy bueno,CerroAzul,1,NoEspecifica,NoEspecifica,3,0,NoEspecifica
25,3,6,NoEspecifica,Casa de Playa,230,200,4,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,2,0,0
16,3,5,NoEspecifica,Casa de Playa,125,184,2,Muy bueno,Asia,2,NoEspecifica,NoEspecifica,2,0,1
46.5,4,3,NoEspecifica,Casa,316,210,3,A Remodelar,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
56.7,3,4,NoEspecifica,Casa,231,246,3,NoEspecifica,Miraflores,3,NoEspecifica,NoEspecifica,3,0,NoEspecifica
45,4,9,NoEspecifica,Casa de Playa,159,300,4,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,3,1,0
93,4,1,NoEspecifica,Casa en condominio,665,401,5,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,1,NoEspecifica
66,4,2,NoEspecifica,Casa de Playa,144,250,4,Muy bueno,Asia,0,NoEspecifica,NoEspecifica,2,0,1
76,4,1,NoEspecifica,Casa en condominio,529,363,5,Muy bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
64,4,5,NoEspecifica,Casa en condominio,335,325,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,0,0
67,4,2,NoEspecifica,Casa en condominio,364,365,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,3,1,0
45,4,1,NoEspecifica,Casa,420,240,3,A Remodelar,LaMolina,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
145,4,1,NoEspecifica,Casa,1000,500,5,Muy bueno,LaMolina,4,NoEspecifica,NoEspecifica,2,1,NoEspecifica
32.5,5+,1,NoEspecifica,Casa,200,568,5,Bueno,Comas,0,NoEspecifica,NoEspecifica,3,NoEspecifica,1
89,3,4,NoEspecifica,Casa,1000,260,3,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,1,0,0
65,3,2,NoEspecifica,Casa,396,396,3,Bueno,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,2,0,NoEspecifica
15.8,3,7,NoEspecifica,Casa de Playa,166,166,3,Muy bueno,Asia,2,NoEspecifica,NoEspecifica,2,1,1
46.5,3,3,NoEspecifica,Casa en condominio,185,275,4,NoEspecifica,LaMolina,1,NoEspecifica,NoEspecifica,1,0,0
15.5,5+,1,NoEspecifica,Casa,120,260,4,Muy bueno,Comas,1,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
125,4,1,NoEspecifica,Casa,1200,550,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
69,3,1,NoEspecifica,Casa,639,200,2,A Remodelar,LaMolina,3,NoEspecifica,NoEspecifica,1,0,NoEspecifica
170,3,1,NoEspecifica,Casa,1300,800,4,A Remodelar,SantiagoDeSurco,5,NoEspecifica,NoEspecifica,2,1,0
155,3,3,NoEspecifica,Casa de campo,1000,1000,3,Muy bueno,Cieneguilla,0,NoEspecifica,NoEspecifica,2,0,NoEspecifica
32,5+,2,Muy luminoso,Casa,373,373,4,Muy bueno,SantiagoDeSurco,0,NoEspecifica,NoEspecifica,4,NoEspecifica,NoEspecifica
67,5+,4,NoEspecifica,Casa de Playa,570,392,5,NoEspecifica,PuntaNegra,2,NoEspecifica,NoEspecifica,2,1,1
18.5,3,2,NoEspecifica,Casa,90,90,3,Remodelado,Miraflores,0,NoEspecifica,NoEspecifica,3,NoEspecifica,1
49,4,1,NoEspecifica,Casa en condominio,300,370,3,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
110,4,1,NoEspecifica,Casa,400,400,5,Muy bueno,Miraflores,3,NoEspecifica,NoEspecifica,2,0,0
100,4,4,NoEspecifica,Casa,211,550,5,NoEspecifica,Miraflores,2,NoEspecifica,NoEspecifica,3,0,1
56.8,4,5,NoEspecifica,Casa,231,250,3,Bueno,Miraflores,3,NoEspecifica,NoEspecifica,2,0,0
29.9,5+,4,NoEspecifica,Casa,638,350,3,Bueno,Chaclacayo,4,NoEspecifica,NoEspecifica,2,0,NoEspecifica
99,4,3,NoEspecifica,Casa,681,464,4,NoEspecifica,SantiagoDeSurco,1,NoEspecifica,NoEspecifica,1,0,0
58,5+,3,Muy luminoso,Casa de Playa en condominio,168,168,5,Excelente,Asia,2,NoEspecifica,NoEspecifica,3,NoEspecifica,0
29.8,5+,1,NoEspecifica,Casa,155,280,4,Remodelado,LosOlivos,1,NoEspecifica,NoEspecifica,3,0,NoEspecifica
29.5,3,1,NoEspecifica,Casa de Playa,128,219,2,NoEspecifica,SanAntonio,2,NoEspecifica,NoEspecifica,2,1,0
30,5+,3,NoEspecifica,Casa,340,300,5,Remodelado,Chorrillos,2,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
75,4,2,NoEspecifica,Casa,800,383,4,Bueno,LaMolina,2,NoEspecifica,NoEspecifica,2,1,NoEspecifica
75,5+,6,NoEspecifica,Casa,613,380,5,Bueno,LaMolina,3,NoEspecifica,NoEspecifica,2,0,0
67,5+,1,NoEspecifica,Casa en condominio,339,346,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,1,0
67,5+,1,NoEspecifica,Casa en condominio,331,354,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,2,1,0
67,5+,1,NoEspecifica,Casa en condominio,324,354,5,NoEspecifica,LaMolina,3,NoEspecifica,NoEspecifica,3,1,0
78,3,3,NoEspecifica,Casa,391,341,3,Muy bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,1,0
22,5+,3,NoEspecifica,Casa de Playa,220,200,4,NoEspecifica,Lurin,3,NoEspecifica,NoEspecifica,2,1,NoEspecifica
94,4,3,NoEspecifica,Casa,301,290,4,A Remodelar,SanIsidro,1,NoEspecifica,NoEspecifica,3,NoEspecifica,NoEspecifica
110,4,3,NoEspecifica,Casa,448,355,3,A Remodelar,SanIsidro,3,NoEspecifica,NoEspecifica,2,0,0
37.5,3,3,NoEspecifica,Casa en condominio,213,213,3,Bueno,Chorrillos,1,NoEspecifica,NoEspecifica,3,0,0
21,4,4,NoEspecifica,Casa,140,169,2,NA,SanMiguel,1,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
37.6,5+,2,NoEspecifica,Casa,120,242,4,Bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,0,NoEspecifica
41,5+,5,NoEspecifica,Casa,382,100,5,Bueno,Chorrillos,0,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
59,4,8,NoEspecifica,Casa,200,200,4,Bueno,Surquillo,1,NoEspecifica,NoEspecifica,4,0,NoEspecifica
93.5,5+,3,Muy luminoso,Casa,850,450,5,Excelente,LaMolina,3,NoEspecifica,NoEspecifica,3,1,0
18.6,5+,2,NoEspecifica,Casa,274,235,5,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,3,1,0
52.3,4,4,NoEspecifica,Casa,212,215,1,A Remodelar,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,0,NoEspecifica
32,3,3,NoEspecifica,Casa,170,200,2,NoEspecifica,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
72.5,3,1,NoEspecifica,Casa,325,385,2,NoEspecifica,Miraflores,2,NoEspecifica,NoEspecifica,3,0,1
193.2,3,2,NoEspecifica,Casa,551,350,4,A Remodelar,SanIsidro,5,NoEspecifica,NoEspecifica,1,0,0
46,3,4,NoEspecifica,Casa,155,218,2,A Remodelar,Lince,2,NoEspecifica,NoEspecifica,3,0,0
45,5+,1,NoEspecifica,Casa,213,294,4,Muy bueno,SantiagoDeSurco,2,NoEspecifica,NoEspecifica,3,0,1
29.8,4,4,NoEspecifica,Casa de Playa,240,220,4,NoEspecifica,Asia,2,NoEspecifica,NoEspecifica,2,1,1
36,5+,1,NoEspecifica,Casa de Playa,200,190,4,NoEspecifica,Mala,2,NoEspecifica,NoEspecifica,1,1,1
31,4,2,NoEspecifica,Casa,196,280,2,NoEspecifica,Ate,0,NoEspecifica,NoEspecifica,2,NoEspecifica,NoEspecifica
39,4,1,Muy luminoso,Casa de Playa en condominio,220,310,5,Excelente,Asia,2,NoEspecifica,NoEspecifica,3,1,1
79,3,2,NoEspecifica,Casa,462,305,4,Bueno,LaMolina,3,NoEspecifica,NoEspecifica,2,1,0
150,4,3,NoEspecifica,Casa,1138,400,5,NoEspecifica,LaMolina,4,NoEspecifica,NoEspecifica,1,1,0
110,5+,1,NoEspecifica,Casa,778,425,5,NoEspecifica,LaMolina,2,NoEspecifica,NoEspecifica,2,1,0
78,3,4,NoEspecifica,Casa,200,280,3,Bueno,Miraflores,3,NoEspecifica,NoEspecifica,3,0,0
90,5+,4,NoEspecifica,Casa,1320,334,5,Muy bueno,Cieneguilla,5,NoEspecifica,NoEspecifica,2,1,1
29.5,4,1,NoEspecifica,Casa de Playa,200,140,4,Bueno,SanAntonio,2,NoEspecifica,NoEspecifica,2,1,0
35.5,1,6,NoEspecifica,Casa,194,194,1,NoEspecifica,CercadoDeLima,0,NoEspecifica,NoEspecifica,2,0,NoEspecifica
140,3,9,NoEspecifica,Casa en condominio,700,428,4,Muy bueno,LaMolina,3,NoEspecifica,NoEspecifica,2,0,NoEspecifica
