C9P901,C9P902,C9P903,C9P904,C9P908,C9P914,C9P917,C9P918,C9P920,C9P921,C9P922,C9P923,C9P924,C9P925,C9P926
EDUCACION INICIAL,10,4,1,117,4,Sí,Sí,76,236,998,998,0,0,Mensual
EDUCACION PARA EL DESARROLLO,10,4,1,1,0,No,Sí,76,236,998,998,0,0,Mensual
ESCULTURA,10,4,1,63,1,No,Sí,76,236,998,998,0,0,Mensual
FILOSOFIA,10,4,1,102,1,No,Sí,76,236,998,998,0,0,Mensual
GEOGRAFIA Y MEDIO AMBIENTE,10,4,1,131,2,No,Sí,76,236,998,998,0,0,Mensual
GRABADO,10,4,1,25,5,No,Sí,76,236,998,998,0,0,Mensual
DISEO GRAFICO,10,4,1,250,11,No,Sí,76,236,998,998,0,0,Mensual
EDUCACION ARTISTICA,10,4,1,1,0,No,Sí,76,236,998,998,0,0,Mensual
FISICA,10,4,1,62,1,No,Sí,76,236,998,998,0,0,Mensual
HUMANIDADES,10,4,1,25,1,No,Sí,76,236,998,998,0,0,Mensual
INGIENERIA CIVIL,10,4,1,1739,41,Sí,Sí,76,236,998,998,0,0,Mensual
INGIENERIA DE TELECOMUNICACIONES,10,4,1,178,14,No,Sí,76,236,998,998,0,0,Mensual
INGIENERIA EN MINAS,10,4,1,403,20,No,Sí,76,236,998,998,0,0,Mensual
INGIENERIA ELECTRONICA,10,4,1,1,46,Sí,Sí,76,236,998,998,0,0,Mensual
INGIENERIA GEOLOGICA,10,4,1,2455,95,No,Sí,76,236,998,998,0,0,Mensual
INGIENERIA INDUSTRIAL,10,4,1,691,28,Sí,Sí,76,236,998,998,0,0,Mensual
INGIENERIA INFORMATICA,10,4,1,639,36,Sí,Sí,76,236,998,998,0,0,Mensual
INGIENERIA MECANICA,10,4,1,648,7,Sí,Sí,76,236,998,998,0,0,Mensual
INGIENERIA MECATRONICA,10,4,1,207,8,No,Sí,76,236,998,998,0,0,Mensual
MATEMATICA,10,4,1,275,0,No,Sí,76,236,998,998,0,0,Mensual
PERIODISMO,10,4,1,137,4,No,Sí,76,236,998,998,0,0,Mensual
PINTURA,10,4,1,957,41,No,Sí,76,236,998,998,0,0,Mensual
PUBLICIDAD,10,4,1,67,0,No,Sí,76,236,998,998,0,0,Mensual
SOCIOLOGIA,10,4,1,231,0,No,Sí,76,236,998,998,0,0,Mensual
INGENIERIA DE SISTEMAS E INFORMATICA,10,5,68,325,54,No,No,0,0,0,0,240,1395,Mensual
AGRONOMIA,10,5,79,328,73,No,No,0,0,0,0,240,1395,Mensual
MEDICINA VETERINARIA Y ZOOTECNIA,10,5,74,140,0,No,No,0,0,0,0,240,1395,Mensual
INGENIERIA AGROINDUSTRIAL,10,5,71,359,58,No,No,0,0,0,0,240,1395,Mensual
INGENIERIA CIVIL,10,5,72,391,46,No,No,0,0,0,0,240,1395,Mensual
ARQUITECTURA Y URBANISMO,10,5,66,286,24,No,No,0,0,0,0,240,1395,Mensual
OBSTETRICIA,10,5,62,256,27,No,No,0,0,0,0,240,1395,Mensual
ENFERMERIA,10,5,50,221,28,No,No,0,0,0,0,240,1395,Mensual
MEDICINA HUMANA,13,5,54,135,0,No,No,0,0,0,0,240,1395,Mensual
INGENIERIA AMBIENTAL,10,5,78,283,53,No,No,0,0,0,0,240,1395,Mensual
INGENIERIA SANITARIA,10,5,78,242,14,No,No,0,0,0,0,240,1395,Mensual
CONTABILIDAD,10,5,73,444,62,No,No,0,0,0,0,240,1395,Mensual
IDIOMAS,10,5,73,184,25,No,No,0,0,0,0,240,1395,Mensual
ADMINISTRACION,10,5,74,299,48,No,No,0,0,0,0,240,1395,Mensual
ECONOMIA,10,5,73,301,55,No,No,0,0,0,0,240,1395,Mensual
ADMINISTRACION EN TURISMO,10,5,78,201,59,No,No,0,0,0,0,240,1395,Mensual
DERECHO,12,5,87,79,0,No,No,0,0,0,0,240,1395,Mensual
AGRONOMIA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
BIOLOGIA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
CIENCIAS DE LA NUTRICION,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA PESQUERA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
ENFERMERIA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
MEDICINA,14,6,1,1,0,Sí,No,0,0,0,0,50,1,Anual
ARQUITECTURA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
FISICA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
MATEMATICAS,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
QUIMICA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA GEOFISICA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA GEOLOGICA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA DE MINAS,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA ELECTRONICA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA INDUSTRIAL,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA DE SISTEMAS,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA ELECTRICA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA MECANICA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
CIENCIAS DE LA COMPUTACION,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA EN TELECOMUNICACIONES,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA CIVIL,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA METALURGICA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA QUIMICA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA INDUSTRIAS ALIMENTARIAS,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA DE MATERIALES,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA AMBIENTAL,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
INGENIERIA SANITARIA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
EDUCACION,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
ECONOMIA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
DERECHO,12,4,1,1,0,No,No,0,0,0,0,50,1,Anual
TURISMO Y HOTELERIA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
HISTORIA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
SOCIOLOGIA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
TRABAJO SOCIAL,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
ANTROPOLOGIA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
FILOSOFIA,10,6,1,1,0,No,No,0,0,0,0,50,1,Anual
LITERATURA,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
ARTES,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
ADMINISTRACION,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
MARKETING,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
GESTION,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
CONTABILIDAD,10,6,1,1,0,No,No,0,0,0,0,50,1,Anual
FINANZAS,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
RELACIONES INDUSTRIALES,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
PSICOLOGIA,12,6,1,1,0,No,No,0,0,0,0,50,1,Anual
CIENCIAS DE LA COMUNICACION,10,4,1,1,0,No,No,0,0,0,0,50,1,Anual
ADMINISTRACION,10,4,51,9190,589,No,Sí,300,350,1,600,0,0,Mensual
ADMINISTRACION EN TURISMO Y HOTELERIA,10,4,51,2721,221,No,Sí,300,350,1,600,0,0,Mensual
ARQUITECTURA,10,4,49,3177,108,No,Sí,300,350,1,600,0,0,Mensual
ARTE Y DISEO GRAFICO EMPRESARIAL,10,4,45,748,0,No,Sí,350,350,1,600,0,0,Mensual
CIENCIAS DE LA COMUNICACION,10,4,51,2647,153,No,Sí,350,300,1,600,0,0,Mensual
CIENCIAS DEL DEPORTE,10,4,51,44,0,No,Sí,100,100,1,320,0,0,Mensual
CONTABILIDAD,10,4,51,5843,466,No,Sí,300,350,1,600,0,0,Mensual
DERECHO,12,4,61,6761,531,No,Sí,300,350,1,600,0,0,Mensual
ECONOMIA,10,4,45,265,0,No,Sí,320,350,1,600,0,0,Mensual
EDUCACION EN IDIOMAS,10,4,47,60,42,No,Sí,100,320,1,320,0,0,Mensual
EDUCACION INICIAL,10,4,51,1360,140,No,Sí,100,350,1,600,0,0,Mensual
EDUCACION PRIMARIA,10,4,51,586,134,Sí,Sí,100,350,1,600,0,0,Mensual
ENFERMERIA,10,4,50,1914,143,No,Sí,350,350,1,600,0,0,Mensual
ESTOMATOLOGIA,10,4,51,318,28,No,Sí,350,350,1,700,0,0,Mensual
INGENIERIA AGROINDUSTRIAL,10,4,51,1,0,No,Sí,350,350,1,450,0,0,Mensual
INGENIERIA AGROINDUTRIAL Y COMERCIO EXTERIOR,10,1,1,308,36,No,Sí,350,350,1,450,0,0,Mensual
INGENIERIA AGRONOMA,10,4,25,48,0,No,Sí,320,350,1,450,0,0,Mensual
INGENIERIA AMBIENTAL,10,4,51,2379,97,No,Sí,300,350,1,600,0,0,Mensual
INGENIERIA CIVIL,10,4,51,5093,48,No,Sí,300,350,1,600,0,0,Mensual
INGENIERIA DE SISTEMAS,10,4,51,4467,251,No,Sí,300,350,1,600,0,0,Mensual
INGENIERIA EMPRESARIAL,10,4,51,509,0,No,Sí,320,350,1,600,0,0,Mensual
INGENIERIA INDUSTRIAL,10,4,51,5360,120,No,Sí,350,350,1,600,0,0,Mensual
INGENIERIA MECANICA ELECTRICA,10,4,51,373,0,No,Sí,350,350,1,450,0,0,Mensual
INGENIERIA DE MINAS,10,4,51,136,0,No,Sí,320,350,1,400,0,0,Mensual
MARKETING Y DIRECCION DE EMPRESAS,10,4,51,1175,64,No,Sí,300,350,1,600,0,0,Mensual
MEIDICINA,14,4,71,1237,138,No,Sí,350,350,1,1250,0,0,Mensual
NEGOCIOS INTERNACIONALES,10,4,51,3172,182,No,Sí,320,350,1,600,0,0,Mensual
NUTRICION,10,4,51,328,21,No,Sí,100,100,1,400,0,0,Mensual
PSICOLOGIA,11,4,56,5338,462,Sí,Sí,300,350,1,600,0,0,Mensual
OBSTETRICIA,10,4,1,156,35,No,Sí,350,350,1,400,0,0,Mensual
PSICOLOGIA ORGANIZACIONAL,11,4,48,68,0,No,Sí,320,350,1,380,0,0,Mensual
TRADUCCION E INTERPRETACION,10,4,47,859,34,No,Sí,100,350,1,600,0,0,Mensual
AGRONOMIA,10,4,63,60,44,No,No,0,0,0,0,30,1,Semestral
DERECHO Y CIENCIAS POLITICAS,12,4,70,65,35,No,No,0,0,0,0,30,1,Semestral
ADMINISTRACION,10,4,70,80,39,No,No,0,0,0,0,30,1,Semestral
TURISMO,10,4,70,70,10,No,No,0,0,0,0,30,1,Semestral
ARQUEOLOGIA,10,4,69,27,10,No,No,0,0,0,0,30,1,Semestral
CIENCIAS DE LA COMUNICACION,10,4,67,55,4,No,No,0,0,0,0,30,1,Semestral
LENGUA EXTRANJERA INGLES,10,4,62,32,0,No,No,0,0,0,0,30,1,Semestral
COMUNICACION LINGUISTICA Y LITERATURA,10,4,64,45,148,No,No,0,0,0,0,30,1,Semestral
PRIMARIA Y EDUCACION BILINGUE INTERCULTURAL,10,4,64,29,0,No,No,0,0,0,0,30,1,Semestral
MATEMATICA E INFORMATICA,10,4,60,30,0,No,No,0,0,0,0,30,1,Semestral
CONTABILIDAD,10,4,63,70,54,No,No,0,0,0,0,30,1,Semestral
ECONOMIA,10,4,61,70,20,No,No,0,0,0,0,30,1,Semestral
ENFERMERIA,10,4,51,20,47,No,No,0,0,0,0,30,1,Semestral
OBSTETRICIA,10,4,60,20,33,No,No,0,0,0,0,30,1,Semestral
ESTADISTICA E INFORMATICA,10,4,64,43,6,No,No,0,0,0,0,30,1,Semestral
INDUSTRIAS ALIMENTARIAS,10,4,70,54,10,No,No,0,0,0,0,30,1,Semestral
INGENIERIA INDUSTRIAL,10,4,60,59,0,No,No,0,0,0,0,30,1,Semestral
INGENIERIA AGRICOLA,10,4,58,60,18,No,No,0,0,0,0,30,1,Semestral
INGENIERIA AMBIENTAL,10,4,70,45,25,No,No,0,0,0,0,30,1,Semestral
INGENIERIA SANITARIA,10,4,70,40,13,No,No,0,0,0,0,30,1,Semestral
INGENIERIA CIVIL,10,4,70,80,37,No,No,0,0,0,0,30,1,Semestral
INGENIERIA DE MINAS,10,4,70,57,22,No,No,0,0,0,0,30,1,Semestral
INGENIERIA DE SISTEMAS E INFORMATICA,10,4,70,68,16,No,No,0,0,0,0,30,1,Semestral
MATEMATICA,10,4,55,59,2,No,No,0,0,0,0,30,1,Semestral
OBSTETRICIA,12,4,59,76,26,No,No,0,0,0,0,80,80,Semestral
ECONOMIA,10,5,59,45,0,No,No,0,0,0,0,80,80,Semestral
CIVIL HUANCAVELICA,10,4,70,81,15,No,No,0,0,0,0,80,80,Semestral
AMBIENTAL Y SANITARIA,10,5,64,81,0,No,No,0,0,0,0,80,80,Semestral
ZOOTECNIA,10,5,54,27,52,No,No,0,0,0,0,80,80,Semestral
ADMINISTRACION,10,4,70,42,75,No,No,0,0,0,0,80,80,Semestral
CIVIL LIRCAY,10,3,50,106,17,No,No,0,0,0,0,80,80,Semestral
EDUCACION ESPECIAL,10,4,65,5,9,No,No,0,0,0,0,80,80,Semestral
EDUCACION INICIAL,10,6,63,36,16,No,No,0,0,0,0,80,80,Semestral
EDUCACION SECUNDARIA ESPECIALIDAD CIENCIAS SOCIALES Y DESARROLLO RURAL,10,4,59,53,12,No,No,0,0,0,0,80,80,Semestral
EDUCACION SECUNDARIA ESPECIALIDAD MATEMATICA COMPUTACION  E INFORMATICA,10,4,59,28,4,No,No,0,0,0,0,80,80,Semestral
INGENIERIA DE MINAS,10,5,69,96,6,No,No,0,0,0,0,80,80,Semestral
INGENIERIA ELECTRONICA,10,4,63,51,22,No,No,0,0,0,0,80,80,Semestral
INGENIERIA DE SISTEMAS,10,4,64,40,28,No,No,0,0,0,0,80,80,Semestral
INGENIERIA AGRO INDUSTRIAL,10,4,82,40,34,No,No,0,0,0,0,80,80,Semestral
DERECHO Y CIENCIAS POLITICAS,12,4,84,122,86,No,No,0,0,0,0,80,80,Semestral
ENFERMERIA,10,4,53,94,46,No,No,0,0,0,0,80,80,Semestral
CONTABILIDAD,10,4,71,71,81,No,No,0,0,0,0,80,80,Semestral
ARQUITECTURA,10,4,50,47,1,Sí,No,0,0,0,0,0,0,No aplica
INGENIERIA CIVIL,10,4,62,112,1,Sí,No,0,0,0,0,0,0,No aplica
INGENIERIA ECONOMICA ESTADISTICA Y CIENCIAS SOCIALES,10,4,73,73,1,No,No,0,0,0,0,0,0,No aplica
INGENIERIA GEOLOGICA MINERA Y METALURGICA,10,4,56,67,1,No,No,0,0,0,0,0,0,No aplica
INGENIERIA INDUSTRIAL Y DE SISTEMAS,10,4,69,97,1,No,No,0,0,0,0,0,0,No aplica
INGENIERIA ELECTRICA ELECTRONICA Y TELECOMUNICACIONES,10,4,61,95,1,No,No,0,0,0,0,0,0,No aplica
INGENIERIA MECANICA,10,4,63,107,1,No,No,0,0,0,0,0,0,No aplica
INGENIERIA QUIMICA Y TEXTIL,10,4,67,50,1,No,No,0,0,0,0,0,0,No aplica
FACULTAD DE CIENCIAS,10,4,48,79,1,No,No,0,0,0,0,0,0,No aplica
FACULTAD DE INGENIERIA AMBIENTAL,10,4,67,46,1,No,No,0,0,0,0,0,0,No aplica
FACULTAD DE INGENIERIA DE PETROLEO GAS NATURAL Y PETROQUIMICA,10,4,54,26,1,No,No,0,0,0,0,0,0,No aplica
ADMINISTRACION DE TURISMO,10,4,1,1,0,No,No,0,0,0,0,142,0,No aplica
ADMINISTRACION,10,4,60,602,82,No,No,0,0,0,0,120,0,No aplica
BIOLOGIA CON MENCION EN BIOTECNOLOGI_A,10,4,55,30,0,No,No,0,0,0,0,120,0,No aplica
BROMATOLOGIA Y NUTRICION,10,4,53,430,46,No,No,0,0,0,0,120,0,No aplica
CIENCIAS CONTABLES,10,4,60,773,95,No,No,0,0,0,0,120,0,No aplica
CIENCIAS DE LA COMUNICACION,10,4,71,377,43,No,No,0,0,0,0,120,0,No aplica
DERECHO Y CIENCIAS POLITICAS,12,4,76,584,89,No,No,0,0,0,0,120,0,No aplica
ECONOMIA Y FINANZAS,10,4,60,641,81,No,No,0,0,0,0,120,0,No aplica
EDUC INICIAL ESPECIALIDAD INICIAL Y ARTE,10,4,80,399,59,No,No,0,0,0,0,120,0,No aplica
EDUC PRIMARIA ESP PRIMARIA Y PROBLEMAS DEL APRENDIZAJE,10,4,85,212,37,No,No,0,0,0,0,120,0,No aplica
EDUC SECUNDARIA ESP BIOLOGIA QUIMICA Y TECNOLOGIA DE LOS ALIMENTOS,10,4,88,36,14,No,No,0,0,0,0,120,0,No aplica
EDUC SECUNDARIA ESP CIENCIAS SOCIALES Y TURISMO,10,4,81,304,43,No,No,0,0,0,0,120,0,No aplica
EDUC SECUNDARIA LENGUA COMUNICACION E IDIOMA INGLES,10,4,76,237,27,No,No,0,0,0,0,120,0,No aplica
EDUC SECUNDARIA ESP MATEMATICA FISICA E INFORMATICA,10,4,79,17,10,No,No,0,0,0,0,120,0,No aplica
EDUC TECNOLOGICA ESP CONSTRUCCIONES METALICAS,10,4,78,29,1,No,No,0,0,0,0,120,0,No aplica
EDUC TECNOLOGICA ESP ELECTRONICA,10,4,87,42,14,No,No,0,0,0,0,120,0,No aplica
EDUCACION FISICA Y DEPORTES,10,4,79,203,28,No,No,0,0,0,0,120,0,No aplica
ENFERMERIA,10,4,45,371,70,No,No,0,0,0,0,120,0,No aplica
ESTADISTICA E INFORMATICA,10,4,55,52,5,No,No,0,0,0,0,120,0,No aplica
FISICA,10,4,55,5,4,No,No,0,0,0,0,120,0,No aplica
GESTION EN TURISMO Y HOTELERIA,10,4,76,539,76,No,No,0,0,0,0,120,0,No aplica
INDUSTRIAS ALIMENTARIAS,10,4,65,320,53,No,No,0,0,0,0,120,0,No aplica
INGENIERIA AGRONOMICA,10,4,65,585,84,No,No,0,0,0,0,120,0,No aplica
INGENIERIA AMBIENTAL,10,4,65,452,44,No,No,0,0,0,0,120,0,No aplica
INGENIERIA CIVIL,10,4,65,355,23,No,No,0,0,0,0,120,0,No aplica
INGENIERIA DE SISTEMAS,10,4,62,408,63,No,No,0,0,0,0,120,0,No aplica
INGENIERIA ELECTRONICA,10,4,70,184,0,No,No,0,0,0,0,120,0,No aplica
INGENIERIA INDUSTRIAL,10,4,75,448,50,No,No,0,0,0,0,120,0,No aplica
INGENIERIA INFORMATICA,10,4,62,364,49,No,No,0,0,0,0,120,0,No aplica
INGENIERIA METALURGICA,10,4,64,373,47,No,No,0,0,0,0,120,0,No aplica
INGENIERIA PESQUERA,10,4,62,192,23,No,No,0,0,0,0,120,0,No aplica
INGENIERIA QUIMICA,10,4,63,294,54,No,No,0,0,0,0,120,0,No aplica
INGENIERIA ZOOTECNICA,10,4,65,290,53,No,No,0,0,0,0,120,0,No aplica
MATEMATICA APLICADA,10,4,55,61,9,No,No,0,0,0,0,120,0,No aplica
MEDICINA HUMANA,14,4,68,352,29,No,No,0,0,0,0,120,0,No aplica
NEGOCIOS INTERNACIONALES,10,4,60,449,51,No,No,0,0,0,0,120,0,No aplica
SOCIOLOGIA,10,4,54,313,35,No,No,0,0,0,0,120,0,No aplica
TRABAJO SOCIAL,10,4,56,439,74,No,No,0,0,0,0,120,0,No aplica
AGRONOMIA,10,4,52,379,0,No,No,0,0,0,0,1,1,Mensual
ZOOTECNIA,10,4,55,242,15,No,No,0,0,0,0,1,1,Mensual
INDUSTRIAS ALIMENTARIAS,10,4,62,195,8,No,No,0,0,0,0,1,1,Mensual
FORESTAL,10,4,65,292,2,No,No,0,0,0,0,1,1,Mensual
CONSERVACION DE SUELOS Y AGUA,10,4,58,304,3,No,No,0,0,0,0,1,1,Mensual
ADMINISTRACION,10,4,53,332,1,No,No,0,0,0,0,1,1,Mensual
CONTABILIDAD,10,4,52,372,6,No,No,0,0,0,0,1,1,Mensual
INGENIERIA AMBIENTAL,10,4,58,326,2,No,No,0,0,0,0,100,0,No aplica
INGENIERIA INFORMATICA Y SISTEMAS,10,4,1,3067,39,No,No,0,0,0,0,100,0,No aplica
ECONOMIA,10,4,55,384,1,No,No,0,0,0,0,100,0,No aplica
CIENCIAS ADMINISTRATIVAS,10,4,54,752,100,No,No,0,0,0,0,50,0,No aplica
TURISMO Y HOTELERIA,10,4,64,215,23,No,No,0,0,0,0,50,0,No aplica
AGRONOMIA,10,4,70,755,27,No,No,0,0,0,0,50,0,No aplica
INGENIERIA AGROINDUSTRIAL,10,4,66,539,53,No,No,0,0,0,0,50,0,No aplica
CIENCIAS CONTABLES Y FINANCIERAS,10,4,56,986,96,No,No,0,0,0,0,50,0,No aplica
EDUCACION BASICA  EDUCACION INICIAL,10,4,57,158,10,No,No,0,0,0,0,50,0,No aplica
EDUCACION BASICA EDUCACION FISICA,10,4,57,101,9,No,No,0,0,0,0,50,0,No aplica
EDUCACION BASICA EDUCACION PRIMARIA,10,4,57,515,57,No,No,0,0,0,0,50,0,No aplica
EDUC SEC BIOLOGIA Y QUIMICA,10,4,57,53,5,No,No,0,0,0,0,50,0,No aplica
EDUC SEC FILOS PSIC Y CIENCIAS SOCIALES,10,4,57,54,11,No,No,0,0,0,0,50,0,No aplica
EDUC SEC CIENCIAS HISTORICO SOCIALES Y GEOGRAFICAS,10,4,59,79,7,No,No,0,0,0,0,50,0,No aplica
EDUC SEC LENGUA Y LITERATURA,10,4,57,147,20,No,No,0,0,0,0,50,0,No aplica
EDUC SEC MATEMATICA Y FISICA,10,4,57,125,14,No,No,0,0,0,0,50,0,No aplica
ECONOMIA,10,4,56,645,42,No,No,0,0,0,0,50,0,No aplica
SOCIOLOGIA,10,4,40,174,12,No,No,0,0,0,0,50,0,No aplica
CIENCIAS DE LA COMUNICACION SOCIAL,10,4,42,254,33,No,No,0,0,0,0,50,0,No aplica
DERECHO,12,4,74,525,47,No,No,0,0,0,0,50,0,No aplica
ENFERMERIA,10,4,52,525,66,No,No,0,0,0,0,50,0,No aplica
INGENIERIA CIVIL,10,4,56,642,48,No,No,0,0,0,0,50,0,No aplica
ARQUITECTURA,10,4,50,390,28,No,No,0,0,0,0,50,0,No aplica
INGENIERIA INDUSTRIAL,10,4,55,377,46,Sí,No,0,0,0,0,50,0,No aplica
INGENIERIA DE SISTEMAS,10,4,52,283,21,Sí,No,0,0,0,0,50,0,No aplica
MEDICINA HUMANA,14,4,55,425,23,No,No,0,0,0,0,50,0,No aplica
ODONTOLOGIA,12,4,62,336,26,No,No,0,0,0,0,50,0,No aplica
MEDICINA VETERINARIA,12,4,39,263,36,No,No,0,0,0,0,50,0,No aplica
OBSTETRICIA,12,4,52,376,41,No,No,0,0,0,0,50,0,No aplica
PSICOLOGIA,12,4,69,405,38,No,No,0,0,0,0,50,0,No aplica
AGRONOMIA TROPICAL,10,6,52,401,87,No,Sí,20,212,1,1,0,0,No aplica
AGRONOMIA,10,6,50,420,71,No,Sí,20,212,1,1,0,0,No aplica
ANTROPOLOGIA,10,6,57,491,128,No,Sí,20,212,1,1,0,0,No aplica
ARQUEOLOGIA,10,6,50,506,120,No,Sí,20,212,1,1,0,0,No aplica
ARQUITECTURA,10,6,50,457,39,No,Sí,20,212,1,1,0,0,No aplica
BIOLOGIA,10,6,54,647,148,No,Sí,20,212,1,1,0,0,Trimestral
CIENCIAS DE LA COMUNICACION,10,6,55,518,165,No,Sí,20,212,1,1,0,0,No aplica
CONTABILIDAD,10,6,55,850,251,No,Sí,20,212,1,1,0,0,No aplica
DERECHO,10,6,63,610,349,No,Sí,20,212,1,1,0,0,Trimestral
ECONOMIA,10,6,52,859,182,No,Sí,20,212,1,1,0,0,No aplica
EDUCACION,10,6,50,832,109,No,Sí,20,212,1,1,0,0,No aplica
ENFERMERIA,10,6,55,449,34,No,Sí,20,212,1,1,0,0,No aplica
FARMACIA Y BIOQUIMICA,10,6,58,408,87,No,Sí,20,212,1,1,0,0,No aplica
FISICA,10,6,53,123,4,No,Sí,20,212,1,1,0,0,No aplica
HISTORIA,10,6,50,437,75,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA CIVIL,10,6,55,749,143,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA ELECTRICA,10,6,54,501,98,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA ELECTRONICA,10,6,54,460,47,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA GEOLOGICA,10,6,55,604,74,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA INFORMATICA Y SISTEMAS,10,6,53,538,84,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA METALURGICA,10,6,50,336,30,No,Sí,20,212,1,1,0,0,No aplica
MATEMATICAS,10,6,52,167,0,No,Sí,20,212,1,1,0,0,No aplica
ODONTOLOGIA,12,6,60,261,67,No,Sí,20,212,1,1,0,0,No aplica
QUIMICA,10,6,51,99,2,No,Sí,20,212,1,1,0,0,No aplica
ZOOTECNIA,10,6,50,411,97,No,Sí,20,212,1,1,0,0,No aplica
ECOTURISMO,10,6,50,185,1,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA  AGROPECUARIA,10,6,55,192,63,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA FORESTAL,10,6,50,114,15,No,Sí,20,212,1,1,0,0,No aplica
OBSTETRICIA,10,6,55,332,98,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA DE INDUSTRIAS ALIMENTARIAS,10,6,50,234,41,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA MECANICA,10,6,53,535,94,No,Sí,20,212,1,1,0,0,No aplica
INGENIERIA QUIMICA,10,6,52,281,48,No,Sí,20,212,1,1,0,0,No aplica
MEDICINA HUMANA,14,6,83,478,0,Sí,Sí,20,212,1,1,0,0,No aplica
PSICOLOGIA,10,6,55,190,0,No,Sí,20,212,1,1,0,0,No aplica
MEDICINA,12,4,57,726,89,No,No,0,0,0,0,47,0,Semestral
ADMINISTRACION,10,4,58,772,98,No,No,0,0,0,0,120,50,Anual
AGRONOMIA,10,4,62,525,50,No,No,0,0,0,0,120,50,Anual
AGRICOLA,10,4,71,406,34,No,No,0,0,0,0,120,50,Anual
CONTABILIDAD,10,4,69,937,86,No,No,0,0,0,0,120,50,Anual
ECOMOMIA,10,4,64,458,41,No,No,0,0,0,0,120,50,Anual
INGENIERIA INDUSTRIAL,10,4,76,514,49,No,No,0,0,0,0,120,50,Anual
INGENIERIA INFORMATICA,10,4,71,521,58,No,No,0,0,0,0,120,50,Anual
INGENIERIA AGROINDUSTRIAL,10,4,71,409,52,No,No,0,0,0,0,120,50,Anual
INGENIERIA MECATRONICA,10,4,79,287,28,No,No,0,0,0,0,120,50,Anual
INGENIERIA  MINAS,10,4,74,511,21,No,No,0,0,0,0,120,50,Anual
GEOLOGIA,10,4,64,511,48,No,No,0,0,0,0,120,50,Anual
PETROLEO,10,4,62,611,38,No,No,0,0,0,0,120,50,Anual
QUIMICA,10,4,62,434,37,No,No,0,0,0,0,120,50,Anual
INGENIERIA PESQUERA,10,4,77,398,85,No,No,0,0,0,0,120,50,Anual
ZOOTECNIA,10,4,74,216,21,No,No,0,0,0,0,120,50,Anual
