"","Genero","Carrera","Ciclo_2022_2","Cursos_2022_1","Cursos_2022_2","Sueño_2022_1","Sueño_2022_2","Clases_promedio_2022_1","Clases_promedio_2022_2","Promedio_2022_1","Promedio_2022_2","Cursos_aprobados_2022_1","Cursos_aprobados_2022_2","Horas_libres_2022_1","Horas_libres_2022_2","Estrés_2022_1","Estrés_2022_2","Interes_2022_2","Conocimiento","Uso","Asistencia","Tiempo_espera","Debilidades","Apoyo","Satisfaccion","Razones_no_uso","Sesiones_minimas","Modalidad","Medios"
"181","Masculino","INGENIERÍA MECATRÓNICA","4rto ciclo",6,6,7,7,6,6,15,14,5,4,2,4,"Medio","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional"
"182","Femenino","INGENIERÍA AMBIENTAL","5to ciclo",5,5,7.5,7.5,5,5,15.6,15.7,5,5,4.5,3.4,"Medio","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"183","Masculino","INGENIERÍA CIVIL","3er ciclo",5,6,7.5,6.5,6,6,13.66,12.55,5,5,5,5,"Medio","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Miedo y vergüenza",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"184","Femenino","INGENIERÍA MECATRÓNICA","2do ciclo",7,5,6,5,6,4,12,13,6,4,2,5,"Medio","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Miedo y vergüenza, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"185","Masculino","INGENIERÍA MECÁNICA","3er ciclo",4,4,7,6,4,4,13.3,13.7,4,3,4,3,"Medio","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",2,"Presenciales","Correo Institucional, Charlas"
"186","Femenino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,5,4.5,7,5,13,13,5,4,5,4,"Muy alto","Muy alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"187","Masculino","INGENIERÍA QUÍMICA","5to ciclo",5,7,7,5,5,8,15,13,5,7,5,2,"Alto","Muy alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"188","Masculino","INGENIERÍA QUÍMICA","5to ciclo",6,6,6.5,6.5,5,5,14.7,14.4,6,6,4,3,"Medio","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Miedo y vergüenza, Considero que no lo necesito",2,"Presenciales","Correo Institucional"
"189","Masculino","INGENIERÍA MECÁNICA","9no ciclo",3,3,7,7,3,3,13,12,2,3,4,4,"Medio","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",3,"Virtuales","Redes sociales"
"190","Masculino","INGENIERÍA MECÁNICA","7mo ciclo",6,5,5,7,6,5,15.8,16.5,6,5,2,4,"Muy alto","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Malas referencias, Considero que no lo necesito",2,"Presenciales","Correo Institucional, Volantes en la universidad"
"191","Masculino","INGENIERÍA QUÍMICA","4rto ciclo",4,4,8,8,6,5,13.5,14.5,4,4,5,4,"Bajo","Bajo","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",5,"Presenciales","Correo Institucional, Charlas"
"192","Masculino","INGENIERÍA MECÁNICA","5to ciclo",5,6,7,7,4,5,16.9,18.5,5,6,5,3,"Muy bajo","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado, Considero que no lo necesito",5,"Virtuales","Correo Institucional"
"193","Femenino","INGENIERÍA MECÁNICA","5to ciclo",6,5,8,8,6,5,15,15,5,5,5,5,"Medio","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",2,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"194","Masculino","INGENIERÍA MECÁNICA","5to ciclo",6,6,7,8,5,3,16.7,16.4,6,6,2,4,"Alto","Medio","Muy interesado","Si","Si",2,1,"Las agendas de los psicólogos suelen estar llenas","Poco apoyado",3,"",2,"Virtuales","Volantes en la universidad"
"195","Masculino","INGENIERÍA MECÁNICA","7mo ciclo",4,6,8,4,8,9,14.5,14,4,4,10,5,"Bajo","Muy alto","Poco interesado","Si","Si",3,30,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías, Mala actitud del personal de servicio","Apoyado",2,"",5,"Virtuales","Correo Institucional"
"196","Masculino","INGENIERÍA MECÁNICA","4rto ciclo",5,6,9,7,5,5,15,14.47,5,6,5,6,"Medio","Bajo","Poco interesado","Si","Si",3,4,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías","Poco apoyado",3,"",2,"Presenciales","Redes sociales"
"197","Masculino","INGENIERÍA MECÁNICA","4rto ciclo",5,6,6,6.5,5,5,16.27,16.21,5,6,4,4.5,"Medio","Muy bajo","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"198","Masculino","INGENIERÍA MECÁNICA","4rto ciclo",5,6,7,5.5,5,6,18.1,17.9,5,6,3,2,"Medio","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"199","Masculino","INGENIERÍA MECÁNICA","3er ciclo",6,5,6,5,4,3,15.45,14.55,4,5,6,6,"Alto","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"200","Masculino","INGENIERÍA MECATRÓNICA","3er ciclo",6,6,5,5,5,4,14.2,14,5,5,6,5.5,"Bajo","Alto","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",5,"Virtuales","Redes sociales, Correo Institucional, Charlas"
"201","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",4,5,6.5,5.5,3,4,14.6,15.5,4,4,4.1,4.1,"Alto","Muy alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Malas referencias",2,"Virtuales","Correo Institucional, Volantes en la universidad, Charlas"
